,coef_down,coef_same,coef_up,max_abs_coef
ticker__ticker_APP,0.5628610388050089,-0.8520489368144476,0.2094392388390719,0.8520489368144476
ticker__ticker_LYV,-0.7087587436627362,0.645154161045306,0.0,0.7087587436627362
ticker__ticker_MTCH,0.2378538294870005,-0.4946916604246521,0.17733316757429105,0.4946916604246521
ticker__ticker_NWS,-0.20140742495140215,0.4804376425843237,-0.19931516489548018,0.4804376425843237
ticker__ticker_NWSA,-0.17933452599533173,0.4777783320437459,-0.21872958542005771,0.4777783320437459
ticker__ticker_WBD,0.1609428288869629,-0.46776058337590765,0.22719205952561622,0.46776058337590765
ticker__ticker_TTD,0.4228711278096465,-0.3729088483084027,0.0,0.4228711278096465
ticker__ticker_CHTR,0.12679218889500832,-0.3531393887818621,0.1466410587629811,0.3531393887818621
ticker__ticker_FOX,-0.14368058559703292,0.29001346619434404,-0.06657673236875736,0.29001346619434404
ticker__ticker_VZ,-0.0629262416968039,0.28939804058706836,-0.14674329815775786,0.28939804058706836
ticker__ticker_FOXA,-0.20119043798867403,0.26182750491900797,0.0,0.26182750491900797
num__debt_to_equity,0.24639044705843424,-0.1276909704453657,-0.03909933540719896,0.24639044705843424
ticker__ticker_GOOGL,0.14106065706618312,-0.2357088963841326,0.015361024786933176,0.2357088963841326
ticker__ticker_T,-0.2338854294750055,0.09632307344294877,0.05812248973523382,0.2338854294750055
num__VIX_Lag2,0.20400982068061263,0.0,-0.15077478097843658,0.20400982068061263
ticker__ticker_TKO,0.04908052515529712,-0.20059570039521876,0.07199046065280855,0.20059570039521876
num__roe,-0.20024364543024742,0.023327171584989755,0.09736722546273986,0.20024364543024742
ticker__ticker_NFLX,-0.09644533036174216,-0.02305013253785591,0.1992584827788377,0.1992584827788377
ticker__ticker_EA,-0.04504232775299036,0.198466322394641,-0.08567656354964559,0.198466322394641
ticker__ticker_OMC,0.0,0.13147712657818464,-0.19705170107372977,0.19705170107372977
ticker__ticker_DIS,-0.044443861965789026,0.18713373087214386,-0.06301320047158718,0.18713373087214386
num__VIX_Lag3,-0.08800790274134805,-0.015712955705815268,0.18329120482039873,0.18329120482039873
ticker__ticker_META,0.1728684499082027,-0.015599207228103578,-0.14219150588533547,0.1728684499082027
num__VIX_Lag1,0.0,-0.16925398528028912,0.12091095715164961,0.16925398528028912
ticker__ticker_TMUS,-0.1478889159312141,0.04861266716586882,0.019601378761227656,0.1478889159312141
ticker__ticker_IPG,0.14221910703410298,-0.017119589913038784,-0.04594138682888541,0.14221910703410298
ticker__ticker_TTWO,-0.13936633437222948,0.030782407563083283,0.06753075937984838,0.13936633437222948
num__revenue_growth,0.1331866173562013,-0.0018536467242045765,-0.05343371397566519,0.1331866173562013
ticker__ticker_PSKY,0.01997132038048928,-0.13221395261467858,0.03248530293235456,0.13221395261467858
num__VIX_Lag10,-0.09192630018350492,0.0,0.11470402377217667,0.11470402377217667
num__VIX_Lag5,-0.013736160962071697,0.10384010112935312,-0.010540787551856877,0.10384010112935312
num__roa,0.08483108052143208,-0.09732190373858432,0.0,0.09732190373858432
num__IPI_IPI_SA,-0.02727924172405921,0.09663462334675983,0.0,0.09663462334675983
ticker__ticker_GOOG,0.033095295542605055,-0.09382437361847673,7.307645255772243e-06,0.09382437361847673
num__free_cf_margin,-0.08919910126914335,0.016343693201407754,0.0,0.08919910126914335
num__IPI_IPI_QOQ,0.077402109518352,-0.08204529351455249,0.0,0.08204529351455249
num__Return_Lag5,0.07185045939223726,0.0,-0.016262213225764443,0.07185045939223726
num__Sentiment_Lag10,0.0,0.013360415578099583,-0.06863648893703972,0.06863648893703972
num__op_margin,0.0,0.0578411665387358,-0.023565180847414307,0.0578411665387358
num__Sentiment_Lag1,0.0,-0.05326413046832835,0.0069851665364624345,0.05326413046832835
ticker__ticker_CMCSA,0.02918682109663352,0.0,-0.05029251533870079,0.05029251533870079
num__Return_Lag2,0.04816265781008719,-0.004377385263177749,0.0,0.04816265781008719
num__Return_Lag10,0.0,-0.005577268949558028,0.045496331234922506,0.045496331234922506
num__Sentiment_Lag2,0.0,0.017992741749140975,-0.04316577109924812,0.04316577109924812
num__liquidity_ratio,0.025628112303188136,-0.04224436403659926,0.0,0.04224436403659926
num__Return_Lag1,0.03820928213706073,-0.0315585520624095,0.0,0.03820928213706073
num__current_ratio,0.0,-0.037921487185095186,0.033090458415734575,0.037921487185095186
num__Sentiment_Lag5,-0.016803361501722427,0.0,0.03681180145379582,0.03681180145379582
num__Return_Lag3,0.021712081742519092,0.0,-0.03571489341208976,0.03571489341208976
num__ocf_to_assets,0.0,-0.035468496011494856,0.023343638466353643,0.035468496011494856
num__IPI_IPI_SA_QOQ,0.03526668334018489,-0.024954294070461736,0.0,0.03526668334018489
num__Sentiment_Lag1_squared,0.0,-0.005696660844253252,0.0338217678761922,0.0338217678761922
num__Sentiment_Lag20,0.013511257147667703,-0.033492321851764636,0.0,0.033492321851764636
num__Sentiment_Lag1_cubic,-0.03242298108160769,0.02272399232024296,0.0,0.03242298108160769
num__Return_Lag20,0.0317585155457569,-0.014913717251283579,0.0,0.0317585155457569
num__VIX_Lag20,-0.006282624310305092,0.022876217698754787,0.0,0.022876217698754787
num__Sentiment_Lag3,0.0014182995816566291,0.0,-0.021021367245545396,0.021021367245545396
num__GDP_GDP_SA_PC_YOY,0.0,0.003842794678791408,0.0,0.003842794678791408
num__GDP_GDP_NSA_PC_QOQ,0.0,-0.0038427946787617214,0.0,0.0038427946787617214
num__GDP_GDP_NSA_PC_YOY,0.0,-0.003842794678748711,0.0,0.003842794678748711
num__GDP_GDP_SA_PC_QOQ,0.0,-0.0038427946787482994,0.0,0.0038427946787482994
num__IPI_IPI,0.0,0.0,0.0,0.0
num__IPI_IPI_SA_YOY,0.0,0.0,0.0,0.0
num__IPI_IPI_YOY,0.0,0.0,0.0,0.0
num__UNEMP_UNRATE_PCH,0.0,0.0,0.0,0.0
num__UNEMP_UNRATENSA,0.0,0.0,0.0,0.0
num__UNEMP_UNRATENSA_PC1,0.0,0.0,0.0,0.0
num__UNEMP_UNRATENSA_PCH,0.0,0.0,0.0,0.0
num__UNEMP_UNRATE_PC1,0.0,0.0,0.0,0.0
num__UNEMP_UNRATE,0.0,0.0,0.0,0.0
