sector,C,fold,accuracy,f1_macro,n_samples
Financial Services,0.01,1,0.43350383631713557,0.3380011574685864,2346
Financial Services,0.01,2,0.3597612958226769,0.2554612003240469,2346
Financial Services,0.01,3,0.3751065643648764,0.18646893674638265,2346
Financial Services,0.01,4,0.38064791133844844,0.2874337194104781,2346
Financial Services,0.01,5,0.4236999147485081,0.3290304353986912,2346
Financial Services,0.03162277660168379,1,0.42412617220801363,0.4132679830985237,2346
Financial Services,0.03162277660168379,2,0.3593350383631714,0.2595260173685002,2346
Financial Services,0.03162277660168379,3,0.37595907928388744,0.23563234064026065,2346
Financial Services,0.03162277660168379,4,0.38405797101449274,0.3383691028058071,2346
Financial Services,0.03162277660168379,5,0.4279624893435635,0.3436222848995625,2346
Financial Services,0.1,1,0.39215686274509803,0.39064089290456433,2346
Financial Services,0.1,2,0.3576300085251492,0.2555740803818752,2346
Financial Services,0.1,3,0.37851662404092073,0.2387604384402867,2346
Financial Services,0.1,4,0.3900255754475703,0.3522352059324101,2346
Financial Services,0.1,5,0.42284739982949704,0.3458032746885748,2346
Financial Services,0.31622776601683794,1,0.3934356351236147,0.3893181567376804,2346
Financial Services,0.31622776601683794,2,0.36445012787723785,0.27104559424568864,2346
Financial Services,0.31622776601683794,3,0.37894288150042627,0.24419564240971048,2346
Financial Services,0.31622776601683794,4,0.3878942881500426,0.36703688324341704,2346
Financial Services,0.31622776601683794,5,0.4164535379369139,0.348743439451749,2346
Financial Services,1.0,1,0.3874680306905371,0.38419550092051913,2346
Financial Services,1.0,2,0.3631713554987212,0.2763989610689465,2346
Financial Services,1.0,3,0.38277919863597615,0.25438254442373986,2346
Financial Services,1.0,4,0.3857630008525149,0.3693938050194839,2346
Financial Services,1.0,5,0.4121909633418585,0.35334609854317983,2346
Financial Services,3.1622776601683795,1,0.391304347826087,0.38887268312307793,2346
Financial Services,3.1622776601683795,2,0.36658141517476556,0.28487940507172665,2346
Financial Services,3.1622776601683795,3,0.3815004262574595,0.25496354092167905,2346
Financial Services,3.1622776601683795,4,0.38022165387894286,0.3671675506874956,2346
Financial Services,3.1622776601683795,5,0.4075021312872975,0.35102557891106817,2346
Financial Services,10.0,1,0.3895993179880648,0.38756610312212986,2346
Financial Services,10.0,2,0.3670076726342711,0.28731205691165784,2346
Financial Services,10.0,3,0.3836317135549872,0.25832737685828083,2346
Financial Services,10.0,4,0.38491048593350385,0.3723145498834411,2346
Financial Services,10.0,5,0.4057971014492754,0.3501675251106351,2346
Financial Services,31.622776601683793,1,0.3878942881500426,0.3861208127694693,2346
Financial Services,31.622776601683793,2,0.36615515771526,0.2910754833872668,2346
Financial Services,31.622776601683793,3,0.3836317135549872,0.25838729306599345,2346
Financial Services,31.622776601683793,4,0.3857630008525149,0.3732957343349424,2346
Financial Services,31.622776601683793,5,0.40494458653026427,0.3505330143906722,2346
