Date,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Return_Lag10,Return_Lag20,SMA_5,SMA_10,SMA_20,SMA_50,SMA_200,Volatility_5,ATR_5,Volatility_10,ATR_10,Volatility_20,ATR_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Volume_MA_20,Volume_Ratio,BB_Middle,BB_Upper,BB_Lower,BB_Width,Sentiment,Sentiment_Lag1,Sentiment_Lag2,Sentiment_Lag3,Sentiment_Lag5,Sentiment_Lag10,Sentiment_Lag20,VIX,VIX_Lag1,VIX_Lag2,VIX_Lag3,VIX_Lag5,VIX_Lag10,VIX_Lag20,roe,roa,op_margin,debt_to_equity,liquidity_ratio,current_ratio,free_cf_margin,revenue_growth,ocf_to_assets,GDP_GDP_SA_PC_QOQ,GDP_GDP_SA_PC_YOY,GDP_GDP_NSA_PC_QOQ,GDP_GDP_NSA_PC_YOY,IPI_IPI,IPI_IPI_YOY,IPI_IPI_QOQ,IPI_IPI_SA,IPI_IPI_SA_YOY,IPI_IPI_SA_QOQ,IPI_Unnamed: 7,UNEMP_UNRATE,UNEMP_UNRATE_PC1,UNEMP_UNRATE_PCH,UNEMP_UNRATENSA,UNEMP_UNRATENSA_PC1,UNEMP_UNRATENSA_PCH
2024-03-26,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,-0.1212,,,,,,,13.23999977,,,,,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-03-27,-0.0625,,,,,,,,,,,,,,,,,,,-0.3988603988604069,-0.0797720797720814,-0.3190883190883255,,,,,,,-0.0029,-0.1212,,,,,,12.77999973,13.23999977,,,,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-03-28,-0.07266662597656248,-0.0625,,,,,,,,,,,,,,,,,,-1.141570036016958,-0.29213167102105675,-0.8494383649959013,,,,,,,0.0,-0.0029,-0.1212,,,,,13.01000023,12.77999973,13.23999977,,,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-04-01,-0.0064702308826907196,-0.07266662597656248,-0.0625,,,,,,,,,,,,,,,,,-1.7463535068084468,-0.5829760381785347,-1.163377468629912,,,,,,,0.0,0.0,-0.0029,-0.1212,,,,13.64999962,13.01000023,12.77999973,13.23999977,,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-04-02,-0.03183787260235782,-0.0064702308826907196,-0.07266662597656248,-0.0625,,,,72.11000061035156,,,,,,8.659001159667966,,,,,,-2.3757835780084804,-0.9415375461445239,-1.4342460318639565,,,,,,,0.0,0.0,0.0,-0.0029,,,,14.60999966,13.64999962,13.01000023,12.77999973,,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-04-03,-0.044992557063935346,-0.03183787260235782,-0.0064702308826907196,-0.07266662597656248,,,,68.88800048828125,,,,,0.02608132322717427,6.050999450683594,,,,,,-3.081966469981211,-1.3696233309118613,-1.7123431390693495,,,,,,,0.0,0.0,0.0,0.0,-0.1212,,,14.32999992,14.60999966,13.64999962,13.01000023,13.23999977,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-04-04,0.04867742432402422,-0.044992557063935346,-0.03183787260235782,-0.0064702308826907196,-0.0625,,,67.28800048828126,,,,,0.045900848233080556,6.053999328613282,,,,,,-3.352030322752512,-1.7661047292799914,-1.5859255934725205,,,,,,,0.0,0.0,0.0,0.0,-0.0029,,,16.35000038,14.32999992,14.60999966,13.64999962,12.77999973,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.1,5.12821,2.5,4.5,7.14286,2.27273
2024-04-05,0.04567160535214554,0.04867742432402422,-0.044992557063935346,-0.03183787260235782,-0.07266662597656248,,,67.38999938964844,,,,,0.04333248808013421,5.2489990234375,,,,,,-3.281316666286642,-2.0691471166813216,-1.2121695496053206,,,,,,,0.0,0.0,0.0,0.0,0.0,,,16.03000069,16.35000038,14.32999992,14.60999966,13.01000023,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.2,7.69231,2.43902,4.2,7.69231,-6.66667
2024-04-08,-0.04353404979514108,0.04567160535214554,0.04867742432402422,-0.044992557063935346,-0.0064702308826907196,,,66.97200012207031,,,,,0.048096830101677646,4.849998474121094,,,,,,-3.4318247848989216,-2.3416826503248416,-1.09014213457408,,,,,,,0.0,0.0,0.0,0.0,0.0,,,15.18999958,16.03000069,16.35000038,14.32999992,13.64999962,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.2,7.69231,2.43902,4.2,7.69231,-6.66667
2024-04-09,-0.0222355685071447,-0.04353404979514108,0.04567160535214554,0.04867742432402422,-0.03183787260235782,,,66.69599914550781,69.40299987792969,,,,0.04694537542060956,4.622998046875,,6.640999603271483,,,,-3.6294959737518298,-2.5992453150102395,-1.0302506587415903,,,,,,,0.0,0.0,0.0,0.0,0.0,,,14.97999954,15.18999958,16.03000069,16.35000038,14.60999966,,,,,,,,,,,,3.12663,0.88549,3.06948,3.22427,102.3895,-0.607,0.23485,102.2428,-0.52983,-0.44382,,4.2,7.69231,2.43902,4.2,7.69231,-6.66667
