,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,619676000.0,615821000.0,600059542.0,464943787.0,
Share Issued,619676000.0,615821000.0,600059542.0,464943787.0,
Net Debt,,,504063000.0,613527000.0,
Total Debt,7918613000.0,6071517000.0,6332764000.0,5516240000.0,
Tangible Book Value,8417443000.0,5014015000.0,3242084000.0,2496530000.0,
Invested Capital,28855048000.0,24423264000.0,23131370000.0,8330051000.0,
Working Capital,11333403000.0,8935653000.0,7188889000.0,5085824000.0,
Net Tangible Assets,8417443000.0,5014015000.0,3242084000.0,2496530000.0,
Capital Lease Obligations,331497000.0,343509000.0,424273000.0,459044000.0,
Common Stock Equity,21267932000.0,18695256000.0,17222879000.0,3272855000.0,
Total Capitalization,27670551000.0,23670229000.0,22209774000.0,7832063000.0,
Total Equity Gross Minority Interest,21234962000.0,18692836000.0,17251355000.0,3313589000.0,
Minority Interest,-32970000.0,-2420000.0,28476000.0,40734000.0,
Stockholders Equity,21267932000.0,18695256000.0,17222879000.0,3272855000.0,
Gains Losses Not Affecting Retained Earnings,-1001065000.0,-378307000.0,-523090000.0,-16435000.0,
Other Equity Adjustments,-1001065000.0,-378307000.0,-523090000.0,-16435000.0,
Retained Earnings,2368618000.0,-528429000.0,-568712000.0,-27965000.0,
Additional Paid In Capital,19900379000.0,19601992000.0,18314681000.0,3317255000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,15542633000.0,14338472000.0,14112985000.0,10612175000.0,
Total Non Current Liabilities Net Minority Interest,6995835000.0,5455428000.0,5678469000.0,5177071000.0,
Other Non Current Liabilities,152164000.0,154972000.0,201657000.0,222846000.0,
Non Current Deferred Liabilities,162435000.0,35695000.0,132498000.0,,6896000.0
Non Current Deferred Revenue,,,,,6896000.0
Non Current Deferred Taxes Liabilities,162435000.0,35695000.0,132498000.0,,
Long Term Debt And Capital Lease Obligation,6681236000.0,5264761000.0,5344314000.0,4954225000.0,
Long Term Capital Lease Obligation,278617000.0,289788000.0,357419000.0,395017000.0,
Long Term Debt,6402619000.0,4974973000.0,4986895000.0,4559208000.0,
Current Liabilities,8546798000.0,8883044000.0,8434516000.0,5435104000.0,
Other Current Liabilities,270898000.0,316372000.0,686372000.0,,
Current Deferred Liabilities,241884000.0,167028000.0,141893000.0,48462000.0,
Current Deferred Revenue,241884000.0,167028000.0,141893000.0,48462000.0,
Current Debt And Capital Lease Obligation,1237377000.0,806756000.0,988450000.0,562015000.0,
Current Capital Lease Obligation,52880000.0,53721000.0,66854000.0,64027000.0,
Current Debt,1184497000.0,753035000.0,921596000.0,497988000.0,
Other Current Borrowings,1184497000.0,753035000.0,921596000.0,455000.0,
Line Of Credit,,,478080000.0,497533000.0,464094000.0
Payables And Accrued Expenses,6796639000.0,7592888000.0,6617801000.0,4824627000.0,
Current Accrued Expenses,841524000.0,654994000.0,510794000.0,508219000.0,
Payables,5955115000.0,6937894000.0,6107007000.0,4316408000.0,
Other Payable,5837152000.0,6795340000.0,5548656000.0,3979624000.0,
Accounts Payable,117963000.0,142554000.0,558351000.0,336784000.0,
Total Assets,36777595000.0,33031308000.0,31364340000.0,13925764000.0,
Total Non Current Assets,16897394000.0,15212611000.0,15740935000.0,3404836000.0,
Other Non Current Assets,201709000.0,184923000.0,173054000.0,139616000.0,
Non Current Prepaid Assets,,,,,0.0
Non Current Deferred Assets,1800994000.0,9397000.0,,,
Non Current Deferred Taxes Assets,1800994000.0,9397000.0,,,
Investments And Advances,1509816000.0,796293000.0,884612000.0,1757349000.0,
Other Investments,792282000.0,339898000.0,102303000.0,149000000.0,
Investmentin Financial Assets,717534000.0,456395000.0,782309000.0,1608349000.0,
Held To Maturity Securities,,251127000.0,573429000.0,1526430000.0,463950000.0
Available For Sale Securities,717534000.0,456395000.0,208880000.0,81919000.0,
Goodwill And Other Intangible Assets,12850489000.0,13681241000.0,13980795000.0,776325000.0,
Other Intangible Assets,1433067000.0,1761521000.0,2014034000.0,257049000.0,
Goodwill,11417422000.0,11919720000.0,11966761000.0,519276000.0,
Net PPE,534386000.0,540757000.0,702474000.0,731546000.0,
Accumulated Depreciation,-456655000.0,-323301000.0,-367547000.0,-259312000.0,
Gross PPE,991041000.0,864058000.0,1070021000.0,990858000.0,
Leases,126221000.0,123218000.0,228634000.0,208228000.0,
Other Properties,219954000.0,244701000.0,373172000.0,449406000.0,
Machinery Furniture Equipment,644866000.0,496139000.0,468215000.0,333224000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,19880201000.0,17818697000.0,15623405000.0,10520928000.0,
Other Current Assets,324198000.0,227003000.0,588173000.0,118189000.0,
Assets Held For Sale Current,,,,,462665000.0
Restricted Cash,902478000.0,770380000.0,639780000.0,18778000.0,
Prepaid Assets,129343000.0,100770000.0,166817000.0,63341000.0,
Inventory,104990000.0,110097000.0,97703000.0,77058000.0,
Receivables,5669679000.0,7194021000.0,5324555000.0,2099615000.0,
Other Receivables,478767000.0,365153000.0,298568000.0,228914000.0,
Loans Receivable,1476169000.0,1023055000.0,597995000.0,609387000.0,
Accounts Receivable,3714743000.0,5805813000.0,4427992000.0,1261314000.0,
Allowance For Doubtful Accounts Receivable,-201793000.0,-185275000.0,-151290000.0,,
Gross Accounts Receivable,3916536000.0,5991088000.0,4579282000.0,,
Cash Cash Equivalents And Short Term Investments,12749513000.0,9416426000.0,8806377000.0,8143947000.0,
