,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.062693,0.059607,0.236942,
Normalized EBITDA,2342945000.0,1145243000.0,513770000.0,580544000.0,
Total Unusual Items,,,0.0,0.0,-82671000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-82671000.0
Net Income From Continuing Operation Net Minority Interest,1579776000.0,356711000.0,-192746000.0,35446000.0,
Reconciled Depreciation,448680000.0,489008000.0,547084000.0,431063000.0,
Reconciled Cost Of Revenue,1166806000.0,1059191000.0,1256065000.0,988095000.0,
EBITDA,2342945000.0,1145243000.0,513770000.0,580544000.0,
EBIT,1894265000.0,656235000.0,-33314000.0,149481000.0,
Net Interest Income,-318260000.0,-275665000.0,-171863000.0,-103170000.0,
Interest Expense,318260000.0,275665000.0,171863000.0,103170000.0,
Normalized Income,1579776000.0,356711000.0,-192746000.0,35446000.0,
Net Income From Continuing And Discontinued Operation,1579776000.0,356711000.0,-192746000.0,35446000.0,
Total Expenses,2835789000.0,2634880000.0,2864849000.0,2643088000.0,
Total Operating Income As Reported,1873459000.0,648207000.0,-47791000.0,150016000.0,
Diluted Average Shares,347807555.0,362589246.0,371568011.0,342763632.0,
Basic Average Shares,336921483.0,351952187.0,371568011.0,324836076.0,
Diluted EPS,4.53,0.98,-0.52,0.09,
Basic EPS,4.68,1.01,-0.52,0.1,
Diluted NI Availto Com Stockholders,1577144000.0,354993000.0,-192746000.0,31879000.0,
Average Dilution Earnings,85000.0,51000.0,0.0,176000.0,
Net Income Common Stockholders,1577059000.0,354942000.0,-192746000.0,31703000.0,
Otherunder Preferred Stock Dividend,2717000.0,1769000.0,0.0,3743000.0,
Net Income,1579776000.0,356711000.0,-192746000.0,35446000.0,
Minority Interests,0.0,0.0,201000.0,108000.0,
Net Income Including Noncontrolling Interests,1579776000.0,356711000.0,-192947000.0,35338000.0,
Net Income Continuous Operations,1579776000.0,356711000.0,-192947000.0,35338000.0,
Tax Provision,-3771000.0,23859000.0,-12230000.0,10973000.0,
Pretax Income,1576005000.0,380570000.0,-205177000.0,46311000.0,
Other Income Expense,20806000.0,8028000.0,14477000.0,-535000.0,
Other Non Operating Income Expenses,20806000.0,8028000.0,14477000.0,-535000.0,
Special Income Charges,,,0.0,0.0,-82671000.0
Other Special Charges,,,,,7851000.0
Restructuring And Mergern Acquisition,,,0.0,0.0,74820000.0
Net Non Operating Interest Income Expense,-318260000.0,-275665000.0,-171863000.0,-103170000.0,
Interest Expense Non Operating,318260000.0,275665000.0,171863000.0,103170000.0,
Operating Income,1873459000.0,648207000.0,-47791000.0,150016000.0,
Operating Expense,1668983000.0,1575689000.0,1608784000.0,1654993000.0,
Research And Development,638689000.0,592386000.0,507607000.0,366402000.0,
Selling General And Administration,1030294000.0,983303000.0,1101177000.0,1288591000.0,
Selling And Marketing Expense,849209000.0,830718000.0,919550000.0,1129892000.0,
General And Administrative Expense,181085000.0,152585000.0,181627000.0,158699000.0,
Other Gand A,181085000.0,152585000.0,181627000.0,158699000.0,
Gross Profit,3542442000.0,2223896000.0,1560993000.0,1805009000.0,
Cost Of Revenue,1166806000.0,1059191000.0,1256065000.0,988095000.0,
Total Revenue,4709248000.0,3283087000.0,2817058000.0,2793104000.0,
Operating Revenue,4709248000.0,3283087000.0,2817058000.0,2793104000.0,
