,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Ordinary Shares Number,141594313.0,142381736.0,142368620.0,142254022.0,142236607.0,,
Share Issued,141594313.0,142381736.0,142368620.0,142254022.0,142236607.0,,
Net Debt,8602323000.0,8557270000.0,8250182000.0,7968673000.0,7822906000.0,,
Total Debt,8893462000.0,8829414000.0,8475663000.0,8250531000.0,8550663000.0,,
Tangible Book Value,11937915000.0,11947719000.0,11916283000.0,11941092000.0,11884884000.0,,
Invested Capital,20663551000.0,20607814000.0,20219720000.0,20018341000.0,20260146000.0,,
Working Capital,-746128000.0,-1143877000.0,-766740000.0,-479209000.0,-16120000.0,,
Net Tangible Assets,11937915000.0,11947719000.0,11916283000.0,11941092000.0,11884884000.0,,
Capital Lease Obligations,167826000.0,169319000.0,172226000.0,173282000.0,175401000.0,,
Common Stock Equity,11937915000.0,11947719000.0,11916283000.0,11941092000.0,11884884000.0,,
Total Capitalization,20428570000.0,19943177000.0,19994778000.0,20018341000.0,20260146000.0,,
Total Equity Gross Minority Interest,12161495000.0,12170298000.0,11916283000.0,11941092000.0,11884884000.0,,
Minority Interest,223580000.0,222579000.0,,0.0,0.0,0.0,
Stockholders Equity,11937915000.0,11947719000.0,11916283000.0,11941092000.0,11884884000.0,,
Gains Losses Not Affecting Retained Earnings,26214000.0,27601000.0,30434000.0,34304000.0,28227000.0,,
Other Equity Adjustments,26214000.0,27601000.0,30434000.0,34304000.0,28227000.0,,
Retained Earnings,638898000.0,595535000.0,576486000.0,591250000.0,551436000.0,,
Additional Paid In Capital,11271388000.0,11323160000.0,11307940000.0,11314116000.0,11303799000.0,,
Capital Stock,1415000.0,1423000.0,1423000.0,1422000.0,1422000.0,,
Common Stock,1415000.0,1423000.0,1423000.0,1422000.0,1422000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,9787737000.0,9667647000.0,9299431000.0,9059645000.0,9423527000.0,,
Total Non Current Liabilities Net Minority Interest,8719718000.0,8228398000.0,8313584000.0,8313360000.0,8614930000.0,,
Other Non Current Liabilities,61237000.0,63621000.0,62863000.0,62829000.0,64267000.0,,
Long Term Debt And Capital Lease Obligation,8658481000.0,8164777000.0,8250721000.0,8250531000.0,8550663000.0,,
Long Term Capital Lease Obligation,167826000.0,169319000.0,172226000.0,173282000.0,175401000.0,,
Long Term Debt,8490655000.0,7995458000.0,8078495000.0,8077249000.0,8375262000.0,,
Current Liabilities,1068019000.0,1439249000.0,985847000.0,746285000.0,808597000.0,,
Current Debt And Capital Lease Obligation,234981000.0,664637000.0,224942000.0,,,,
Current Debt,234981000.0,664637000.0,224942000.0,,,,
Line Of Credit,234981000.0,664637000.0,224942000.0,0.0,0.0,,
Payables And Accrued Expenses,833038000.0,774612000.0,760905000.0,746285000.0,808597000.0,,
Current Accrued Expenses,482376000.0,419886000.0,426973000.0,415364000.0,482815000.0,,
Interest Payable,75834000.0,58667000.0,75101000.0,58377000.0,80225000.0,,
Payables,350662000.0,354726000.0,333932000.0,330921000.0,325782000.0,,
Dividends Payable,252757000.0,253107000.0,251378000.0,244967000.0,244519000.0,,
Accounts Payable,97905000.0,101619000.0,82554000.0,85954000.0,81263000.0,,
Total Assets,21949232000.0,21837945000.0,21215714000.0,21000737000.0,21308411000.0,,
Total Non Current Assets,21627341000.0,21542573000.0,20996607000.0,20733661000.0,20515934000.0,,
Other Non Current Assets,643790000.0,605741000.0,559329000.0,540950000.0,511771000.0,,
Non Current Deferred Assets,101523000.0,64221000.0,54454000.0,43675000.0,49620000.0,,
Investments And Advances,206185000.0,227207000.0,226622000.0,227320000.0,227831000.0,,
Long Term Equity Investment,206185000.0,227207000.0,226622000.0,227320000.0,227831000.0,,
Investmentsin Associatesat Cost,,227207000.0,226622000.0,,227831000.0,222065000.0,220384000.0
Investment Properties,20526249000.0,20494489000.0,20002464000.0,19767062000.0,19569718000.0,,
Net PPE,149594000.0,150915000.0,153738000.0,154654000.0,156994000.0,,
Gross PPE,149594000.0,150915000.0,153738000.0,154654000.0,156994000.0,,
Other Properties,149594000.0,150915000.0,153738000.0,154654000.0,156994000.0,,
Current Assets,321891000.0,295372000.0,219107000.0,267076000.0,792477000.0,,
Restricted Cash,198578000.0,192547000.0,165852000.0,158500000.0,240121000.0,,
Cash Cash Equivalents And Short Term Investments,123313000.0,102825000.0,53255000.0,108576000.0,552356000.0,,
Cash And Cash Equivalents,123313000.0,102825000.0,53255000.0,108576000.0,552356000.0,,
