,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Ordinary Shares Number,4722000000.0,4703000000.0,4702000000.0,4686000000.0,4671000000.0,
Share Issued,4722000000.0,4703000000.0,4702000000.0,4686000000.0,4671000000.0,
Net Debt,53501000000.0,57799000000.0,57250000000.0,58179000000.0,59946000000.0,
Total Debt,64229000000.0,67282000000.0,66579000000.0,67566000000.0,69959000000.0,
Tangible Book Value,-58868000000.0,-64608000000.0,-66665000000.0,-70778000000.0,-75256000000.0,
Invested Capital,137496000000.0,136857000000.0,136346000000.0,135205000000.0,135549000000.0,
Working Capital,8294000000.0,1584000000.0,80000000.0,2898000000.0,726000000.0,
Net Tangible Assets,-58868000000.0,-64608000000.0,-66665000000.0,-70778000000.0,-75256000000.0,
Capital Lease Obligations,10000000.0,11000000.0,22000000.0,39000000.0,61000000.0,
Common Stock Equity,73277000000.0,69586000000.0,69789000000.0,67678000000.0,65651000000.0,
Total Capitalization,136100000000.0,131330000000.0,130704000000.0,133960000000.0,132432000000.0,
Total Equity Gross Minority Interest,73277000000.0,69586000000.0,69789000000.0,67678000000.0,65651000000.0,
Stockholders Equity,73277000000.0,69586000000.0,69789000000.0,67678000000.0,65651000000.0,
Gains Losses Not Affecting Retained Earnings,221000000.0,206000000.0,207000000.0,207000000.0,208000000.0,
Other Equity Adjustments,221000000.0,206000000.0,207000000.0,207000000.0,208000000.0,
Retained Earnings,4040000000.0,2686000000.0,2729000000.0,0.0,-1875000000.0,
Additional Paid In Capital,69011000000.0,66689000000.0,66848000000.0,67466000000.0,67313000000.0,
Capital Stock,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,92344000000.0,95044000000.0,95569000000.0,97967000000.0,102315000000.0,
Total Non Current Liabilities Net Minority Interest,75640000000.0,74447000000.0,74659000000.0,81270000000.0,83094000000.0,
Other Non Current Liabilities,1410000000.0,1445000000.0,1467000000.0,1503000000.0,1587000000.0,
Tradeand Other Payables Non Current,3817000000.0,3732000000.0,3621000000.0,3669000000.0,3356000000.0,
Non Current Deferred Liabilities,7583000000.0,7519000000.0,8645000000.0,9803000000.0,11353000000.0,
Non Current Deferred Revenue,4031000000.0,4154000000.0,4628000000.0,5100000000.0,5759000000.0,
Non Current Deferred Taxes Liabilities,3552000000.0,3365000000.0,4017000000.0,4703000000.0,5594000000.0,
Long Term Debt And Capital Lease Obligation,62830000000.0,61751000000.0,60926000000.0,66295000000.0,66798000000.0,
Long Term Capital Lease Obligation,7000000.0,7000000.0,11000000.0,13000000.0,17000000.0,
Long Term Debt,62823000000.0,61744000000.0,60915000000.0,66282000000.0,66781000000.0,
Current Liabilities,16704000000.0,20597000000.0,20910000000.0,16697000000.0,19221000000.0,
Other Current Liabilities,795000000.0,992000000.0,1124000000.0,1143000000.0,1198000000.0,
Current Deferred Liabilities,10305000000.0,10303000000.0,9908000000.0,9395000000.0,9789000000.0,
Current Deferred Revenue,10305000000.0,10303000000.0,9908000000.0,9395000000.0,9789000000.0,
Current Debt And Capital Lease Obligation,1399000000.0,5531000000.0,5653000000.0,1271000000.0,3161000000.0,
Current Capital Lease Obligation,3000000.0,4000000.0,11000000.0,26000000.0,44000000.0,
Current Debt,1396000000.0,5527000000.0,5642000000.0,1245000000.0,3117000000.0,
Other Current Borrowings,900000000.0,1650000000.0,1650000000.0,1245000000.0,3117000000.0,
Commercial Paper,496000000.0,3877000000.0,3992000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,1719000000.0,1266000000.0,922000000.0,1971000000.0,1725000000.0,
Payables And Accrued Expenses,2486000000.0,2505000000.0,3303000000.0,2917000000.0,3348000000.0,
Current Accrued Expenses,644000000.0,562000000.0,575000000.0,535000000.0,500000000.0,
Interest Payable,644000000.0,562000000.0,575000000.0,535000000.0,500000000.0,
Payables,1842000000.0,1943000000.0,2728000000.0,2382000000.0,2848000000.0,
Total Tax Payable,410000000.0,646000000.0,823000000.0,720000000.0,1091000000.0,
Accounts Payable,1432000000.0,1297000000.0,1905000000.0,1662000000.0,1757000000.0,
Total Assets,165621000000.0,164630000000.0,165358000000.0,165645000000.0,167966000000.0,
Total Non Current Assets,140623000000.0,142449000000.0,144368000000.0,146050000000.0,148019000000.0,
Other Non Current Assets,6027000000.0,5793000000.0,5449000000.0,5073000000.0,4510000000.0,
Goodwill And Other Intangible Assets,132145000000.0,134194000000.0,136454000000.0,138456000000.0,140907000000.0,
Other Intangible Assets,34344000000.0,36393000000.0,38583000000.0,40583000000.0,43034000000.0,
Goodwill,97801000000.0,97801000000.0,97871000000.0,97873000000.0,97873000000.0,
Net PPE,2451000000.0,2462000000.0,2465000000.0,2521000000.0,2602000000.0,
Accumulated Depreciation,,,,-4504000000.0,,
Gross PPE,,,,7025000000.0,,
Construction In Progress,,,,57000000.0,,
Machinery Furniture Equipment,,,,5246000000.0,,
Buildings And Improvements,,,,1518000000.0,,
Land And Improvements,,,,204000000.0,,
Properties,,,,0.0,,
Current Assets,24998000000.0,22181000000.0,20990000000.0,19595000000.0,19947000000.0,
Other Current Assets,656000000.0,959000000.0,813000000.0,764000000.0,809000000.0,
Assets Held For Sale Current,,,,,,5221000000.0
Prepaid Assets,793000000.0,936000000.0,1285000000.0,1391000000.0,1070000000.0,
Inventory,2180000000.0,2017000000.0,1908000000.0,1760000000.0,1894000000.0,
Finished Goods,477000000.0,500000000.0,565000000.0,504000000.0,568000000.0,
Work In Process,1349000000.0,1119000000.0,950000000.0,970000000.0,896000000.0,
Raw Materials,354000000.0,398000000.0,393000000.0,286000000.0,430000000.0,
Receivables,10651000000.0,8797000000.0,7677000000.0,6332000000.0,6222000000.0,
Other Receivables,4157000000.0,3234000000.0,2722000000.0,1916000000.0,1557000000.0,
Accounts Receivable,6494000000.0,5563000000.0,4955000000.0,4416000000.0,4665000000.0,
