,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.082,0.173,0.134,0.124688,0.178
Normalized EBITDA,466000000.0,362000000.0,467000000.0,502000000.0,428000000.0
Net Income From Continuing Operation Net Minority Interest,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Reconciled Depreciation,72000000.0,73000000.0,72000000.0,69000000.0,63000000.0
Reconciled Cost Of Revenue,850000000.0,802000000.0,782000000.0,785000000.0,723000000.0
EBITDA,466000000.0,362000000.0,467000000.0,502000000.0,428000000.0
EBIT,394000000.0,289000000.0,395000000.0,433000000.0,365000000.0
Net Interest Income,-12000000.0,-15000000.0,-13000000.0,-8000000.0,-3000000.0
Interest Expense,28000000.0,29000000.0,28000000.0,32000000.0,22000000.0
Interest Income,16000000.0,14000000.0,15000000.0,24000000.0,19000000.0
Normalized Income,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Net Income From Continuing And Discontinued Operation,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Total Expenses,1378000000.0,1368000000.0,1305000000.0,1293000000.0,1245000000.0
Total Operating Income As Reported,360000000.0,300000000.0,376000000.0,408000000.0,333000000.0
Diluted Average Shares,285000000.0,285000000.0,287000000.0,287000000.0,291000000.0
Basic Average Shares,284000000.0,285000000.0,285000000.0,286000000.0,290000000.0
Diluted EPS,1.18,0.75,1.11,1.22,0.97
Basic EPS,1.18,0.75,1.12,1.23,0.97
Diluted NI Availto Com Stockholders,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Net Income Common Stockholders,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Net Income,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Net Income Including Noncontrolling Interests,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Net Income Continuous Operations,336000000.0,215000000.0,318000000.0,351000000.0,282000000.0
Tax Provision,30000000.0,45000000.0,49000000.0,50000000.0,61000000.0
Pretax Income,366000000.0,260000000.0,367000000.0,401000000.0,343000000.0
Other Income Expense,18000000.0,-25000000.0,4000000.0,1000000.0,13000000.0
Other Non Operating Income Expenses,18000000.0,-25000000.0,4000000.0,1000000.0,13000000.0
Net Non Operating Interest Income Expense,-12000000.0,-15000000.0,-13000000.0,-8000000.0,-3000000.0
Interest Expense Non Operating,28000000.0,29000000.0,28000000.0,32000000.0,22000000.0
Interest Income Non Operating,16000000.0,14000000.0,15000000.0,24000000.0,19000000.0
Operating Income,360000000.0,300000000.0,376000000.0,408000000.0,333000000.0
Operating Expense,528000000.0,566000000.0,523000000.0,508000000.0,522000000.0
Research And Development,111000000.0,112000000.0,113000000.0,111000000.0,127000000.0
Selling General And Administration,417000000.0,454000000.0,410000000.0,397000000.0,395000000.0
Gross Profit,888000000.0,866000000.0,899000000.0,916000000.0,855000000.0
Cost Of Revenue,850000000.0,802000000.0,782000000.0,785000000.0,723000000.0
Total Revenue,1738000000.0,1668000000.0,1681000000.0,1701000000.0,1578000000.0
Operating Revenue,1738000000.0,1668000000.0,1681000000.0,1701000000.0,1578000000.0
