,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,12700000.0,663300000.0,336800000.0,213900000.0,-157600000.0
Repurchase Of Capital Stock,-150500000.0,-130700000.0,-300000.0,-3600000.0,-300000.0
Repayment Of Debt,-321100000.0,-505200000.0,-400000000.0,-197300000.0,-240000000.0
Issuance Of Debt,348500000.0,317800000.0,180000000.0,270300000.0,470000000.0
Capital Expenditure,-29600000.0,-36400000.0,-23600000.0,-22800000.0,-32100000.0
Interest Paid Supplemental Data,14200000.0,40700000.0,19900000.0,48500000.0,22400000.0
Income Tax Paid Supplemental Data,71400000.0,67700000.0,42700000.0,54300000.0,115100000.0
End Cash Position,290700000.0,561500000.0,317200000.0,289900000.0,292800000.0
Beginning Cash Position,561500000.0,317200000.0,289900000.0,292800000.0,304400000.0
Effect Of Exchange Rate Changes,1100000.0,8000000.0,-2200000.0,-5100000.0,2100000.0
Changes In Cash,-271900000.0,236300000.0,29500000.0,2200000.0,-13700000.0
Financing Cash Flow,-214200000.0,-423300000.0,-305200000.0,-24100000.0,151800000.0
Cash Flow From Continuing Financing Activities,-214200000.0,-423400000.0,-305100000.0,-24200000.0,151800000.0
Net Other Financing Charges,-4200000.0,-12800000.0,-2900000.0,-3500000.0,-2300000.0
Proceeds From Stock Option Exercised,16200000.0,10700000.0,21000000.0,12800000.0,17800000.0
Cash Dividends Paid,-103100000.0,-103100000.0,-103000000.0,-102800000.0,-93400000.0
Common Stock Dividend Paid,-103100000.0,-103100000.0,-103000000.0,-102800000.0,-93400000.0
Net Common Stock Issuance,-150500000.0,-130700000.0,-300000.0,-3600000.0,-300000.0
Common Stock Payments,-150500000.0,-130700000.0,-300000.0,-3600000.0,-300000.0
Net Issuance Payments Of Debt,27400000.0,-187400000.0,-220000000.0,73000000.0,230000000.0
Net Long Term Debt Issuance,27400000.0,-187400000.0,-220000000.0,73000000.0,230000000.0
Long Term Debt Payments,-321100000.0,-505200000.0,-400000000.0,-197300000.0,-240000000.0
Long Term Debt Issuance,348500000.0,317800000.0,180000000.0,270300000.0,470000000.0
Investing Cash Flow,-100000000.0,-40100000.0,-25700000.0,-210300000.0,-40100000.0
Cash Flow From Continuing Investing Activities,-100000000.0,-40000000.0,-25800000.0,-210300000.0,-40100000.0
Net Other Investing Changes,-14600000.0,-3700000.0,-2100000.0,,
Net Business Purchase And Sale,-55800000.0,0.0,0.0,-185500000.0,-8000000.0
Purchase Of Business,-55800000.0,0.0,0.0,-185500000.0,-8000000.0
Net Intangibles Purchase And Sale,-14400000.0,-20800000.0,-12100000.0,-14000000.0,-24200000.0
Purchase Of Intangibles,-14400000.0,-20800000.0,-12100000.0,-14000000.0,-24200000.0
Capital Expenditure Reported,-15200000.0,-15600000.0,-11500000.0,-8800000.0,-7900000.0
Operating Cash Flow,42300000.0,699700000.0,360400000.0,236700000.0,-125500000.0
Cash Flow From Continuing Operating Activities,42500000.0,699600000.0,360400000.0,236800000.0,-125500000.0
Change In Working Capital,-220900000.0,152400000.0,-23700000.0,-34600000.0,-318700000.0
Change In Other Working Capital,-5900000.0,16700000.0,21800000.0,39800000.0,-21800000.0
Change In Other Current Liabilities,-2300000.0,-7300000.0,-5200000.0,2700000.0,-3000000.0
Change In Other Current Assets,-35800000.0,-52300000.0,-34700000.0,-46600000.0,-20000000.0
Change In Payables And Accrued Expense,-311700000.0,74000000.0,125800000.0,107400000.0,-453700000.0
Change In Receivables,134800000.0,121300000.0,-131400000.0,-137900000.0,179800000.0
Changes In Account Receivables,134800000.0,121300000.0,-131400000.0,-137900000.0,179800000.0
Other Non Cash Items,22900000.0,30500000.0,43100000.0,37600000.0,35200000.0
Stock Based Compensation,15500000.0,16000000.0,20800000.0,21700000.0,14900000.0
Unrealized Gain Loss On Investment Securities,-45800000.0,,,,
Asset Impairment Charge,900000.0,11200000.0,1000000.0,2200000.0,100000.0
Deferred Tax,20800000.0,32300000.0,-5300000.0,-14900000.0,-17300000.0
Deferred Income Tax,20800000.0,32300000.0,-5300000.0,-14900000.0,-17300000.0
Depreciation Amortization Depletion,83500000.0,83100000.0,81400000.0,82300000.0,80500000.0
Depreciation And Amortization,83500000.0,83100000.0,81400000.0,82300000.0,80500000.0
Amortization Cash Flow,50800000.0,50000000.0,48900000.0,49500000.0,48200000.0
Amortization Of Intangibles,50800000.0,50000000.0,48900000.0,49500000.0,48200000.0
Depreciation,32700000.0,33100000.0,32500000.0,32800000.0,32300000.0
Net Income From Continuing Operations,165400000.0,374200000.0,243100000.0,142400000.0,79800000.0
