,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,865000000.0,1295000000.0,2791000000.0,-499000000.0,-1737000000.0,,
Repurchase Of Capital Stock,-375000000.0,0.0,-375000000.0,-15000000.0,-375000000.0,,
Repayment Of Debt,-512000000.0,-11000000.0,-11000000.0,-414000000.0,-9000000.0,,
Issuance Of Debt,989000000.0,800000000.0,0.0,,,0.0,1139000000.0
Capital Expenditure,-108000000.0,-232000000.0,-126000000.0,-99000000.0,-90000000.0,,
End Cash Position,4593000000.0,3874000000.0,3326000000.0,3810000000.0,2867000000.0,,
Beginning Cash Position,3874000000.0,3326000000.0,3810000000.0,2867000000.0,5133000000.0,,
Effect Of Exchange Rate Changes,-2000000.0,-4000000.0,4000000.0,-12000000.0,9000000.0,,
Changes In Cash,721000000.0,552000000.0,-488000000.0,955000000.0,-2275000000.0,,
Financing Cash Flow,-110000000.0,656000000.0,-507000000.0,2331000000.0,-540000000.0,,
Cash Flow From Continuing Financing Activities,-110000000.0,656000000.0,-507000000.0,2331000000.0,-540000000.0,,
Net Other Financing Charges,-83000000.0,-13000000.0,3000000.0,13000000.0,-28000000.0,,
Cash Dividends Paid,-129000000.0,-120000000.0,-124000000.0,-122000000.0,-128000000.0,,
Common Stock Dividend Paid,-129000000.0,-120000000.0,-124000000.0,-122000000.0,-128000000.0,,
Net Common Stock Issuance,-375000000.0,0.0,-375000000.0,-15000000.0,-375000000.0,,
Common Stock Payments,-375000000.0,0.0,-375000000.0,-15000000.0,-375000000.0,,
Net Issuance Payments Of Debt,477000000.0,789000000.0,-11000000.0,2455000000.0,-9000000.0,,
Net Long Term Debt Issuance,477000000.0,789000000.0,-11000000.0,2455000000.0,-9000000.0,,
Long Term Debt Payments,-512000000.0,-11000000.0,-11000000.0,-414000000.0,-9000000.0,,
Long Term Debt Issuance,989000000.0,800000000.0,0.0,,,0.0,1139000000.0
Investing Cash Flow,-142000000.0,-1631000000.0,-2898000000.0,-976000000.0,-88000000.0,,
Cash Flow From Continuing Investing Activities,-142000000.0,-1631000000.0,-2898000000.0,-976000000.0,-88000000.0,,
Net Other Investing Changes,7000000.0,,,,,,
Net Investment Purchase And Sale,,-1000000.0,4000000.0,199000000.0,0.0,355000000.0,
Sale Of Investment,,-7000000.0,7000000.0,202000000.0,0.0,356000000.0,
Purchase Of Investment,,6000000.0,-3000000.0,,,-1000000.0,-551000000.0
Net Business Purchase And Sale,-41000000.0,-1397000000.0,-2779000000.0,-1076000000.0,2000000.0,,
Sale Of Business,,,0.0,0.0,2000000.0,0.0,0.0
Purchase Of Business,-41000000.0,-1395000000.0,-2779000000.0,,,2000000.0,-1192000000.0
Net PPE Purchase And Sale,-108000000.0,-235000000.0,-123000000.0,-99000000.0,-90000000.0,,
Sale Of PPE,,,3000000.0,0.0,0.0,2000000.0,8000000.0
Purchase Of PPE,-108000000.0,-232000000.0,-126000000.0,-99000000.0,-90000000.0,,
Operating Cash Flow,973000000.0,1527000000.0,2917000000.0,-400000000.0,-1647000000.0,,
Cash Flow From Continuing Operating Activities,973000000.0,1527000000.0,2917000000.0,-400000000.0,-1647000000.0,,
Change In Working Capital,173000000.0,633000000.0,2175000000.0,-1039000000.0,-2292000000.0,,
Change In Payables And Accrued Expense,1448000000.0,1706000000.0,1531000000.0,791000000.0,-1902000000.0,,
Change In Accrued Expense,-699000000.0,-72000000.0,107000000.0,-133000000.0,-508000000.0,,
Change In Payable,2147000000.0,1778000000.0,1424000000.0,924000000.0,-1394000000.0,,
Change In Account Payable,2147000000.0,1778000000.0,1424000000.0,924000000.0,-1394000000.0,,
Change In Inventory,-736000000.0,-607000000.0,758000000.0,-1289000000.0,-678000000.0,,
Change In Receivables,-539000000.0,-466000000.0,-114000000.0,-541000000.0,288000000.0,,
Changes In Account Receivables,-539000000.0,-466000000.0,-114000000.0,-541000000.0,288000000.0,,
Stock Based Compensation,93000000.0,153000000.0,31000000.0,30000000.0,30000000.0,,
Provisionand Write Offof Assets,13000000.0,12000000.0,13000000.0,12000000.0,16000000.0,,
Asset Impairment Charge,7000000.0,34000000.0,-17000000.0,4000000.0,0.0,,
Depreciation Amortization Depletion,233000000.0,209000000.0,207000000.0,192000000.0,182000000.0,,
Depreciation And Amortization,233000000.0,209000000.0,207000000.0,192000000.0,182000000.0,,
Net Income From Continuing Operations,454000000.0,243000000.0,508000000.0,401000000.0,417000000.0,,
