,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-784515000.0,328474000.0,-182727000.0,964618000.0,696544000.0,,
Repayment Of Debt,,,,0.0,0.0,,
Issuance Of Debt,2957135000.0,0.0,0.0,0.0,0.0,,
Interest Paid Supplemental Data,,,,35119000.0,0.0,33424000.0,0.0
Income Tax Paid Supplemental Data,16689000.0,,,-113107000.0,31555000.0,76024000.0,5528000.0
End Cash Position,14305255000.0,12634286000.0,13303915000.0,14610442000.0,11617013000.0,,
Beginning Cash Position,12634286000.0,13303915000.0,14610442000.0,11617013000.0,11274884000.0,,
Effect Of Exchange Rate Changes,10023000.0,78190000.0,1655000.0,-68031000.0,45587000.0,,
Changes In Cash,1660946000.0,-747819000.0,-1308182000.0,3061460000.0,296542000.0,,
Financing Cash Flow,3181035000.0,-391137000.0,-893802000.0,2146258000.0,-311325000.0,,
Cash Flow From Continuing Financing Activities,3181035000.0,-391137000.0,-893802000.0,2146258000.0,-311325000.0,,
Net Other Financing Charges,196971000.0,-433374000.0,-912125000.0,2083914000.0,-327847000.0,,
Proceeds From Stock Option Exercised,26929000.0,42237000.0,18323000.0,62344000.0,16522000.0,,
Net Issuance Payments Of Debt,2957135000.0,0.0,0.0,0.0,0.0,,
Net Long Term Debt Issuance,2957135000.0,0.0,0.0,0.0,0.0,,
Long Term Debt Payments,,,,0.0,0.0,,
Long Term Debt Issuance,2957135000.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-735574000.0,-685156000.0,-231653000.0,-49416000.0,-88677000.0,,
Cash Flow From Continuing Investing Activities,-735574000.0,-685156000.0,-231653000.0,-49416000.0,-88677000.0,,
Net Other Investing Changes,9335000.0,-426332000.0,-94192000.0,-15316000.0,-70352000.0,,
Net Investment Purchase And Sale,-57275000.0,-258824000.0,-137461000.0,-34100000.0,-18325000.0,,
Sale Of Investment,163928000.0,51821000.0,10622000.0,-52586000.0,161000.0,,
Purchase Of Investment,-221203000.0,-310645000.0,-148083000.0,18486000.0,-18486000.0,,
Operating Cash Flow,-784515000.0,328474000.0,-182727000.0,964618000.0,696544000.0,,
Cash Flow From Continuing Operating Activities,-784515000.0,328474000.0,-182727000.0,964619000.0,696544000.0,,
Change In Working Capital,-1474596000.0,90252000.0,-1126502000.0,-155386000.0,245018000.0,,
Change In Other Working Capital,,90252000.0,-1126502000.0,-458661000.0,548293000.0,-93632000.0,
Change In Other Current Liabilities,,,,,,,-82190000.0
Change In Other Current Assets,,,,,,,-303363000.0
Change In Prepaid Assets,,,,,,,-21260000.0
Change In Receivables,,,,,,,-108802000.0
Changes In Account Receivables,,,,,,,-108802000.0
Other Non Cash Items,-41752000.0,-63412000.0,111994000.0,-114440000.0,-1037000.0,,
Stock Based Compensation,222069000.0,196160000.0,190729000.0,221984000.0,248416000.0,,
Unrealized Gain Loss On Investment Securities,,,,0.0,386751000.0,,
Asset Impairment Charge,,,,18717000.0,0.0,0.0,0.0
Deferred Tax,86527000.0,454511000.0,-54540000.0,90240000.0,-22886000.0,,
Deferred Income Tax,86527000.0,454511000.0,-54540000.0,90240000.0,-22886000.0,,
Depreciation Amortization Depletion,50078000.0,33901000.0,33333000.0,32995000.0,30695000.0,,
Depreciation And Amortization,50078000.0,33901000.0,33333000.0,32995000.0,30695000.0,,
Operating Gains Losses,-59393000.0,-1811838000.0,596651000.0,-420668000.0,120843000.0,,
Gain Loss On Investment Securities,-23653000.0,-1837501000.0,596651000.0,-476152000.0,120985000.0,,
Net Foreign Currency Exchange Gain Loss,,,,,,,-992000.0
Net Income From Continuing Operations,432552000.0,1428900000.0,65608000.0,1291176000.0,75495000.0,,
