,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.175811,0.220987,0.21,0.207,0.157695
Normalized EBITDA,746005000.0,721364000.0,738249000.0,717207000.0,682673000.0
Net Income From Continuing Operation Net Minority Interest,491140000.0,448256000.0,463497000.0,448495000.0,452033000.0
Reconciled Depreciation,125937000.0,121889000.0,127047000.0,124855000.0,120392000.0
Reconciled Cost Of Revenue,1351561000.0,1341663000.0,1289818000.0,1285080000.0,1249456000.0
EBITDA,746005000.0,721364000.0,738249000.0,717207000.0,682673000.0
EBIT,620068000.0,599475000.0,611202000.0,592352000.0,562281000.0
Net Interest Income,-21952000.0,-22037000.0,-23415000.0,-25703000.0,-24369000.0
Interest Expense,24161000.0,24060000.0,24764000.0,26665000.0,25619000.0
Interest Income,2209000.0,2023000.0,1349000.0,962000.0,1250000.0
Normalized Income,491140000.0,448256000.0,463497000.0,448495000.0,452033000.0
Net Income From Continuing And Discontinued Operation,491140000.0,448256000.0,463497000.0,448495000.0,452033000.0
Total Expenses,2100263000.0,2070200000.0,1999306000.0,1970393000.0,1940556000.0
Total Operating Income As Reported,617859000.0,597452000.0,609853000.0,591390000.0,561031000.0
Diluted Average Shares,409294000.0,409685000.0,410307000.0,410667000.0,410496000.0
Basic Average Shares,403292000.0,403412000.0,403769000.0,403581000.0,403382000.0
Diluted EPS,1.2,1.09,1.13,1.09,1.1
Basic EPS,1.21,1.11,1.14,1.11,1.12
Diluted NI Availto Com Stockholders,489489000.0,446696000.0,461868000.0,446910000.0,450379000.0
Net Income Common Stockholders,489489000.0,446696000.0,461868000.0,446910000.0,450379000.0
Otherunder Preferred Stock Dividend,1651000.0,1560000.0,1629000.0,1585000.0,1654000.0
Net Income,491140000.0,448256000.0,463497000.0,448495000.0,452033000.0
Net Income Including Noncontrolling Interests,491140000.0,448256000.0,463497000.0,448495000.0,452033000.0
Net Income Continuous Operations,491140000.0,448256000.0,463497000.0,448495000.0,452033000.0
Tax Provision,104767000.0,127159000.0,122941000.0,117192000.0,84629000.0
Pretax Income,595907000.0,575415000.0,586438000.0,565687000.0,536662000.0
Net Non Operating Interest Income Expense,-21952000.0,-22037000.0,-23415000.0,-25703000.0,-24369000.0
Interest Expense Non Operating,24161000.0,24060000.0,24764000.0,26665000.0,25619000.0
Interest Income Non Operating,2209000.0,2023000.0,1349000.0,962000.0,1250000.0
Operating Income,617859000.0,597452000.0,609853000.0,591390000.0,561031000.0
Operating Expense,748702000.0,728537000.0,709488000.0,685313000.0,691100000.0
Selling General And Administration,748702000.0,728537000.0,709488000.0,685313000.0,691100000.0
Gross Profit,1366561000.0,1325989000.0,1319341000.0,1276703000.0,1252131000.0
Cost Of Revenue,1351561000.0,1341663000.0,1289818000.0,1285080000.0,1249456000.0
Total Revenue,2718122000.0,2667652000.0,2609159000.0,2561783000.0,2501587000.0
Operating Revenue,2091066000.0,2030680000.0,2021144000.0,1990410000.0,1933839000.0
