,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,840000.0,1638000.0,15616000.0,-18017567.567568,-9307000.0,,
Tax Rate For Calcs,0.21,0.234,0.244,0.268919,0.227,,
Normalized EBITDA,1026000000.0,983000000.0,956000000.0,969000000.0,936000000.0,,
Total Unusual Items,4000000.0,7000000.0,64000000.0,-67000000.0,-41000000.0,,
Total Unusual Items Excluding Goodwill,4000000.0,7000000.0,64000000.0,-67000000.0,-41000000.0,,
Net Income From Continuing Operation Net Minority Interest,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Reconciled Depreciation,135000000.0,139000000.0,136000000.0,143000000.0,133000000.0,,
Reconciled Cost Of Revenue,3581000000.0,3479000000.0,3397000000.0,3295000000.0,3307000000.0,,
EBITDA,1030000000.0,990000000.0,1020000000.0,902000000.0,895000000.0,,
EBIT,895000000.0,851000000.0,884000000.0,759000000.0,762000000.0,,
Net Interest Income,17000000.0,14000000.0,18000000.0,9000000.0,17000000.0,,
Interest Expense,8000000.0,9000000.0,12000000.0,19000000.0,14000000.0,,
Interest Income,25000000.0,23000000.0,30000000.0,28000000.0,31000000.0,,
Normalized Income,270840000.0,639638000.0,614616000.0,594982432.432432,613693000.0,,
Net Income From Continuing And Discontinued Operation,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Total Expenses,4549000000.0,4428000000.0,4324000000.0,4282000000.0,4273000000.0,,
Total Operating Income As Reported,866000000.0,817000000.0,853000000.0,751000000.0,738000000.0,,
Diluted Average Shares,487000000.0,492000000.0,495000000.0,496000000.0,496000000.0,,
Basic Average Shares,486000000.0,492000000.0,494000000.0,495000000.0,496000000.0,,
Diluted EPS,0.56,1.31,1.34,1.1,1.17,,
Basic EPS,0.56,1.31,1.34,1.1,1.17,,
Diluted NI Availto Com Stockholders,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Net Income Common Stockholders,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Net Income,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Net Income Including Noncontrolling Interests,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Net Income Continuous Operations,274000000.0,645000000.0,663000000.0,546000000.0,582000000.0,,
Earnings From Equity Interest Net Of Tax,0.0,0.0,4000000.0,5000000.0,4000000.0,,
Tax Provision,613000000.0,197000000.0,213000000.0,199000000.0,170000000.0,,
Pretax Income,887000000.0,842000000.0,872000000.0,740000000.0,748000000.0,,
Other Income Expense,4000000.0,11000000.0,63000000.0,-69000000.0,-40000000.0,,
Other Non Operating Income Expenses,,4000000.0,-1000000.0,,1000000.0,-1000000.0,2000000.0
Special Income Charges,0.0,0.0,62000000.0,-49000000.0,-33000000.0,,
Gain On Sale Of Ppe,0.0,0.0,62000000.0,,,0.0,0.0
Restructuring And Mergern Acquisition,0.0,0.0,0.0,26000000.0,33000000.0,,
Gain On Sale Of Security,4000000.0,7000000.0,2000000.0,-18000000.0,-8000000.0,,
Net Non Operating Interest Income Expense,17000000.0,14000000.0,18000000.0,9000000.0,17000000.0,,
Interest Expense Non Operating,8000000.0,9000000.0,12000000.0,19000000.0,14000000.0,,
Interest Income Non Operating,25000000.0,23000000.0,30000000.0,28000000.0,31000000.0,,
Operating Income,866000000.0,817000000.0,791000000.0,800000000.0,771000000.0,,
Operating Expense,968000000.0,949000000.0,927000000.0,985000000.0,962000000.0,,
Depreciation Amortization Depletion Income Statement,135000000.0,139000000.0,136000000.0,141000000.0,129000000.0,,
Depreciation And Amortization In Income Statement,135000000.0,139000000.0,136000000.0,141000000.0,129000000.0,,
Selling General And Administration,833000000.0,810000000.0,791000000.0,844000000.0,833000000.0,,
Gross Profit,1834000000.0,1766000000.0,1718000000.0,1785000000.0,1733000000.0,,
Cost Of Revenue,3581000000.0,3479000000.0,3397000000.0,3297000000.0,3311000000.0,,
Total Revenue,5415000000.0,5245000000.0,5115000000.0,5082000000.0,5044000000.0,,
Operating Revenue,5415000000.0,5245000000.0,5115000000.0,5082000000.0,5044000000.0,,
