,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,4941000000.0,4864000000.0,1262000000.0,4357000000.0,5619000000.0,,
Repurchase Of Capital Stock,-2566000000.0,-2598000000.0,-3917000000.0,-4500000000.0,-4750000000.0,,
Repayment Of Debt,-3616000000.0,-4761000000.0,-2778000000.0,-1556000000.0,-12000000.0,,
Issuance Of Debt,5675000000.0,4462000000.0,7808000000.0,168000000.0,2596000000.0,,
Capital Expenditure,-4444000000.0,-3712000000.0,-3927000000.0,-4338000000.0,-4055000000.0,,
Interest Paid Supplemental Data,163000000.0,286000000.0,124000000.0,261000000.0,88000000.0,,
Income Tax Paid Supplemental Data,1388000000.0,1584000000.0,2552000000.0,1872000000.0,1848000000.0,,
End Cash Position,8783000000.0,5375000000.0,6166000000.0,8262000000.0,5764000000.0,,
Beginning Cash Position,5375000000.0,6166000000.0,8262000000.0,5764000000.0,4965000000.0,,
Effect Of Exchange Rate Changes,-6000000.0,50000000.0,-3000000.0,-85000000.0,83000000.0,,
Changes In Cash,3414000000.0,-841000000.0,-2093000000.0,2583000000.0,716000000.0,,
Financing Cash Flow,-4042000000.0,-5985000000.0,-1664000000.0,-8782000000.0,-5262000000.0,,
Cash Flow From Continuing Financing Activities,-4042000000.0,-5985000000.0,-1664000000.0,-8782000000.0,-5262000000.0,,
Net Other Financing Charges,-190000000.0,-165000000.0,-11000000.0,-143000000.0,-199000000.0,,
Proceeds From Stock Option Exercised,84000000.0,11000000.0,218000000.0,136000000.0,36000000.0,,
Cash Dividends Paid,-3429000000.0,-2934000000.0,-2984000000.0,-2887000000.0,-2933000000.0,,
Common Stock Dividend Paid,-3429000000.0,-2934000000.0,-2984000000.0,-2887000000.0,-2933000000.0,,
Net Common Stock Issuance,-2566000000.0,-2598000000.0,-3917000000.0,-4500000000.0,-4750000000.0,,
Common Stock Payments,-2566000000.0,-2598000000.0,-3917000000.0,-4500000000.0,-4750000000.0,,
Net Issuance Payments Of Debt,2059000000.0,-299000000.0,5030000000.0,-1388000000.0,2584000000.0,,
