,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.21,0.219895,0.21,0.21,,
Normalized EBITDA,-101900000.0,98600000.0,80900000.0,66600000.0,79200000.0,,
Net Income From Continuing Operation Net Minority Interest,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Reconciled Depreciation,44300000.0,53200000.0,53900000.0,58300000.0,52100000.0,,
Reconciled Cost Of Revenue,238800000.0,226600000.0,239000000.0,246600000.0,238700000.0,,
EBITDA,-101900000.0,98600000.0,80900000.0,66600000.0,79200000.0,,
EBIT,-146200000.0,45400000.0,27000000.0,8300000.0,27100000.0,,
Net Interest Income,-6700000.0,-7100000.0,-7900000.0,-7400000.0,-8800000.0,,
Interest Expense,6700000.0,7100000.0,7900000.0,7400000.0,8800000.0,,
Normalized Income,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Net Income From Continuing And Discontinued Operation,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Total Expenses,451100000.0,422400000.0,450800000.0,436700000.0,419200000.0,,
Total Operating Income As Reported,30500000.0,42300000.0,31000000.0,28500000.0,20800000.0,,
Diluted Average Shares,159800000.0,161000000.0,161900000.0,161800000.0,159700000.0,,
Basic Average Shares,159800000.0,159900000.0,159400000.0,158300000.0,158100000.0,,
Diluted EPS,-1.23,0.13,0.09,0.07,0.01,,
Basic EPS,-1.23,0.13,0.09,0.07,0.01,,
Diluted NI Availto Com Stockholders,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Net Income Common Stockholders,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Net Income,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Net Income Including Noncontrolling Interests,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Net Income Continuous Operations,-196800000.0,21300000.0,14900000.0,10800000.0,2000000.0,,
Tax Provision,43900000.0,17000000.0,4200000.0,-9900000.0,16300000.0,,
Pretax Income,-152900000.0,38300000.0,19100000.0,900000.0,18300000.0,,
Other Income Expense,-176700000.0,3100000.0,-4000000.0,-20200000.0,6300000.0,,
Other Non Operating Income Expenses,-176700000.0,3100000.0,-4000000.0,-20200000.0,6300000.0,,
Net Non Operating Interest Income Expense,-6700000.0,-7100000.0,-7900000.0,-7400000.0,-8800000.0,,
Interest Expense Non Operating,6700000.0,7100000.0,7900000.0,7400000.0,8800000.0,,
Operating Income,30500000.0,42300000.0,31000000.0,28500000.0,20800000.0,,
Operating Expense,212300000.0,195800000.0,211800000.0,190100000.0,180500000.0,,
Depreciation Amortization Depletion Income Statement,44300000.0,53200000.0,53900000.0,,,50600000.0,48800000.0
Depreciation And Amortization In Income Statement,44300000.0,53200000.0,53900000.0,,,50600000.0,48800000.0
Selling General And Administration,168000000.0,142600000.0,157900000.0,190100000.0,180500000.0,,
Selling And Marketing Expense,86800000.0,83700000.0,86800000.0,93500000.0,86400000.0,,
General And Administrative Expense,81200000.0,58900000.0,71100000.0,96600000.0,94100000.0,,
Other Gand A,81200000.0,58900000.0,71100000.0,96600000.0,94100000.0,,
Gross Profit,242800000.0,238100000.0,242800000.0,218600000.0,201300000.0,,
Cost Of Revenue,238800000.0,226600000.0,239000000.0,246600000.0,238700000.0,,
Total Revenue,481600000.0,464700000.0,481800000.0,465200000.0,440000000.0,,
Operating Revenue,481600000.0,464700000.0,481800000.0,465200000.0,440000000.0,,
