,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-13916000.0,12206000.0,-89434000.0,1071053000.0,-113396000.0,,
Repurchase Of Capital Stock,-289433000.0,-183228000.0,-266862000.0,-45913000.0,-116884000.0,,
Issuance Of Capital Stock,,,2166000.0,0.0,,,1279000.0
Capital Expenditure,-22003000.0,-23940000.0,-16442000.0,-24362000.0,-22846000.0,,
Interest Paid Supplemental Data,450000.0,780000.0,543000.0,448000.0,384000.0,,
Income Tax Paid Supplemental Data,45643000.0,16923000.0,163115000.0,91449000.0,75835000.0,,
End Cash Position,1414479000.0,1720416000.0,1889188000.0,2240923000.0,1225681000.0,,
Beginning Cash Position,1720416000.0,1889188000.0,2240923000.0,1225681000.0,1438397000.0,,
Effect Of Exchange Rate Changes,226000.0,2239000.0,2395000.0,-6430000.0,4908000.0,,
Changes In Cash,-306163000.0,-171011000.0,-354130000.0,1021672000.0,-217624000.0,,
Financing Cash Flow,-292247000.0,-183228000.0,-264696000.0,-49624000.0,-115153000.0,,
Cash Flow From Continuing Financing Activities,-292247000.0,-183228000.0,-264696000.0,-49624000.0,-115153000.0,,
Net Other Financing Charges,,,0.0,,,,
Proceeds From Stock Option Exercised,0.0,0.0,0.0,274000.0,93000.0,,
Net Common Stock Issuance,-287205000.0,-183228000.0,-264696000.0,-45913000.0,-115246000.0,,
Common Stock Payments,-289433000.0,-183228000.0,-266862000.0,-45913000.0,-116884000.0,,
Common Stock Issuance,,,2166000.0,0.0,,,1279000.0
Investing Cash Flow,-22003000.0,-23929000.0,-16442000.0,-24119000.0,-11921000.0,,
Cash Flow From Continuing Investing Activities,-22003000.0,-23929000.0,-16442000.0,-24119000.0,-11921000.0,,
Net Other Investing Changes,0.0,11000.0,0.0,,,,
Net PPE Purchase And Sale,-22003000.0,-23940000.0,-16442000.0,-24362000.0,-22846000.0,,
Sale Of PPE,,,,,,,0.0
Purchase Of PPE,-22003000.0,-23940000.0,-16442000.0,-24362000.0,-22846000.0,,
Operating Cash Flow,8087000.0,36146000.0,-72992000.0,1095415000.0,-90550000.0,,
Cash Flow From Continuing Operating Activities,8087000.0,36146000.0,-72992000.0,1095415000.0,-90550000.0,,
Change In Working Capital,-300957000.0,-131682000.0,-241690000.0,607031000.0,-377740000.0,,
Change In Other Working Capital,3208000.0,1925000.0,208000.0,-2013000.0,-292000.0,,
Change In Other Current Liabilities,-8912000.0,12739000.0,-26401000.0,544000.0,-14839000.0,,
Change In Other Current Assets,-6384000.0,-8438000.0,12727000.0,857000.0,-2945000.0,,
Change In Payables And Accrued Expense,-69610000.0,247979000.0,-289162000.0,160131000.0,-41771000.0,,
Change In Accrued Expense,24680000.0,-66301000.0,-42085000.0,85813000.0,49892000.0,,
Change In Payable,-94290000.0,314280000.0,-247077000.0,74318000.0,-91663000.0,,
Change In Account Payable,-137540000.0,314845000.0,-171257000.0,51119000.0,-110905000.0,,
Change In Tax Payable,43250000.0,-565000.0,-75820000.0,23199000.0,19242000.0,,
Change In Income Tax Payable,43250000.0,-565000.0,-75820000.0,23199000.0,19242000.0,,
Change In Prepaid Assets,-61298000.0,-8817000.0,18444000.0,2320000.0,-39634000.0,,
Change In Inventory,13758000.0,-354125000.0,81443000.0,201068000.0,-27883000.0,,
Change In Receivables,-171719000.0,-22945000.0,-38949000.0,244124000.0,-250376000.0,,
Changes In Account Receivables,-179012000.0,-44199000.0,-29530000.0,237497000.0,-246034000.0,,
Other Non Cash Items,561000.0,556000.0,1449000.0,776000.0,617000.0,,
Stock Based Compensation,11152000.0,8739000.0,9169000.0,8858000.0,11570000.0,,
Asset Impairment Charge,16822000.0,597000.0,329000.0,148000.0,12136000.0,,
Deferred Tax,-8496000.0,-713000.0,-11336000.0,4496000.0,1125000.0,,
Deferred Income Tax,-8496000.0,-713000.0,-11336000.0,4496000.0,1125000.0,,
Depreciation Amortization Depletion,19747000.0,19424000.0,17515000.0,17161000.0,16689000.0,,
Depreciation And Amortization,19747000.0,19424000.0,17515000.0,17161000.0,16689000.0,,
Depreciation,19747000.0,19424000.0,16668000.0,17161000.0,16689000.0,,
Operating Gains Losses,1106000.0,22000.0,161000.0,211000.0,2732000.0,,
Gain Loss On Sale Of PPE,,,,,2732000.0,79000.0,172000.0
Net Income From Continuing Operations,268152000.0,139203000.0,151411000.0,456734000.0,242321000.0,,
