,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Free Cash Flow,1844000000.0,682000000.0,-1923000000.0,3498000000.0,2075000000.0
Repurchase Of Capital Stock,-298000000.0,-397000000.0,-441000000.0,-780000000.0,-805000000.0
Repayment Of Debt,-4966000000.0,-1600000000.0,-3237000000.0,-2440000000.0,-3645000000.0
Issuance Of Debt,5000000000.0,2539000000.0,3168000000.0,2584000000.0,5265000000.0
Capital Expenditure,-1052000000.0,-1018000000.0,-791000000.0,-1594000000.0,-1120000000.0
End Cash Position,8847000000.0,8179000000.0,6907000000.0,7633000000.0,7293000000.0
Beginning Cash Position,8179000000.0,6907000000.0,7633000000.0,7293000000.0,5727000000.0
Effect Of Exchange Rate Changes,88000000.0,107000000.0,-87000000.0,-31000000.0,-1000000.0
Changes In Cash,580000000.0,1165000000.0,-639000000.0,371000000.0,1567000000.0
Financing Cash Flow,-736000000.0,102000000.0,-923000000.0,-1928000000.0,373000000.0
Cash Flow From Continuing Financing Activities,-736000000.0,102000000.0,-923000000.0,-1928000000.0,373000000.0
Net Other Financing Charges,-33000000.0,0.0,-10000000.0,-25000000.0,-36000000.0
Cash Dividends Paid,-439000000.0,-440000000.0,-403000000.0,-403000000.0,-406000000.0
Common Stock Dividend Paid,-439000000.0,-440000000.0,-403000000.0,-403000000.0,-406000000.0
Net Common Stock Issuance,-298000000.0,-397000000.0,-441000000.0,-780000000.0,-805000000.0
Common Stock Payments,-298000000.0,-397000000.0,-441000000.0,-780000000.0,-805000000.0
Net Issuance Payments Of Debt,34000000.0,939000000.0,-69000000.0,-720000000.0,1620000000.0
Net Short Term Debt Issuance,-2611000000.0,2035000000.0,-1484000000.0,-864000000.0,-1050000000.0
Short Term Debt Payments,,,-1484000000.0,,
Net Long Term Debt Issuance,2645000000.0,-1096000000.0,1415000000.0,144000000.0,2670000000.0
Long Term Debt Payments,-2906000000.0,-3084000000.0,-1753000000.0,-2440000000.0,-2653000000.0
Long Term Debt Issuance,5551000000.0,1988000000.0,3168000000.0,2584000000.0,5323000000.0
Investing Cash Flow,-1580000000.0,-637000000.0,1416000000.0,-2793000000.0,-2001000000.0
Cash Flow From Continuing Investing Activities,-1580000000.0,-637000000.0,1416000000.0,-2793000000.0,-2001000000.0
Net Other Investing Changes,-709000000.0,-165000000.0,1854000000.0,-1693000000.0,-1314000000.0
Net Investment Purchase And Sale,-137000000.0,-22000000.0,-80000000.0,16000000.0,-7000000.0
Sale Of Investment,114000000.0,184000000.0,61000000.0,499000000.0,133000000.0
Purchase Of Investment,-251000000.0,-206000000.0,-141000000.0,-483000000.0,-140000000.0
Net PPE Purchase And Sale,-645000000.0,-450000000.0,-358000000.0,-1116000000.0,-680000000.0
Sale Of PPE,407000000.0,568000000.0,433000000.0,478000000.0,440000000.0
Purchase Of PPE,-1052000000.0,-1018000000.0,-791000000.0,-1594000000.0,-1120000000.0
Operating Cash Flow,2896000000.0,1700000000.0,-1132000000.0,5092000000.0,3195000000.0
Cash Flow From Continuing Operating Activities,2896000000.0,1700000000.0,-1132000000.0,5092000000.0,3195000000.0
Change In Working Capital,983000000.0,-875000000.0,-2805000000.0,3261000000.0,973000000.0
Change In Other Working Capital,-19000000.0,287000000.0,-1228000000.0,-135000000.0,22000000.0
Change In Payables And Accrued Expense,181000000.0,947000000.0,-1845000000.0,-25000000.0,285000000.0
Change In Inventory,246000000.0,23000000.0,-795000000.0,554000000.0,643000000.0
Change In Receivables,575000000.0,-2132000000.0,1063000000.0,2867000000.0,23000000.0
Changes In Account Receivables,575000000.0,-2132000000.0,1063000000.0,2867000000.0,23000000.0
Other Non Cash Items,-4000000.0,286000000.0,-16000000.0,29000000.0,-255000000.0
Stock Based Compensation,50000000.0,26000000.0,28000000.0,49000000.0,55000000.0
Provisionand Write Offof Assets,84000000.0,105000000.0,69000000.0,88000000.0,91000000.0
Asset Impairment Charge,61000000.0,0.0,-32000000.0,72000000.0,
Deferred Tax,-113000000.0,-197000000.0,208000000.0,-169000000.0,-5000000.0
Deferred Income Tax,-113000000.0,-197000000.0,208000000.0,-169000000.0,-5000000.0
Depreciation Amortization Depletion,564000000.0,555000000.0,549000000.0,520000000.0,553000000.0
Depreciation And Amortization,564000000.0,555000000.0,549000000.0,520000000.0,553000000.0
Net Income From Continuing Operations,1271000000.0,1800000000.0,867000000.0,1242000000.0,1730000000.0
