,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,437900000.0,238900000.0,116700000.0,205900000.0,355500000.0,,
Repurchase Of Capital Stock,-300000000.0,,,,,,
Repayment Of Debt,-88200000.0,-67800000.0,-48100000.0,-554100000.0,-688500000.0,,
Issuance Of Debt,,,,0.0,649800000.0,0.0,0.0
Capital Expenditure,-122000000.0,-122200000.0,-107200000.0,-118900000.0,-124000000.0,,
End Cash Position,189000000.0,189000000.0,195200000.0,169900000.0,468200000.0,,
Beginning Cash Position,189000000.0,195200000.0,169900000.0,468200000.0,181900000.0,,
Effect Of Exchange Rate Changes,-1200000.0,5100000.0,4400000.0,-2800000.0,-4900000.0,,
Changes In Cash,1200000.0,-11300000.0,20900000.0,-295500000.0,291200000.0,,
Financing Cash Flow,-436700000.0,-251000000.0,-95800000.0,-501400000.0,-64300000.0,,
Cash Flow From Continuing Financing Activities,-436700000.0,-251000000.0,-95800000.0,-501400000.0,-64300000.0,,
Net Other Financing Charges,-2400000.0,-5900000.0,-11500000.0,-800000.0,-6600000.0,,
Proceeds From Stock Option Exercised,13700000.0,12100000.0,12300000.0,10700000.0,29400000.0,,
Cash Dividends Paid,-61500000.0,-62000000.0,-48500000.0,-48400000.0,-48400000.0,,
Common Stock Dividend Paid,-61500000.0,-62000000.0,-48500000.0,,-48400000.0,-48200000.0,
Net Common Stock Issuance,-300000000.0,,,,,,
Common Stock Payments,-300000000.0,,,,,,
Net Issuance Payments Of Debt,-86500000.0,-67800000.0,-48100000.0,-462900000.0,-38700000.0,,
Net Short Term Debt Issuance,-88200000.0,-67800000.0,-48100000.0,287100000.0,-1700000.0,,
Short Term Debt Payments,-88200000.0,-67800000.0,-48100000.0,,-1700000.0,-110800000.0,
Net Long Term Debt Issuance,1700000.0,0.0,0.0,-750000000.0,-37000000.0,,
Long Term Debt Payments,0.0,0.0,0.0,-750000000.0,-686800000.0,,
Long Term Debt Issuance,,,,0.0,649800000.0,0.0,0.0
Investing Cash Flow,-122000000.0,-121400000.0,-107200000.0,-118900000.0,-124000000.0,,
Cash Flow From Continuing Investing Activities,-122000000.0,-121400000.0,-107200000.0,-118900000.0,-124000000.0,,
Net Business Purchase And Sale,0.0,,,0.0,0.0,0.0,0.0
Sale Of Business,0.0,,,0.0,0.0,,
Purchase Of Business,,,,0.0,0.0,0.0,0.0
Capital Expenditure Reported,-122000000.0,-122200000.0,-107200000.0,-118900000.0,-124000000.0,,
Operating Cash Flow,559900000.0,361100000.0,223900000.0,324800000.0,479500000.0,,
Cash Flow From Continuing Operating Activities,559900000.0,361100000.0,223900000.0,324800000.0,479500000.0,,
Change In Working Capital,159100000.0,-18800000.0,-116800000.0,-10300000.0,157400000.0,,
Change In Other Current Liabilities,121200000.0,14500000.0,-56300000.0,24400000.0,111300000.0,,
Change In Other Current Assets,14500000.0,-19300000.0,-5500000.0,-16200000.0,-17100000.0,,
Change In Receivables,23400000.0,-14000000.0,-55000000.0,-18500000.0,63200000.0,,
Changes In Account Receivables,23400000.0,-14000000.0,-55000000.0,-18500000.0,63200000.0,,
Stock Based Compensation,17300000.0,13100000.0,33500000.0,9700000.0,11600000.0,,
Unrealized Gain Loss On Investment Securities,,,,0.0,0.0,0.0,0.0
Deferred Tax,36900000.0,-4300000.0,-3000000.0,-21700000.0,-5600000.0,,
Deferred Income Tax,36900000.0,-4300000.0,-3000000.0,-21700000.0,-5600000.0,,
Depreciation Amortization Depletion,185100000.0,179300000.0,176400000.0,173700000.0,173400000.0,,
Depreciation And Amortization,185100000.0,179300000.0,176400000.0,173700000.0,173400000.0,,
Operating Gains Losses,0.0,,,,,,
Net Income From Continuing Operations,161500000.0,192600000.0,133800000.0,173400000.0,142700000.0,,
