,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,775000000.0,1787000000.0,821000000.0,384000000.0,2345000000.0,,
Repurchase Of Capital Stock,-876000000.0,-378000000.0,-880000000.0,-1811000000.0,-60000000.0,,
Repayment Of Debt,-2070000000.0,110000000.0,-1365000000.0,-1376000000.0,-568000000.0,,
Issuance Of Debt,3430000000.0,85000000.0,546000000.0,5195000000.0,210000000.0,,
Capital Expenditure,-360000000.0,-267000000.0,-196000000.0,-322000000.0,-332000000.0,,
End Cash Position,8713000000.0,8560000000.0,7500000000.0,8288000000.0,7866000000.0,,
Other Cash Adjustment Outside Changein Cash,0.0,,,-46000000.0,1000000.0,,
Beginning Cash Position,8560000000.0,7500000000.0,8288000000.0,7866000000.0,6497000000.0,,
Effect Of Exchange Rate Changes,-1000000.0,1000000.0,1000000.0,-8000000.0,7000000.0,,
Changes In Cash,154000000.0,1059000000.0,-789000000.0,476000000.0,1361000000.0,,
Financing Cash Flow,243000000.0,-308000000.0,-1909000000.0,1408000000.0,-915000000.0,,
Cash Flow From Continuing Financing Activities,243000000.0,-308000000.0,-1909000000.0,1408000000.0,-915000000.0,,
Net Other Financing Charges,30000000.0,86000000.0,-137000000.0,-10000000.0,-5000000.0,,
Proceeds From Stock Option Exercised,0.0,-2000000.0,23000000.0,16000000.0,48000000.0,,
Cash Dividends Paid,-381000000.0,-385000000.0,-386000000.0,-373000000.0,-378000000.0,,
Common Stock Dividend Paid,-381000000.0,-385000000.0,-386000000.0,-373000000.0,-378000000.0,,
Net Common Stock Issuance,-876000000.0,-378000000.0,-880000000.0,-1811000000.0,-60000000.0,,
Common Stock Payments,-876000000.0,-378000000.0,-880000000.0,-1811000000.0,-60000000.0,,
Net Issuance Payments Of Debt,1360000000.0,195000000.0,-819000000.0,3819000000.0,-358000000.0,,
Net Short Term Debt Issuance,-734000000.0,195000000.0,431000000.0,-461000000.0,442000000.0,,
Short Term Debt Payments,-1170000000.0,110000000.0,-115000000.0,-526000000.0,232000000.0,,
Short Term Debt Issuance,436000000.0,85000000.0,546000000.0,65000000.0,,,1350000000.0
Net Long Term Debt Issuance,2094000000.0,0.0,-1250000000.0,4280000000.0,-800000000.0,,
Long Term Debt Payments,-900000000.0,0.0,-1250000000.0,-850000000.0,-800000000.0,,
Long Term Debt Issuance,2994000000.0,,,5130000000.0,0.0,2580000000.0,0.0
Investing Cash Flow,-1224000000.0,-687000000.0,103000000.0,-1638000000.0,-401000000.0,,
Cash Flow From Continuing Investing Activities,-1224000000.0,-687000000.0,103000000.0,-1638000000.0,-401000000.0,,
Net Other Investing Changes,-124000000.0,-189000000.0,-315000000.0,205000000.0,130000000.0,,
Net Investment Purchase And Sale,-741000000.0,-281000000.0,610000000.0,2200000000.0,-199000000.0,,
Sale Of Investment,3422000000.0,3857000000.0,4574000000.0,5480000000.0,4472000000.0,,
Purchase Of Investment,-4163000000.0,-4138000000.0,-3964000000.0,-3280000000.0,-4671000000.0,,
Net Business Purchase And Sale,1000000.0,50000000.0,4000000.0,-3721000000.0,0.0,,
Sale Of Business,1000000.0,50000000.0,4000000.0,-36000000.0,0.0,,
Purchase Of Business,,,,-3685000000.0,0.0,-4000000.0,-1120000000.0
Net PPE Purchase And Sale,-360000000.0,-267000000.0,-196000000.0,-322000000.0,-332000000.0,,
Purchase Of PPE,-360000000.0,-267000000.0,-196000000.0,-322000000.0,-332000000.0,,
Operating Cash Flow,1135000000.0,2054000000.0,1017000000.0,706000000.0,2677000000.0,,
Cash Flow From Continuing Operating Activities,1135000000.0,2054000000.0,1017000000.0,706000000.0,2677000000.0,,
Change In Working Capital,-750000000.0,-218000000.0,-1785000000.0,-18000000.0,1242000000.0,,
Change In Other Working Capital,-320000000.0,167000000.0,489000000.0,-350000000.0,426000000.0,,
Change In Other Current Assets,166000000.0,13000000.0,-652000000.0,1753000000.0,-217000000.0,,
Change In Payables And Accrued Expense,-151000000.0,738000000.0,952000000.0,-1200000000.0,628000000.0,,
Change In Payable,-151000000.0,738000000.0,952000000.0,-1200000000.0,628000000.0,,
Change In Account Payable,-151000000.0,738000000.0,952000000.0,-1200000000.0,628000000.0,,
Change In Receivables,815000000.0,-923000000.0,-3174000000.0,-193000000.0,851000000.0,,
Stock Based Compensation,84000000.0,81000000.0,81000000.0,-29000000.0,66000000.0,,
Asset Impairment Charge,,,,0.0,,,
Deferred Tax,269000000.0,-52000000.0,-174000000.0,-116000000.0,-224000000.0,,
Deferred Income Tax,269000000.0,-52000000.0,-174000000.0,-116000000.0,-224000000.0,,
Depreciation And Amortization,387000000.0,380000000.0,373000000.0,398000000.0,329000000.0,,
Operating Gains Losses,-112000000.0,119000000.0,338000000.0,58000000.0,153000000.0,,
Earnings Losses From Equity Investments,-113000000.0,-12000000.0,-126000000.0,-16000000.0,-11000000.0,,
Gain Loss On Investment Securities,1000000.0,131000000.0,464000000.0,74000000.0,125000000.0,,
Gain Loss On Sale Of Business,0.0,,,0.0,39000000.0,,
Net Income From Continuing Operations,1187000000.0,1744000000.0,2184000000.0,413000000.0,1008000000.0,,
