,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,9327884.0,11646235.0,9522069.307166,19084558.823973,8281500.0
Tax Rate For Calcs,0.227,0.227,0.216322,0.278643,0.25
Normalized EBITDA,1833721000.0,1513760000.0,1370802000.0,1250799000.0,1738012000.0
Total Unusual Items,41092000.0,51305000.0,44018000.0,68491000.0,33126000.0
Total Unusual Items Excluding Goodwill,41092000.0,51305000.0,44018000.0,68491000.0,33126000.0
Net Income From Continuing Operation Net Minority Interest,698424000.0,471954000.0,362422000.0,287162000.0,645754000.0
Reconciled Depreciation,646204000.0,632638000.0,622566000.0,622304000.0,614766000.0
Reconciled Cost Of Revenue,1768110000.0,1656400000.0,1286353000.0,1375146000.0,1503936000.0
EBITDA,1874813000.0,1565065000.0,1414820000.0,1319290000.0,1771138000.0
EBIT,1228609000.0,932427000.0,792254000.0,696986000.0,1156372000.0
Net Interest Income,-218788000.0,-234655000.0,-296385000.0,-285635000.0,-230827000.0
Interest Expense,324878000.0,322074000.0,329791000.0,298900000.0,295143000.0
Interest Income,106090000.0,87419000.0,33406000.0,13265000.0,64316000.0
Normalized Income,666659884.0,432295235.0,327926069.307166,237755558.823973,620909500.0
Net Income From Continuing And Discontinued Operation,698424000.0,471954000.0,362422000.0,287162000.0,645754000.0
Total Expenses,2680183000.0,2491424000.0,2146770000.0,2097331000.0,2263238000.0
Total Operating Income As Reported,1119041000.0,837425000.0,700104000.0,669615000.0,1125862000.0
Diluted Average Shares,453550895.0,445700889.0,440648342.0,437981911.0,431388418.0
Basic Average Shares,446532648.0,439182369.0,430347768.0,429285191.0,428024935.0
Diluted EPS,1.53,1.05,0.82,0.65,1.5
Basic EPS,1.55,1.07,0.84,0.67,1.51
Diluted NI Availto Com Stockholders,693800000.0,467930000.0,360760000.0,286447000.0,644940000.0
Net Income Common Stockholders,693800000.0,467930000.0,360760000.0,286447000.0,644940000.0
Preferred Stock Dividends,4624000.0,4024000.0,1662000.0,715000.0,814000.0
Net Income,698424000.0,471954000.0,362422000.0,287162000.0,645754000.0
Net Income Including Noncontrolling Interests,698424000.0,471954000.0,362422000.0,287162000.0,645754000.0
Net Income Continuous Operations,698424000.0,471954000.0,362422000.0,287162000.0,645754000.0
Tax Provision,205307000.0,138399000.0,100041000.0,110924000.0,215475000.0
Pretax Income,903731000.0,610353000.0,462463000.0,398086000.0,861229000.0
Other Income Expense,-9317000.0,7583000.0,58744000.0,38747000.0,-33806000.0
Other Non Operating Income Expenses,-50409000.0,-43722000.0,14726000.0,-29744000.0,-66932000.0
Special Income Charges,41092000.0,51305000.0,44018000.0,68491000.0,33126000.0
Other Special Charges,-53887000.0,-51305000.0,-44018000.0,-43850000.0,-33126000.0
Write Off,12795000.0,0.0,0.0,-24641000.0,0.0
Net Non Operating Interest Income Expense,-218788000.0,-234655000.0,-296385000.0,-285635000.0,-230827000.0
Interest Expense Non Operating,324878000.0,322074000.0,329791000.0,298900000.0,295143000.0
Interest Income Non Operating,106090000.0,87419000.0,33406000.0,13265000.0,64316000.0
Operating Income,1131836000.0,837425000.0,700104000.0,644974000.0,1125862000.0
Operating Expense,791254000.0,724969000.0,750794000.0,609544000.0,643017000.0
Other Operating Expenses,33498000.0,612000.0,39086000.0,-80990000.0,-47591000.0
Other Taxes,232371000.0,201774000.0,198765000.0,180871000.0,192127000.0
Depreciation Amortization Depletion Income Statement,525385000.0,522583000.0,512943000.0,509663000.0,498481000.0
Depreciation And Amortization In Income Statement,525385000.0,522583000.0,512943000.0,509663000.0,498481000.0
Gross Profit,1923090000.0,1562394000.0,1450898000.0,1254518000.0,1768879000.0
Cost Of Revenue,1888929000.0,1766455000.0,1395976000.0,1487787000.0,1620221000.0
Total Revenue,3812019000.0,3328849000.0,2846874000.0,2742305000.0,3389100000.0
Operating Revenue,3812019000.0,3315723000.0,2829597000.0,2668454000.0,3389100000.0
