,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-18998000.0,-10732733.633183,-2446200.0,2404716.739298,-4413700.0,,
Tax Rate For Calcs,0.161,0.16067,0.162,0.115611,0.101,,
Normalized EBITDA,582300000.0,535800000.0,461600000.0,462900000.0,472500000.0,,
Total Unusual Items,-118000000.0,-66800000.0,-15100000.0,20800000.0,-43700000.0,,
Total Unusual Items Excluding Goodwill,-118000000.0,-66800000.0,-15100000.0,20800000.0,-43700000.0,,
Net Income From Continuing Operation Net Minority Interest,293100000.0,334200000.0,365200000.0,346300000.0,363500000.0,,
Reconciled Depreciation,39200000.0,38100000.0,36600000.0,42600000.0,34500000.0,,
Reconciled Cost Of Revenue,345200000.0,344400000.0,301600000.0,292200000.0,262900000.0,,
EBITDA,464300000.0,469000000.0,446500000.0,483700000.0,428800000.0,,
EBIT,425100000.0,430900000.0,409900000.0,441100000.0,394300000.0,,
Net Interest Income,38600000.0,37400000.0,36500000.0,44200000.0,24300000.0,,
Interest Income,38600000.0,37400000.0,,64000000.0,24300000.0,15500000.0,
Normalized Income,392102000.0,390267266.366817,377853800.0,327904716.739298,402786300.0,,
Net Income From Continuing And Discontinued Operation,291100000.0,329800000.0,358000000.0,385600000.0,3070800000.0,,
Total Expenses,1128000000.0,1101300000.0,1002800000.0,1032500000.0,960100000.0,,
Total Operating Income As Reported,307100000.0,411200000.0,394800000.0,312600000.0,350600000.0,,
Diluted Average Shares,585700000.0,587900000.0,587800000.0,590500000.0,598100000.0,,
Basic Average Shares,584700000.0,587000000.0,586900000.0,589800000.0,597200000.0,,
Diluted EPS,0.5,0.56,0.61,0.65,5.13,,
Basic EPS,0.5,0.57,0.61,0.65,5.14,,
Diluted NI Availto Com Stockholders,291100000.0,329800000.0,358000000.0,385600000.0,3070800000.0,,
Net Income Common Stockholders,291100000.0,329800000.0,358000000.0,385600000.0,3070800000.0,,
Net Income,291100000.0,329800000.0,358000000.0,385600000.0,3070800000.0,,
Minority Interests,800000.0,-1700000.0,1600000.0,1300000.0,1400000.0,,
Net Income Including Noncontrolling Interests,290300000.0,331500000.0,356400000.0,384300000.0,3069400000.0,,
Net Income Discontinuous Operations,-2000000.0,-4400000.0,-7200000.0,39300000.0,2707300000.0,,
Net Income Continuous Operations,292300000.0,335900000.0,363600000.0,345000000.0,362100000.0,,
Tax Provision,56100000.0,64300000.0,70300000.0,45100000.0,40700000.0,,
Pretax Income,348400000.0,400200000.0,433900000.0,390100000.0,402800000.0,,
Other Income Expense,-115300000.0,-68100000.0,-12500000.0,-7400000.0,-15800000.0,,
Other Non Operating Income Expenses,2700000.0,-1300000.0,2600000.0,-28200000.0,27900000.0,,
Special Income Charges,-118000000.0,-66800000.0,-15100000.0,-40700000.0,-43700000.0,,
Other Special Charges,90400000.0,15500000.0,10900000.0,12600000.0,10800000.0,,
Write Off,0.0,47100000.0,,,,0.0,
Impairment Of Capital Assets,40000000.0,,,,,,
Restructuring And Mergern Acquisition,-12400000.0,4200000.0,4200000.0,28100000.0,32900000.0,,
Net Non Operating Interest Income Expense,38600000.0,37400000.0,36500000.0,44200000.0,24300000.0,,
Total Other Finance Cost,,,-36500000.0,,,,-16500000.0
Interest Income Non Operating,38600000.0,37400000.0,,64000000.0,24300000.0,15500000.0,
Operating Income,425100000.0,430900000.0,409900000.0,353300000.0,394300000.0,,
Operating Expense,782800000.0,756900000.0,701200000.0,740300000.0,697200000.0,,
Other Operating Expenses,-12500000.0,-21300000.0,-19100000.0,-22700000.0,22400000.0,,
Research And Development,280700000.0,276200000.0,254600000.0,271100000.0,253400000.0,,
Selling General And Administration,514600000.0,502000000.0,465700000.0,491900000.0,421400000.0,,
Gross Profit,1207900000.0,1187800000.0,1111100000.0,1093600000.0,1091500000.0,,
Cost Of Revenue,345200000.0,344400000.0,301600000.0,292200000.0,262900000.0,,
Total Revenue,1553100000.0,1532200000.0,1412700000.0,1385800000.0,1354400000.0,,
Operating Revenue,1553100000.0,1532200000.0,1412700000.0,1385800000.0,1354400000.0,,
