,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,304000.0,-157699.443414,0.0,198000.0
Tax Rate For Calcs,0.15,0.152,0.157699,0.070402,0.066
Normalized EBITDA,2480000000.0,1892000000.0,2494000000.0,2077000000.0,2158000000.0
Total Unusual Items,0.0,2000000.0,-1000000.0,0.0,3000000.0
Total Unusual Items Excluding Goodwill,0.0,2000000.0,-1000000.0,0.0,3000000.0
Net Income From Continuing Operation Net Minority Interest,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Reconciled Depreciation,764000000.0,604000000.0,905000000.0,744000000.0,734000000.0
Reconciled Cost Of Revenue,4012000000.0,3515000000.0,3867000000.0,3252000000.0,3832000000.0
EBITDA,2480000000.0,1894000000.0,2493000000.0,2077000000.0,2161000000.0
EBIT,1568000000.0,992000000.0,1588000000.0,1164000000.0,1253000000.0
Net Interest Income,-538000000.0,-531000000.0,-510000000.0,-468000000.0,-496000000.0
Interest Expense,538000000.0,531000000.0,510000000.0,468000000.0,496000000.0
Normalized Income,875000000.0,389304000.0,908842300.556586,647000000.0,704198000.0
Net Income From Continuing And Discontinued Operation,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Total Expenses,5205000000.0,4502000000.0,5177000000.0,4373000000.0,4961000000.0
Total Operating Income As Reported,1500000000.0,927000000.0,1536000000.0,1098000000.0,1196000000.0
Diluted Average Shares,1013000000.0,1002564103.0,1009535664.0,1010937500.0,1004000000.0
Basic Average Shares,1011000000.0,1002564103.0,1009535664.0,1005046000.0,1003000000.0
Diluted EPS,0.86,0.39,0.899423,0.64,0.7
Basic EPS,0.87,0.39,0.899423,0.643752,0.7
Diluted NI Availto Com Stockholders,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Net Income Common Stockholders,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Net Income,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Net Income Including Noncontrolling Interests,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Net Income Continuous Operations,875000000.0,391000000.0,908000000.0,647000000.0,707000000.0
Tax Provision,155000000.0,70000000.0,170000000.0,49000000.0,50000000.0
Pretax Income,1030000000.0,461000000.0,1078000000.0,696000000.0,757000000.0
Other Income Expense,68000000.0,67000000.0,51000000.0,66000000.0,60000000.0
Other Non Operating Income Expenses,68000000.0,65000000.0,52000000.0,66000000.0,57000000.0
Special Income Charges,0.0,2000000.0,-1000000.0,0.0,3000000.0
Gain On Sale Of Ppe,0.0,2000000.0,-1000000.0,0.0,3000000.0
Net Non Operating Interest Income Expense,-538000000.0,-531000000.0,-510000000.0,-468000000.0,-496000000.0
Interest Expense Non Operating,538000000.0,531000000.0,510000000.0,468000000.0,496000000.0
Operating Income,1500000000.0,925000000.0,1537000000.0,1098000000.0,1193000000.0
Operating Expense,1341000000.0,1285000000.0,1308000000.0,1290000000.0,1303000000.0
Other Taxes,429000000.0,383000000.0,405000000.0,377000000.0,395000000.0
Depreciation Amortization Depletion Income Statement,912000000.0,902000000.0,903000000.0,913000000.0,908000000.0
Depreciation And Amortization In Income Statement,912000000.0,902000000.0,903000000.0,913000000.0,908000000.0
Gross Profit,2841000000.0,2210000000.0,2845000000.0,2388000000.0,2496000000.0
Cost Of Revenue,3864000000.0,3217000000.0,3869000000.0,3083000000.0,3658000000.0
Total Revenue,6705000000.0,5427000000.0,6714000000.0,5471000000.0,6154000000.0
Operating Revenue,6705000000.0,5427000000.0,6714000000.0,5471000000.0,6154000000.0
