,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,239953000.0,80960000.0,-160667000.0,-26723000.0,357965000.0,,
Repurchase Of Capital Stock,0.0,0.0,0.0,-37500000.0,-37500000.0,,
Repayment Of Debt,-44731000.0,-285000.0,-522352000.0,-371819000.0,-19982000.0,,
Issuance Of Debt,-7217000.0,145873000.0,792119000.0,97697000.0,697880000.0,,
Capital Expenditure,-101621000.0,-128982000.0,-119840000.0,-181749000.0,-126345000.0,,
End Cash Position,431359000.0,457993000.0,420447000.0,479991000.0,1078118000.0,,
Beginning Cash Position,457993000.0,420447000.0,479991000.0,1078118000.0,555277000.0,,
Effect Of Exchange Rate Changes,-1963000.0,16951000.0,7359000.0,-32057000.0,14543000.0,,
Changes In Cash,-24671000.0,20595000.0,-66903000.0,-566070000.0,508298000.0,,
Financing Cash Flow,-196244000.0,-26215000.0,128742000.0,-458764000.0,507154000.0,,
Cash Flow From Continuing Financing Activities,-196244000.0,-26215000.0,128742000.0,-458764000.0,507154000.0,,
Net Other Financing Charges,31000.0,-14100000.0,-6168000.0,-3243000.0,3875000.0,,
Proceeds From Stock Option Exercised,-1062000.0,-14752000.0,-502000.0,-364000.0,2256000.0,,
Cash Dividends Paid,-143265000.0,-142951000.0,-134355000.0,-143535000.0,-139375000.0,,
Common Stock Dividend Paid,-143265000.0,-142951000.0,-134355000.0,-143535000.0,-139375000.0,,
Net Common Stock Issuance,0.0,0.0,0.0,-37500000.0,-37500000.0,,
Common Stock Payments,0.0,0.0,0.0,-37500000.0,-37500000.0,,
Net Issuance Payments Of Debt,-51948000.0,145588000.0,269767000.0,-274122000.0,677898000.0,,
Net Short Term Debt Issuance,-30412000.0,144479000.0,772108000.0,,,99706000.0,0.0
Short Term Debt Issuance,-30412000.0,144479000.0,772108000.0,,,99706000.0,0.0
Net Long Term Debt Issuance,-21536000.0,1109000.0,-502341000.0,-274122000.0,777604000.0,,
Long Term Debt Payments,-44731000.0,-285000.0,-522352000.0,-371819000.0,-19982000.0,,
Long Term Debt Issuance,23195000.0,1394000.0,20011000.0,97697000.0,797586000.0,,
Investing Cash Flow,-170001000.0,-163132000.0,-154818000.0,-262332000.0,-483166000.0,,
Cash Flow From Continuing Investing Activities,-170001000.0,-163132000.0,-154818000.0,-262332000.0,-483166000.0,,
Net Other Investing Changes,0.0,59000.0,23335000.0,,12274000.0,4635000.0,
Net Investment Purchase And Sale,,,,15990000.0,0.0,0.0,0.0
Sale Of Investment,,,,15990000.0,0.0,0.0,0.0
Net Business Purchase And Sale,-70014000.0,-37846000.0,-74127000.0,-127801000.0,-369665000.0,,
Sale Of Business,,,0.0,-1770000.0,-314000.0,334000.0,3381000.0
Purchase Of Business,-70014000.0,-37846000.0,-74127000.0,-126031000.0,-373066000.0,,
Net PPE Purchase And Sale,-99987000.0,-125345000.0,-104026000.0,-133532000.0,-125775000.0,,
Sale Of PPE,1634000.0,3637000.0,15814000.0,48217000.0,570000.0,,
Purchase Of PPE,-101621000.0,-128982000.0,-119840000.0,-181749000.0,-126345000.0,,
Operating Cash Flow,341574000.0,209942000.0,-40827000.0,155026000.0,484310000.0,,
Cash Flow From Continuing Operating Activities,341574000.0,209942000.0,-40827000.0,155026000.0,484310000.0,,
Change In Working Capital,-24228000.0,-190817000.0,-359046000.0,-87700000.0,141050000.0,,
Excess Tax Benefit From Stock Based Compensation,-847000.0,7255000.0,-182000.0,,-68000.0,-4772000.0,
Stock Based Compensation,13003000.0,15606000.0,8574000.0,3413000.0,10710000.0,,
Depreciation Amortization Depletion,127475000.0,123018000.0,115435000.0,112130000.0,106036000.0,,
Depreciation And Amortization,127475000.0,123018000.0,115435000.0,112130000.0,106036000.0,,
Amortization Cash Flow,,,36871000.0,,,,34100000.0
Amortization Of Intangibles,,,36871000.0,,,,34100000.0
Depreciation,,,78564000.0,,,,56510000.0
Net Income From Continuing Operations,226171000.0,254880000.0,194392000.0,133056000.0,226582000.0,,
