,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,446000000.0,500000000.0,459000000.0,1457000000.0,-100000000.0,,
Repayment Of Debt,-485000000.0,-814000000.0,-460000000.0,-1310000000.0,-463000000.0,,
Issuance Of Debt,461000000.0,48000000.0,1953000000.0,2287000000.0,68000000.0,,
Issuance Of Capital Stock,,,,0.0,0.0,0.0,0.0
Capital Expenditure,-41000000.0,-54000000.0,-54000000.0,-27000000.0,-42000000.0,,
Interest Paid Supplemental Data,1138000000.0,1030000000.0,1092000000.0,1093000000.0,1245000000.0,,
Income Tax Paid Supplemental Data,61000000.0,125000000.0,34000000.0,19000000.0,12000000.0,,
End Cash Position,12738000000.0,10359000000.0,15310000000.0,12847000000.0,12585000000.0,,
Beginning Cash Position,10359000000.0,15310000000.0,12847000000.0,12585000000.0,12546000000.0,,
Changes In Cash,2379000000.0,-4951000000.0,2463000000.0,262000000.0,39000000.0,,
Financing Cash Flow,2158000000.0,-3010000000.0,4100000000.0,3562000000.0,2978000000.0,,
Cash Flow From Continuing Financing Activities,2158000000.0,-3010000000.0,4100000000.0,3562000000.0,2978000000.0,,
Net Other Financing Charges,-11000000.0,-33000000.0,-29000000.0,-10000000.0,-7000000.0,,
Cash Dividends Paid,-254000000.0,-254000000.0,-253000000.0,-262000000.0,-262000000.0,,
Preferred Stock Dividend Paid,-27000000.0,-27000000.0,-27000000.0,-36000000.0,-36000000.0,,
Common Stock Dividend Paid,-227000000.0,-227000000.0,-226000000.0,-226000000.0,-226000000.0,,
Net Preferred Stock Issuance,,,,-410000000.0,0.0,0.0,0.0
Preferred Stock Issuance,,,,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-150000000.0,-766000000.0,1493000000.0,147000000.0,-737000000.0,,
Net Short Term Debt Issuance,12000000.0,-56000000.0,-82000000.0,-830000000.0,367000000.0,,
Short Term Debt Payments,,-56000000.0,-82000000.0,,,-186000000.0,-523000000.0
Net Long Term Debt Issuance,-162000000.0,-710000000.0,1575000000.0,977000000.0,-1104000000.0,,
Long Term Debt Payments,-623000000.0,-758000000.0,-378000000.0,-1310000000.0,-1172000000.0,,
Long Term Debt Issuance,461000000.0,48000000.0,1953000000.0,2287000000.0,68000000.0,,
Investing Cash Flow,-266000000.0,-2495000000.0,-2150000000.0,-4784000000.0,-2881000000.0,,
Cash Flow From Continuing Investing Activities,-266000000.0,-2495000000.0,-2150000000.0,-4784000000.0,-2881000000.0,,
Net Other Investing Changes,-40000000.0,72000000.0,491000000.0,-534000000.0,6000000.0,,
Net Investment Purchase And Sale,2869000000.0,89000000.0,-97000000.0,-246000000.0,-743000000.0,,
Sale Of Investment,3070000000.0,2442000000.0,2092000000.0,4161000000.0,3881000000.0,,
Purchase Of Investment,-201000000.0,-2353000000.0,-2189000000.0,-4407000000.0,-4624000000.0,,
Net PPE Purchase And Sale,-781000000.0,686000000.0,-54000000.0,1742000000.0,-938000000.0,,
Purchase Of PPE,-41000000.0,-54000000.0,-54000000.0,-27000000.0,-42000000.0,,
Operating Cash Flow,487000000.0,554000000.0,513000000.0,1484000000.0,-58000000.0,,
Cash Flow From Continuing Operating Activities,487000000.0,554000000.0,513000000.0,1484000000.0,-58000000.0,,
Change In Working Capital,-311000000.0,-200000000.0,-342000000.0,673000000.0,-823000000.0,,
Change In Other Working Capital,400000000.0,-4000000.0,-424000000.0,419000000.0,-318000000.0,,
Change In Other Current Liabilities,-183000000.0,462000000.0,-543000000.0,407000000.0,-832000000.0,,
Change In Other Current Assets,-217000000.0,-262000000.0,52000000.0,-125000000.0,-44000000.0,,
Other Non Cash Items,-58000000.0,-21000000.0,4000000.0,-14000000.0,13000000.0,,
Stock Based Compensation,31000000.0,32000000.0,21000000.0,25000000.0,28000000.0,,
Deferred Tax,-94000000.0,-148000000.0,-25000000.0,29000000.0,-28000000.0,,
Deferred Income Tax,-94000000.0,-148000000.0,-25000000.0,29000000.0,-28000000.0,,
Depreciation Amortization Depletion,175000000.0,188000000.0,209000000.0,130000000.0,132000000.0,,
Depreciation And Amortization,175000000.0,188000000.0,209000000.0,130000000.0,132000000.0,,
Operating Gains Losses,-11000000.0,58000000.0,-3000000.0,,,,
Gain Loss On Investment Securities,0.0,,,,,,
Net Income From Continuing Operations,633000000.0,542000000.0,531000000.0,534000000.0,522000000.0,,
