,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Ordinary Shares Number,938765000.0,942209000.0,945000000.0,938989000.0,963408000.0,
Share Issued,938765000.0,942209000.0,945000000.0,938989000.0,963408000.0,
Net Debt,6731000000.0,8040000000.0,6811000000.0,6431000000.0,6840000000.0,
Total Debt,10775000000.0,11916000000.0,10903000000.0,10899000000.0,10809000000.0,
Tangible Book Value,-10686000000.0,-11217000000.0,-10923000000.0,-11269000000.0,-11363000000.0,
Invested Capital,8701000000.0,9461000000.0,8619000000.0,8346000000.0,8233000000.0,
Working Capital,-7290000000.0,-7098000000.0,-7600000000.0,-7927000000.0,-7728000000.0,
Net Tangible Assets,-10686000000.0,-11217000000.0,-10923000000.0,-11269000000.0,-11363000000.0,
Capital Lease Obligations,1173000000.0,1179000000.0,1212000000.0,1230000000.0,1184000000.0,
Common Stock Equity,-901000000.0,-1276000000.0,-1072000000.0,-1323000000.0,-1392000000.0,
Total Capitalization,7881000000.0,8015000000.0,7201000000.0,6940000000.0,6837000000.0,
Total Equity Gross Minority Interest,-901000000.0,-1276000000.0,-1072000000.0,-1323000000.0,-1392000000.0,
Stockholders Equity,-901000000.0,-1276000000.0,-1072000000.0,-1323000000.0,-1392000000.0,
Gains Losses Not Affecting Retained Earnings,-641000000.0,-843000000.0,-204000000.0,-434000000.0,-415000000.0,
Other Equity Adjustments,-641000000.0,-843000000.0,-204000000.0,-434000000.0,-415000000.0,
Retained Earnings,-2360000000.0,-2441000000.0,-2751000000.0,-2676000000.0,-2729000000.0,
Additional Paid In Capital,2091000000.0,1999000000.0,1874000000.0,1778000000.0,1742000000.0,
Capital Stock,9000000.0,9000000.0,9000000.0,9000000.0,10000000.0,
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0,10000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,40755000000.0,40075000000.0,40002000000.0,41232000000.0,39451000000.0,
Total Non Current Liabilities Net Minority Interest,12891000000.0,13519000000.0,12568000000.0,12545000000.0,12408000000.0,
Other Non Current Liabilities,524000000.0,537000000.0,485000000.0,531000000.0,537000000.0,
Employee Benefits,598000000.0,597000000.0,588000000.0,607000000.0,523000000.0,
Non Current Pension And Other Postretirement Benefit Plans,598000000.0,597000000.0,588000000.0,607000000.0,523000000.0,
Tradeand Other Payables Non Current,620000000.0,755000000.0,873000000.0,839000000.0,869000000.0,
Non Current Deferred Liabilities,1603000000.0,1573000000.0,1568000000.0,1518000000.0,1501000000.0,
Non Current Deferred Revenue,1588000000.0,1544000000.0,1519000000.0,1487000000.0,1473000000.0,
Non Current Deferred Taxes Liabilities,15000000.0,29000000.0,49000000.0,31000000.0,28000000.0,
Long Term Debt And Capital Lease Obligation,9546000000.0,10057000000.0,9054000000.0,9050000000.0,8978000000.0,
Long Term Capital Lease Obligation,764000000.0,766000000.0,781000000.0,787000000.0,749000000.0,
Long Term Debt,8782000000.0,9291000000.0,8273000000.0,8263000000.0,8229000000.0,
Current Liabilities,27864000000.0,26556000000.0,27434000000.0,28687000000.0,27043000000.0,
Other Current Liabilities,5824000000.0,5860000000.0,5669000000.0,5995000000.0,6157000000.0,
Current Deferred Liabilities,1548000000.0,1495000000.0,1452000000.0,1446000000.0,1377000000.0,
Current Deferred Revenue,1548000000.0,1495000000.0,1452000000.0,1446000000.0,1377000000.0,
Current Debt And Capital Lease Obligation,1229000000.0,1859000000.0,1849000000.0,1849000000.0,1831000000.0,
Current Capital Lease Obligation,409000000.0,413000000.0,431000000.0,443000000.0,435000000.0,
Current Debt,820000000.0,1446000000.0,1418000000.0,1406000000.0,1396000000.0,
Other Current Borrowings,820000000.0,1446000000.0,1418000000.0,1406000000.0,1396000000.0,
Current Notes Payable,,,,,,66000000.0
Pensionand Other Post Retirement Benefit Plans Current,849000000.0,743000000.0,642000000.0,970000000.0,881000000.0,
Payables And Accrued Expenses,18414000000.0,16599000000.0,17822000000.0,18427000000.0,16797000000.0,
Payables,18414000000.0,16599000000.0,17822000000.0,18427000000.0,16797000000.0,
Total Tax Payable,1429000000.0,1404000000.0,1339000000.0,1524000000.0,1350000000.0,
Accounts Payable,16985000000.0,15195000000.0,16483000000.0,16903000000.0,15447000000.0,
Total Assets,39854000000.0,38799000000.0,38930000000.0,39909000000.0,38059000000.0,
Total Non Current Assets,19280000000.0,19341000000.0,19096000000.0,19149000000.0,18744000000.0,
Other Non Current Assets,1267000000.0,1138000000.0,1229000000.0,1129000000.0,994000000.0,
Non Current Prepaid Assets,719000000.0,694000000.0,675000000.0,684000000.0,693000000.0,
Non Current Deferred Assets,3424000000.0,3513000000.0,3283000000.0,3311000000.0,3131000000.0,
Non Current Deferred Taxes Assets,3424000000.0,3513000000.0,3283000000.0,3311000000.0,3131000000.0,
Goodwill And Other Intangible Assets,9785000000.0,9941000000.0,9851000000.0,9946000000.0,9971000000.0,
Other Intangible Assets,1071000000.0,1228000000.0,1252000000.0,1319000000.0,1365000000.0,
Goodwill,8714000000.0,8713000000.0,8599000000.0,8627000000.0,8606000000.0,
Net PPE,4085000000.0,4055000000.0,4058000000.0,4079000000.0,3955000000.0,
Accumulated Depreciation,-5435000000.0,-5355000000.0,-5152000000.0,-5078000000.0,-5141000000.0,
Gross PPE,9520000000.0,9410000000.0,9210000000.0,9157000000.0,9096000000.0,
Other Properties,1092000000.0,1104000000.0,1158000000.0,1165000000.0,1124000000.0,
Machinery Furniture Equipment,5816000000.0,5746000000.0,5534000000.0,5465000000.0,5516000000.0,
Properties,2612000000.0,2560000000.0,2518000000.0,2527000000.0,2456000000.0,
Current Assets,20574000000.0,19458000000.0,19834000000.0,20760000000.0,19315000000.0,
Other Current Assets,1624000000.0,1840000000.0,1596000000.0,1462000000.0,1534000000.0,
Restricted Cash,3000000.0,33000000.0,14000000.0,15000000.0,93000000.0,
Inventory,8356000000.0,8175000000.0,8443000000.0,7720000000.0,7790000000.0,
Finished Goods,4800000000.0,4469000000.0,4554000000.0,4338000000.0,3946000000.0,
Raw Materials,3556000000.0,3706000000.0,3889000000.0,3382000000.0,3844000000.0,
Receivables,7720000000.0,6713000000.0,6901000000.0,8325000000.0,7113000000.0,
Other Receivables,1619000000.0,1404000000.0,1792000000.0,2180000000.0,1546000000.0,
Taxes Receivable,978000000.0,973000000.0,921000000.0,1028000000.0,908000000.0,
