,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Free Cash Flow,1446000000.0,-145000000.0,72000000.0,1470000000.0,1262000000.0,
Repurchase Of Capital Stock,-150000000.0,-100000000.0,-100000000.0,-900000000.0,-600000000.0,
Repayment Of Debt,-1210000000.0,-52000000.0,-50000000.0,-60000000.0,-51000000.0,
Issuance Of Debt,90000000.0,1076000000.0,82000000.0,114000000.0,80000000.0,
Capital Expenditure,-215000000.0,-183000000.0,-302000000.0,-153000000.0,-162000000.0,
End Cash Position,2874000000.0,2730000000.0,2894000000.0,3253000000.0,2878000000.0,
Beginning Cash Position,2730000000.0,2894000000.0,3253000000.0,2878000000.0,2517000000.0,
Changes In Cash,144000000.0,-164000000.0,-359000000.0,375000000.0,361000000.0,
Financing Cash Flow,-1537000000.0,631000000.0,-433000000.0,-1116000000.0,-826000000.0,
Cash Flow From Continuing Financing Activities,-1537000000.0,631000000.0,-433000000.0,-1116000000.0,-826000000.0,
Net Other Financing Charges,0.0,,,,,
Proceeds From Stock Option Exercised,5000000.0,-26000000.0,-92000000.0,-7000000.0,13000000.0,
Cash Dividends Paid,-272000000.0,-273000000.0,-273000000.0,-263000000.0,-268000000.0,
Common Stock Dividend Paid,,,-273000000.0,-263000000.0,,
Net Common Stock Issuance,-150000000.0,-100000000.0,-100000000.0,-900000000.0,-600000000.0,
Common Stock Payments,-150000000.0,-100000000.0,-100000000.0,-900000000.0,-600000000.0,
Net Issuance Payments Of Debt,-1120000000.0,1024000000.0,32000000.0,54000000.0,29000000.0,
Net Short Term Debt Issuance,,,0.0,0.0,0.0,-100000000.0
Short Term Debt Issuance,,,0.0,,,
Net Long Term Debt Issuance,-1120000000.0,1024000000.0,32000000.0,54000000.0,29000000.0,
Long Term Debt Payments,-1210000000.0,-52000000.0,-50000000.0,-60000000.0,-51000000.0,
Long Term Debt Issuance,90000000.0,1076000000.0,82000000.0,114000000.0,80000000.0,
Investing Cash Flow,20000000.0,-833000000.0,-300000000.0,-132000000.0,-237000000.0,
Cash Flow From Continuing Investing Activities,20000000.0,-833000000.0,-300000000.0,-132000000.0,-237000000.0,
Net Other Investing Changes,197000000.0,,,,,
Net Investment Purchase And Sale,38000000.0,6000000.0,2000000.0,4000000.0,0.0,
Sale Of Investment,55000000.0,9000000.0,5000000.0,8000000.0,0.0,
Purchase Of Investment,-17000000.0,-3000000.0,-3000000.0,-4000000.0,0.0,
Net Business Purchase And Sale,0.0,,,-43000000.0,-15000000.0,
Purchase Of Business,0.0,,,-43000000.0,-15000000.0,
Net PPE Purchase And Sale,-215000000.0,-183000000.0,-302000000.0,-153000000.0,-162000000.0,
Purchase Of PPE,-215000000.0,-183000000.0,-302000000.0,-153000000.0,-162000000.0,
Operating Cash Flow,1661000000.0,38000000.0,374000000.0,1623000000.0,1424000000.0,
Cash Flow From Continuing Operating Activities,1661000000.0,38000000.0,374000000.0,1623000000.0,1424000000.0,
Change In Working Capital,335000000.0,-812000000.0,-662000000.0,508000000.0,376000000.0,
Change In Other Working Capital,-439000000.0,376000000.0,-482000000.0,-467000000.0,-48000000.0,
Change In Payables And Accrued Expense,1793000000.0,-1302000000.0,-397000000.0,1398000000.0,1082000000.0,
Change In Payable,1793000000.0,-1302000000.0,-397000000.0,1398000000.0,1082000000.0,
Change In Account Payable,1793000000.0,-1302000000.0,-397000000.0,1398000000.0,1082000000.0,
Change In Inventory,-199000000.0,279000000.0,-751000000.0,101000000.0,-275000000.0,
Change In Receivables,-820000000.0,-165000000.0,968000000.0,-524000000.0,-383000000.0,
Changes In Account Receivables,-797000000.0,-115000000.0,966000000.0,-482000000.0,-341000000.0,
Other Non Cash Items,141000000.0,159000000.0,105000000.0,107000000.0,35000000.0,
Stock Based Compensation,100000000.0,140000000.0,192000000.0,85000000.0,96000000.0,
Deferred Tax,16000000.0,-60000000.0,-23000000.0,-191000000.0,69000000.0,
Deferred Income Tax,16000000.0,-60000000.0,-23000000.0,-191000000.0,69000000.0,
Depreciation Amortization Depletion,306000000.0,205000000.0,197000000.0,208000000.0,208000000.0,
Depreciation And Amortization,306000000.0,205000000.0,197000000.0,208000000.0,208000000.0,
Net Income From Continuing Operations,763000000.0,406000000.0,565000000.0,906000000.0,640000000.0,
