,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,755994000.0,-46469000.0,251155000.0,807075000.0,567296000.0,,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,0.0,,
Repayment Of Debt,-301324000.0,-301520000.0,-1797000.0,-301883000.0,-1447000.0,,
Issuance Of Debt,0.0,-1481000.0,1986026000.0,0.0,0.0,,
Capital Expenditure,-85922000.0,-158685000.0,-145527000.0,-134527000.0,-127958000.0,,
Interest Paid Supplemental Data,64085000.0,53982000.0,38366000.0,50902000.0,41348000.0,,
Income Tax Paid Supplemental Data,45069000.0,26571000.0,38918000.0,21461000.0,14808000.0,,
End Cash Position,1163017000.0,912345000.0,1515252000.0,730746000.0,614951000.0,,
Beginning Cash Position,912345000.0,1515252000.0,730746000.0,614951000.0,467058000.0,,
Effect Of Exchange Rate Changes,3107000.0,-760000.0,-2266000.0,34715000.0,6326000.0,,
Changes In Cash,247565000.0,-602147000.0,786772000.0,81080000.0,141567000.0,,
Financing Cash Flow,-513950000.0,-559568000.0,537076000.0,-449532000.0,-394095000.0,,
Cash Flow From Continuing Financing Activities,-513950000.0,-559568000.0,537076000.0,-449532000.0,-394095000.0,,
Net Other Financing Charges,-985000.0,-3624000.0,-12573000.0,-2272000.0,-534000.0,,
Proceeds From Stock Option Exercised,10318000.0,4202000.0,2738000.0,877000.0,5501000.0,,
Cash Dividends Paid,-271130000.0,-271231000.0,-271594000.0,-270493000.0,-270383000.0,,
Common Stock Dividend Paid,-271130000.0,-271231000.0,-271594000.0,-270493000.0,-270383000.0,,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,0.0,,
Common Stock Payments,0.0,0.0,0.0,0.0,0.0,,
Net Issuance Payments Of Debt,-252153000.0,-288915000.0,818505000.0,-177644000.0,-128679000.0,,
Net Short Term Debt Issuance,49171000.0,14086000.0,-1165724000.0,124239000.0,-127232000.0,,
Net Long Term Debt Issuance,-301324000.0,-303001000.0,1984229000.0,-301883000.0,-1447000.0,,
Long Term Debt Payments,-301324000.0,-301520000.0,-1797000.0,-301883000.0,-1447000.0,,
Long Term Debt Issuance,0.0,-1481000.0,1986026000.0,0.0,0.0,,
Investing Cash Flow,-80401000.0,-154795000.0,-146986000.0,-410990000.0,-159592000.0,,
Cash Flow From Continuing Investing Activities,-80401000.0,-154795000.0,-146986000.0,-410990000.0,-159592000.0,,
Net Other Investing Changes,286000.0,-1578000.0,-5017000.0,6340000.0,509000.0,,
Net Business Purchase And Sale,5235000.0,5468000.0,3558000.0,-282803000.0,-32143000.0,,
Purchase Of Business,,,,-282803000.0,-32143000.0,-32109000.0,-13944000.0
Net Intangibles Purchase And Sale,0.0,,,,,,
Purchase Of Intangibles,0.0,,,,,,
Capital Expenditure Reported,-85922000.0,-85088000.0,-145527000.0,-134527000.0,-127958000.0,,
Operating Cash Flow,841916000.0,112216000.0,396682000.0,941602000.0,695254000.0,,
Cash Flow From Continuing Operating Activities,841916000.0,112216000.0,396682000.0,941602000.0,695254000.0,,
Change In Working Capital,260811000.0,-302963000.0,-234382000.0,44134000.0,75407000.0,,
Change In Other Working Capital,-7163000.0,-17393000.0,-30754000.0,-48775000.0,4419000.0,,
Change In Payables And Accrued Expense,67053000.0,129644000.0,415814000.0,-245863000.0,174172000.0,,
Change In Payable,67053000.0,129644000.0,415814000.0,-245863000.0,174172000.0,,
Change In Account Payable,70958000.0,47044000.0,335640000.0,-90267000.0,99224000.0,,
Change In Tax Payable,-3905000.0,82600000.0,80174000.0,-155596000.0,74948000.0,,
Change In Income Tax Payable,-3905000.0,82600000.0,80174000.0,-155596000.0,74948000.0,,
Change In Prepaid Assets,215936000.0,-108523000.0,-339155000.0,-37616000.0,38744000.0,,
Change In Inventory,131557000.0,-369328000.0,-207243000.0,41155000.0,155798000.0,,
Change In Receivables,-146572000.0,62637000.0,-73044000.0,335233000.0,-297726000.0,,
Changes In Account Receivables,-146572000.0,62637000.0,-73044000.0,335233000.0,-297726000.0,,
Other Non Cash Items,31328000.0,21072000.0,15146000.0,17585000.0,13653000.0,,
Stock Based Compensation,15450000.0,17444000.0,13559000.0,11841000.0,15073000.0,,
Asset Impairment Charge,0.0,0.0,0.0,162294000.0,49626000.0,,
Deferred Tax,53826000.0,-3834000.0,-12202000.0,98858000.0,-8919000.0,,
Deferred Income Tax,53826000.0,-3834000.0,-12202000.0,98858000.0,-8919000.0,,
Depreciation Amortization Depletion,127783000.0,123833000.0,119564000.0,123815000.0,113255000.0,,
Depreciation And Amortization,127783000.0,123833000.0,119564000.0,123815000.0,113255000.0,,
Operating Gains Losses,76398000.0,193945000.0,270794000.0,-313516000.0,-9142000.0,,
Gain Loss On Investment Securities,76398000.0,193945000.0,270794000.0,-313516000.0,-9142000.0,,
Net Income From Continuing Operations,276320000.0,62719000.0,224203000.0,796591000.0,446301000.0,,
