,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,2350887000.0,371395000.0,2528880000.0,-164822000.0,1831657000.0,,
Repurchase Of Capital Stock,0.0,,,0.0,0.0,,
Repayment Of Debt,-8263173000.0,-4399068000.0,-5165945000.0,-6906997000.0,-6800790000.0,,
Issuance Of Debt,10362623000.0,4958302000.0,4660096000.0,7945641000.0,7320341000.0,,
Issuance Of Capital Stock,0.0,0.0,2543404000.0,,,0.0,0.0
Capital Expenditure,-38722000.0,-67361000.0,-20846000.0,-53167000.0,-44601000.0,,
Interest Paid Supplemental Data,653873000.0,685259000.0,602631000.0,791844000.0,662800000.0,,
Income Tax Paid Supplemental Data,369003000.0,452108000.0,73596000.0,298887000.0,107940000.0,,
End Cash Position,22886489000.0,18056173000.0,18393465000.0,15367953000.0,14962439000.0,,
Beginning Cash Position,18056173000.0,18393465000.0,15367953000.0,14962439000.0,16069771000.0,,
Effect Of Exchange Rate Changes,19092000.0,123224000.0,19994000.0,-123845000.0,59192000.0,,
Changes In Cash,4811224000.0,-460516000.0,3005518000.0,529359000.0,-1166524000.0,,
Financing Cash Flow,9427551000.0,990819000.0,3603104000.0,2893746000.0,2076514000.0,,
Cash Flow From Continuing Financing Activities,9427551000.0,990819000.0,3603104000.0,2893746000.0,2076514000.0,,
Net Other Financing Charges,7534558000.0,743569000.0,1721684000.0,2042519000.0,1712353000.0,,
Proceeds From Stock Option Exercised,-1208000.0,-106079000.0,-694000.0,-31977000.0,-84000.0,,
Cash Dividends Paid,-205249000.0,-202543000.0,-155441000.0,-155440000.0,-155306000.0,,
Preferred Stock Dividend Paid,-40430000.0,,,0.0,0.0,0.0,0.0
Common Stock Dividend Paid,-164819000.0,-164807000.0,-155441000.0,-155440000.0,-155306000.0,,
Net Preferred Stock Issuance,0.0,0.0,2543404000.0,,,0.0,0.0
Preferred Stock Issuance,0.0,0.0,2543404000.0,,,0.0,0.0
Net Common Stock Issuance,0.0,,,0.0,0.0,,
Common Stock Payments,0.0,,,0.0,0.0,,
Net Issuance Payments Of Debt,2099450000.0,559234000.0,-505849000.0,1038644000.0,519551000.0,,
Net Long Term Debt Issuance,2099450000.0,559234000.0,-505849000.0,1038644000.0,519551000.0,,
Long Term Debt Payments,-8263173000.0,-4399068000.0,-5165945000.0,-6906997000.0,-6800790000.0,,
Long Term Debt Issuance,10362623000.0,4958302000.0,4660096000.0,7945641000.0,7320341000.0,,
Investing Cash Flow,-7005936000.0,-1890091000.0,-3147312000.0,-2252732000.0,-5119296000.0,,
Cash Flow From Continuing Investing Activities,-6859663000.0,-1890091000.0,-3147312000.0,-2252732000.0,-5119296000.0,,
Net Other Investing Changes,-144634000.0,15658000.0,-119000.0,6993000.0,13972000.0,,
Net Investment Purchase And Sale,-6822580000.0,-1838388000.0,-3126347000.0,-2206558000.0,-5088667000.0,,
Sale Of Investment,18175192000.0,17919327000.0,21793291000.0,13349868000.0,15652907000.0,,
Purchase Of Investment,-24997772000.0,-19757715000.0,-24919638000.0,-15556426000.0,-20741574000.0,,
Net PPE Purchase And Sale,-38722000.0,-67361000.0,-20846000.0,-53167000.0,-44601000.0,,
Purchase Of PPE,-38722000.0,-67361000.0,-20846000.0,-53167000.0,-44601000.0,,
Operating Cash Flow,2389609000.0,438756000.0,2549726000.0,-111655000.0,1876258000.0,,
Cash Flow From Continuing Operating Activities,2389609000.0,438756000.0,2549726000.0,-111655000.0,1876258000.0,,
Change In Working Capital,1213304000.0,-398971000.0,1285792000.0,-891077000.0,-139500000.0,,
Change In Other Working Capital,-217623000.0,-398298000.0,-137121000.0,1633000.0,-192446000.0,,
Change In Other Current Liabilities,761282000.0,346006000.0,-260265000.0,-178225000.0,-27998000.0,,
Change In Other Current Assets,-8059000.0,-782586000.0,151251000.0,78130000.0,-684931000.0,,
Change In Payables And Accrued Expense,447223000.0,464217000.0,1165970000.0,-1050002000.0,1514400000.0,,
Change In Accrued Expense,447223000.0,464217000.0,1165970000.0,-1050002000.0,1514400000.0,,
Change In Receivables,230481000.0,-28310000.0,365957000.0,257387000.0,-748525000.0,,
Changes In Account Receivables,230481000.0,-28310000.0,365957000.0,257387000.0,-748525000.0,,
Other Non Cash Items,19369000.0,-2290504000.0,1482459000.0,-405592000.0,539114000.0,,
Stock Based Compensation,182230000.0,173632000.0,183568000.0,193456000.0,184669000.0,,
Unrealized Gain Loss On Investment Securities,-615846000.0,-1443156000.0,-1524184000.0,-120452000.0,-1196771000.0,,
Operating Gains Losses,-249270000.0,3043291000.0,437593000.0,-272273000.0,1054078000.0,,
Earnings Losses From Equity Investments,-140414000.0,-283825000.0,131762000.0,-359937000.0,-320952000.0,,
Gain Loss On Investment Securities,-108856000.0,3327116000.0,305831000.0,87664000.0,1375030000.0,,
Net Income From Continuing Operations,1839822000.0,1354464000.0,684498000.0,1384283000.0,1434668000.0,,
