,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-30480516.375807,39131984.98749,41118000.0,-42477904.490378,-75046000.0,,
Tax Rate For Calcs,0.119531,0.207048,0.178,0.211333,0.157,,
Normalized EBITDA,5097000000.0,5331000000.0,4480000000.0,3714000000.0,4551000000.0,,
Total Unusual Items,-255000000.0,189000000.0,231000000.0,-201000000.0,-478000000.0,,
Total Unusual Items Excluding Goodwill,-255000000.0,189000000.0,231000000.0,-201000000.0,-478000000.0,,
Net Income From Continuing Operation Net Minority Interest,3696000000.0,3810000000.0,3330000000.0,2195000000.0,2848000000.0,,
Reconciled Depreciation,268000000.0,279000000.0,267000000.0,276000000.0,268000000.0,,
Reconciled Cost Of Revenue,4533000000.0,4439000000.0,3899000000.0,4613000000.0,4400000000.0,,
EBITDA,4842000000.0,5520000000.0,4711000000.0,3513000000.0,4073000000.0,,
EBIT,4574000000.0,5241000000.0,4444000000.0,3237000000.0,3805000000.0,,
Net Interest Income,-206000000.0,-257000000.0,-207000000.0,-227000000.0,-162000000.0,,
Interest Expense,391000000.0,445000000.0,387000000.0,431000000.0,425000000.0,,
Interest Income,185000000.0,188000000.0,180000000.0,204000000.0,263000000.0,,
Normalized Income,3920519483.624193,3660131984.98749,3140118000.0,2353522095.509622,3250954000.0,,
Net Income From Continuing And Discontinued Operation,3696000000.0,3810000000.0,3330000000.0,2195000000.0,2848000000.0,,
Total Expenses,8443000000.0,8216000000.0,7411000000.0,8679000000.0,8338000000.0,,
Total Operating Income As Reported,3982000000.0,4280000000.0,3659000000.0,2709000000.0,2510000000.0,,
Diluted Average Shares,4313000000.0,4315000000.0,4313000000.0,4317000000.0,4323000000.0,,
Basic Average Shares,4303000000.0,4304000000.0,4302000000.0,4306000000.0,4311000000.0,,
Diluted EPS,0.86,0.88,0.77,0.51,0.66,,
Basic EPS,0.86,0.89,0.77,0.51,0.66,,
Diluted NI Availto Com Stockholders,3696000000.0,3810000000.0,3330000000.0,2195000000.0,2848000000.0,,
Net Income Common Stockholders,3696000000.0,3810000000.0,3330000000.0,2195000000.0,2848000000.0,,
Net Income,3696000000.0,3810000000.0,3330000000.0,2195000000.0,2848000000.0,,
Minority Interests,13000000.0,7000000.0,-5000000.0,-18000000.0,-2000000.0,,
Net Income Including Noncontrolling Interests,3683000000.0,3803000000.0,3335000000.0,2213000000.0,2850000000.0,,
Net Income Continuous Operations,3683000000.0,3803000000.0,3335000000.0,2213000000.0,2850000000.0,,
Tax Provision,500000000.0,993000000.0,722000000.0,593000000.0,530000000.0,,
Pretax Income,4183000000.0,4796000000.0,4057000000.0,2806000000.0,3380000000.0,,
Other Income Expense,377000000.0,741000000.0,546000000.0,168000000.0,26000000.0,,
Other Non Operating Income Expenses,-12000000.0,-9000000.0,-36000000.0,31000000.0,-37000000.0,,
Special Income Charges,-431000000.0,-6000000.0,211000000.0,-177000000.0,-648000000.0,,
Gain On Sale Of Ppe,,-28000000.0,,,,,
Gain On Sale Of Business,-393000000.0,,331000000.0,-871000000.0,322000000.0,,516000000.0
Other Special Charges,3000000.0,2000000.0,3000000.0,42000000.0,-36000000.0,,
Write Off,,40000000.0,25000000.0,0.0,,34000000.0,760000000.0
Impairment Of Capital Assets,,31000000.0,,39000000.0,87000000.0,,760000000.0
Restructuring And Mergern Acquisition,35000000.0,-95000000.0,92000000.0,-775000000.0,919000000.0,,
Earnings From Equity Interest,644000000.0,561000000.0,351000000.0,338000000.0,541000000.0,,
Gain On Sale Of Security,176000000.0,195000000.0,20000000.0,-24000000.0,170000000.0,,
Net Non Operating Interest Income Expense,-206000000.0,-257000000.0,-207000000.0,-227000000.0,-162000000.0,,
Interest Expense Non Operating,391000000.0,445000000.0,387000000.0,431000000.0,425000000.0,,
Interest Income Non Operating,185000000.0,188000000.0,180000000.0,204000000.0,263000000.0,,
Operating Income,4012000000.0,4319000000.0,3718000000.0,2865000000.0,3516000000.0,,
Operating Expense,3646000000.0,3502000000.0,3248000000.0,4066000000.0,3674000000.0,,
Other Operating Expenses,24000000.0,28000000.0,11000000.0,2097000000.0,1624000000.0,,
Depreciation Amortization Depletion Income Statement,4000000.0,4000000.0,3000000.0,,4000000.0,3000000.0,
Depreciation And Amortization In Income Statement,4000000.0,4000000.0,3000000.0,,4000000.0,3000000.0,
Amortization,4000000.0,4000000.0,3000000.0,,4000000.0,3000000.0,
Amortization Of Intangibles Income Statement,4000000.0,4000000.0,3000000.0,,4000000.0,3000000.0,
Selling General And Administration,3618000000.0,3470000000.0,3234000000.0,1980000000.0,2046000000.0,,
Selling And Marketing Expense,1523000000.0,1328000000.0,1089000000.0,1901000000.0,1979000000.0,,
General And Administrative Expense,2095000000.0,2142000000.0,2145000000.0,79000000.0,67000000.0,,
Other Gand A,2095000000.0,2142000000.0,2145000000.0,,,2149000000.0,2190000000.0
Salaries And Wages,,,,79000000.0,67000000.0,72000000.0,68000000.0
Gross Profit,7658000000.0,7821000000.0,6966000000.0,6931000000.0,7190000000.0,,
Cost Of Revenue,4797000000.0,4714000000.0,4163000000.0,4613000000.0,4664000000.0,,
Total Revenue,12455000000.0,12535000000.0,11129000000.0,11544000000.0,11854000000.0,,
Operating Revenue,12455000000.0,12535000000.0,11129000000.0,11544000000.0,11854000000.0,,
