,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-05-31
Tax Effect Of Unusual Items,11760000.0,-4047000.0,-3187500.0,13747000.0,-29161000.0,
Tax Rate For Calcs,0.21,0.213,0.138587,0.233,0.241,
Normalized EBITDA,1772000000.0,2556000000.0,1813000000.0,1727000000.0,1708000000.0,
Total Unusual Items,56000000.0,-19000000.0,-23000000.0,59000000.0,-121000000.0,
Total Unusual Items Excluding Goodwill,56000000.0,-19000000.0,-23000000.0,59000000.0,-121000000.0,
Net Income From Continuing Operation Net Minority Interest,609000000.0,866000000.0,634000000.0,618000000.0,466000000.0,
Reconciled Depreciation,912000000.0,1235000000.0,898000000.0,896000000.0,890000000.0,
Reconciled Cost Of Revenue,25996000000.0,34367000000.0,26250000000.0,25809000000.0,26122000000.0,
EBITDA,1828000000.0,2537000000.0,1790000000.0,1786000000.0,1587000000.0,
EBIT,916000000.0,1302000000.0,892000000.0,890000000.0,697000000.0,
Net Interest Income,-144000000.0,-199000000.0,-156000000.0,-86000000.0,-84000000.0,
Interest Expense,144000000.0,199000000.0,156000000.0,86000000.0,84000000.0,
Normalized Income,564760000.0,880953000.0,653812500.0,572747000.0,557839000.0,
Net Income From Continuing And Discontinued Operation,609000000.0,866000000.0,634000000.0,618000000.0,466000000.0,
Total Expenses,33077000000.0,43796000000.0,33396000000.0,32806000000.0,33097000000.0,
Rent Expense Supplemental,202000000.0,271000000.0,205000000.0,203000000.0,199000000.0,
Total Operating Income As Reported,863000000.0,1322000000.0,912000000.0,828000000.0,815000000.0,
Diluted Average Shares,665000000.0,664000000.0,696000000.0,728000000.0,727000000.0,
Basic Average Shares,662000000.0,660000000.0,691000000.0,723000000.0,723000000.0,
Diluted EPS,0.91,1.29,0.9,0.84,0.64,
Basic EPS,0.91,1.3,0.91,0.85,0.64,
Diluted NI Availto Com Stockholders,609000000.0,866000000.0,614000000.0,618000000.0,466000000.0,
Net Income Common Stockholders,609000000.0,866000000.0,614000000.0,618000000.0,466000000.0,
Net Income,609000000.0,866000000.0,634000000.0,618000000.0,466000000.0,
Minority Interests,-1000000.0,-2000000.0,0.0,1000000.0,1000000.0,
Net Income Including Noncontrolling Interests,610000000.0,868000000.0,634000000.0,617000000.0,465000000.0,
Net Income Continuous Operations,610000000.0,868000000.0,634000000.0,617000000.0,465000000.0,
Tax Provision,162000000.0,235000000.0,102000000.0,187000000.0,148000000.0,
Pretax Income,772000000.0,1103000000.0,736000000.0,804000000.0,613000000.0,
Other Income Expense,53000000.0,-20000000.0,-20000000.0,62000000.0,-118000000.0,
Other Non Operating Income Expenses,-3000000.0,-1000000.0,3000000.0,3000000.0,3000000.0,
Special Income Charges,,,0.0,79000000.0,,
Gain On Sale Of Business,,,0.0,79000000.0,,
Gain On Sale Of Security,56000000.0,-19000000.0,-23000000.0,-20000000.0,-121000000.0,
Net Non Operating Interest Income Expense,-144000000.0,-199000000.0,-156000000.0,-86000000.0,-84000000.0,
Interest Expense Non Operating,144000000.0,199000000.0,156000000.0,86000000.0,84000000.0,
Operating Income,863000000.0,1322000000.0,912000000.0,828000000.0,815000000.0,
Operating Expense,6947000000.0,9245000000.0,7008000000.0,6858000000.0,6836000000.0,
Other Operating Expenses,5967000000.0,7923000000.0,6043000000.0,5898000000.0,5886000000.0,
Depreciation Amortization Depletion Income Statement,778000000.0,1051000000.0,760000000.0,757000000.0,751000000.0,
Depreciation And Amortization In Income Statement,778000000.0,1051000000.0,760000000.0,757000000.0,751000000.0,
Selling General And Administration,202000000.0,271000000.0,205000000.0,203000000.0,199000000.0,
General And Administrative Expense,202000000.0,271000000.0,205000000.0,203000000.0,199000000.0,
Rent And Landing Fees,202000000.0,271000000.0,205000000.0,203000000.0,199000000.0,
Salaries And Wages,,,,,,-4000000.0
Gross Profit,7810000000.0,10567000000.0,7920000000.0,7686000000.0,7651000000.0,
Cost Of Revenue,26130000000.0,34551000000.0,26388000000.0,25948000000.0,26261000000.0,
Total Revenue,33940000000.0,45118000000.0,34308000000.0,33634000000.0,33912000000.0,
Operating Revenue,33940000000.0,45118000000.0,34308000000.0,33634000000.0,33912000000.0,
