,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,6027700000.0,1283000000.0,-1600900000.0,726600000.0,-458900000.0,
Repurchase Of Capital Stock,-708100000.0,-692200000.0,-1200000000.0,-2053900000.0,-446100000.0,
Repayment Of Debt,0.0,,,0.0,0.0,
Issuance Of Debt,6706200000.0,0.0,6461000000.0,0.0,4964600000.0,
Capital Expenditure,-2808200000.0,-1803900000.0,-3266500000.0,-1747200000.0,-4170800000.0,
End Cash Position,9791900000.0,3375900000.0,3093300000.0,3268400000.0,3369000000.0,
Beginning Cash Position,3375900000.0,3093300000.0,3268400000.0,3369000000.0,3223600000.0,
Effect Of Exchange Rate Changes,31700000.0,275500000.0,131900000.0,-428500000.0,226900000.0,
Changes In Cash,6384300000.0,7100000.0,-307000000.0,327900000.0,-81500000.0,
Financing Cash Flow,531000000.0,-1244900000.0,1379700000.0,-225400000.0,211300000.0,
Cash Flow From Continuing Financing Activities,531000000.0,-1244900000.0,1379700000.0,-225400000.0,211300000.0,
Net Other Financing Charges,-30200000.0,-30400000.0,-686300000.0,-45500000.0,-47300000.0,
Cash Dividends Paid,-1345200000.0,-1347000000.0,-1346300000.0,-1168300000.0,-1170500000.0,
Common Stock Dividend Paid,-1345200000.0,-1347000000.0,-1346300000.0,-1168300000.0,-1170500000.0,
Net Common Stock Issuance,-708100000.0,-692200000.0,-1200000000.0,-2053900000.0,-446100000.0,
Common Stock Payments,-708100000.0,-692200000.0,-1200000000.0,-2053900000.0,-446100000.0,
Net Issuance Payments Of Debt,2614500000.0,824700000.0,4612300000.0,3042300000.0,1875200000.0,
Net Short Term Debt Issuance,-4091700000.0,1602800000.0,-1848700000.0,3042300000.0,-3089400000.0,
Net Long Term Debt Issuance,6706200000.0,-778100000.0,6461000000.0,0.0,4964600000.0,
Long Term Debt Payments,0.0,,,0.0,0.0,
Long Term Debt Issuance,6706200000.0,0.0,6461000000.0,0.0,4964600000.0,
Investing Cash Flow,-2982600000.0,-1834900000.0,-3352300000.0,-1920500000.0,-4004700000.0,
Cash Flow From Continuing Investing Activities,-2982600000.0,-1834900000.0,-3352300000.0,-1920500000.0,-4004700000.0,
Net Other Investing Changes,-31000000.0,-64100000.0,39300000.0,-158800000.0,-196400000.0,
Net Investment Purchase And Sale,406000000.0,33100000.0,-125100000.0,-84900000.0,-168400000.0,
Sale Of Investment,556100000.0,204300000.0,71600000.0,97200000.0,175200000.0,
Purchase Of Investment,-150100000.0,-171200000.0,-196700000.0,-182100000.0,-343600000.0,
Net Business Purchase And Sale,-549400000.0,,,0.0,0.0,
Purchase Of Business,-549400000.0,,,0.0,0.0,
Net Intangibles Purchase And Sale,-720500000.0,-106800000.0,-1757000000.0,-180800000.0,-2289200000.0,
Sale Of Intangibles,,,,70400000.0,,
Purchase Of Intangibles,-720500000.0,-106800000.0,-1757000000.0,-251200000.0,-2820100000.0,
Net PPE Purchase And Sale,-2087700000.0,-1697100000.0,-1509500000.0,-1496000000.0,-1350700000.0,
Purchase Of PPE,-2087700000.0,-1697100000.0,-1509500000.0,-1496000000.0,-1350700000.0,
Operating Cash Flow,8835900000.0,3086900000.0,1665600000.0,2473800000.0,3711900000.0,
Cash Flow From Continuing Operating Activities,8835900000.0,3086900000.0,1665600000.0,2473800000.0,3711900000.0,
Change In Working Capital,1208200000.0,-2262900000.0,-3364200000.0,-2224900000.0,-9800000.0,
Other Non Cash Items,958000000.0,208200000.0,1896500000.0,732000000.0,2794300000.0,
Stock Based Compensation,151100000.0,185100000.0,153700000.0,141900000.0,133200000.0,
Deferred Tax,501400000.0,-1068700000.0,-391600000.0,-966700000.0,-429800000.0,
Deferred Income Tax,501400000.0,-1068700000.0,-391600000.0,-966700000.0,-429800000.0,
Depreciation Amortization Depletion,470000000.0,478500000.0,462800000.0,484800000.0,466800000.0,
Depreciation And Amortization,470000000.0,478500000.0,462800000.0,484800000.0,466800000.0,
Operating Gains Losses,,-113800000.0,149100000.0,-103100000.0,-213100000.0,158000000.0
Gain Loss On Sale Of PPE,,,,-123100000.0,,
Net Income From Continuing Operations,5582500000.0,5660500000.0,2759300000.0,4409800000.0,970300000.0,
