,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,1680000.0,4830000.0,3780000.0,-840000.0,5400000.0,,
Tax Rate For Calcs,0.07,0.21,0.21,0.21,0.27,,
Normalized EBITDA,578000000.0,441000000.0,478000000.0,465000000.0,522000000.0,,
Total Unusual Items,24000000.0,23000000.0,18000000.0,-4000000.0,20000000.0,,
Total Unusual Items Excluding Goodwill,24000000.0,23000000.0,18000000.0,-4000000.0,20000000.0,,
Net Income From Continuing Operation Net Minority Interest,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Reconciled Depreciation,211000000.0,209000000.0,211000000.0,201000000.0,195000000.0,,
Reconciled Cost Of Revenue,621000000.0,498000000.0,630000000.0,522000000.0,544000000.0,,
EBITDA,602000000.0,464000000.0,496000000.0,461000000.0,542000000.0,,
EBIT,391000000.0,255000000.0,285000000.0,260000000.0,347000000.0,,
Net Interest Income,-128000000.0,-124000000.0,-119000000.0,-99000000.0,-114000000.0,,
Interest Expense,128000000.0,124000000.0,119000000.0,120000000.0,114000000.0,,
Normalized Income,258680000.0,155830000.0,198780000.0,153160000.0,280400000.0,,
Net Income From Continuing And Discontinued Operation,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Total Expenses,861000000.0,738000000.0,871000000.0,755000000.0,768000000.0,,
Total Operating Income As Reported,349000000.0,223000000.0,257000000.0,221000000.0,313000000.0,,
Diluted Average Shares,257800000.0,257300000.0,257200000.0,257200000.0,256900000.0,,
Basic Average Shares,257000000.0,256900000.0,256800000.0,256600000.0,256600000.0,,
Diluted EPS,1.09,0.68,0.83,0.58,1.15,,
Basic EPS,1.09,0.68,0.83,0.58,1.15,,
Diluted NI Availto Com Stockholders,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Net Income Common Stockholders,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Net Income,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Net Income Including Noncontrolling Interests,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Net Income Continuous Operations,281000000.0,174000000.0,213000000.0,150000000.0,295000000.0,,
Tax Provision,-18000000.0,-43000000.0,-47000000.0,-10000000.0,-62000000.0,,
Pretax Income,263000000.0,131000000.0,166000000.0,140000000.0,233000000.0,,
Other Income Expense,42000000.0,32000000.0,28000000.0,18000000.0,34000000.0,,
Other Non Operating Income Expenses,,-1000000.0,-3000000.0,5000000.0,,-2000000.0,-1000000.0
Special Income Charges,24000000.0,23000000.0,18000000.0,-4000000.0,20000000.0,,
Other Special Charges,-24000000.0,-23000000.0,-18000000.0,4000000.0,-20000000.0,,
Earnings From Equity Interest,18000000.0,10000000.0,13000000.0,17000000.0,14000000.0,,
Net Non Operating Interest Income Expense,-128000000.0,-124000000.0,-119000000.0,-99000000.0,-114000000.0,,
Interest Expense Non Operating,128000000.0,124000000.0,119000000.0,120000000.0,114000000.0,,
Operating Income,349000000.0,223000000.0,257000000.0,221000000.0,313000000.0,,
Operating Expense,240000000.0,239000000.0,241000000.0,233000000.0,224000000.0,,
Other Operating Expenses,,,,,,60000000.0,
Other Taxes,29000000.0,31000000.0,30000000.0,32000000.0,29000000.0,,
Depreciation Amortization Depletion Income Statement,211000000.0,208000000.0,211000000.0,201000000.0,195000000.0,,
Depreciation And Amortization In Income Statement,211000000.0,208000000.0,211000000.0,201000000.0,195000000.0,,
Gross Profit,589000000.0,462000000.0,498000000.0,454000000.0,537000000.0,,
Cost Of Revenue,621000000.0,499000000.0,630000000.0,522000000.0,544000000.0,,
Total Revenue,1210000000.0,961000000.0,1128000000.0,976000000.0,1081000000.0,,
Operating Revenue,1187000000.0,938000000.0,1106000000.0,954000000.0,1060000000.0,,
