,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Free Cash Flow,150778000.0,-271217000.0,1166408000.0,122176000.0,298054000.0,
Repurchase Of Capital Stock,-281233000.0,-434439000.0,-335351000.0,-412593000.0,-589456000.0,
Capital Expenditure,-177898000.0,-152263000.0,-234982000.0,-178483000.0,-145086000.0,
End Cash Position,1155794000.0,1325272000.0,1984336000.0,1188419000.0,1610112000.0,
Beginning Cash Position,1325272000.0,1984336000.0,1188419000.0,1610112000.0,1900672000.0,
Effect Of Exchange Rate Changes,-8187000.0,34706000.0,-58515000.0,-1796000.0,-10697000.0,
Changes In Cash,-161291000.0,-693770000.0,854432000.0,-419897000.0,-279863000.0,
Financing Cash Flow,-276849000.0,-467974000.0,-323998000.0,-411967000.0,-587915000.0,
Cash Flow From Continuing Financing Activities,-276849000.0,-467974000.0,-323998000.0,-411967000.0,-587915000.0,
Net Other Financing Charges,-873000.0,-33756000.0,,,-829000.0,-32542000.0
Proceeds From Stock Option Exercised,5257000.0,221000.0,46795000.0,-32745000.0,2370000.0,
Net Common Stock Issuance,-281233000.0,-434439000.0,-335351000.0,-412593000.0,-589456000.0,
Common Stock Payments,-281233000.0,-434439000.0,-335351000.0,-412593000.0,-589456000.0,
Investing Cash Flow,-213118000.0,-106842000.0,-222960000.0,-308589000.0,-135088000.0,
Cash Flow From Continuing Investing Activities,-213118000.0,-106842000.0,-222960000.0,-308589000.0,-135088000.0,
Net Other Investing Changes,0.0,-3250000.0,0.0,0.0,,
Net Investment Purchase And Sale,-35220000.0,48671000.0,35172000.0,890000.0,15007000.0,
Sale Of Investment,,48671000.0,,,,
Purchase Of Investment,,,,,,-856000.0
Net Business Purchase And Sale,,,-23150000.0,,,
Purchase Of Business,,,-23150000.0,,,
Net PPE Purchase And Sale,-177898000.0,-152263000.0,-234982000.0,-178483000.0,-145086000.0,
Purchase Of PPE,-177898000.0,-152263000.0,-234982000.0,-178483000.0,-145086000.0,
Operating Cash Flow,328676000.0,-118954000.0,1401390000.0,300659000.0,443140000.0,
Cash Flow From Continuing Operating Activities,328676000.0,-118954000.0,1401390000.0,300659000.0,443140000.0,
Change In Working Capital,-195699000.0,-523626000.0,507775000.0,-182150000.0,-62422000.0,
Change In Other Working Capital,-18803000.0,-43589000.0,116300000.0,-15041000.0,727000.0,
Change In Other Current Liabilities,-28958000.0,-1927000.0,1729000.0,3533000.0,-5010000.0,
Change In Other Current Assets,-19806000.0,-13524000.0,-12567000.0,-11870000.0,-30799000.0,
Change In Payables And Accrued Expense,-20537000.0,-246412000.0,27060000.0,274162000.0,74197000.0,
Change In Accrued Expense,-84283000.0,-108606000.0,43093000.0,125623000.0,65292000.0,
Change In Payable,63746000.0,-137806000.0,-16033000.0,148539000.0,8905000.0,
Change In Account Payable,68665000.0,22489000.0,-102623000.0,69262000.0,58683000.0,
Change In Tax Payable,-4919000.0,-160295000.0,86590000.0,79277000.0,-49778000.0,
Change In Income Tax Payable,-4919000.0,-160295000.0,86590000.0,79277000.0,-49778000.0,
Change In Prepaid Assets,-46586000.0,-25351000.0,52030000.0,-83956000.0,-11882000.0,
Change In Inventory,-63584000.0,-174319000.0,321597000.0,-351606000.0,-89651000.0,
Change In Receivables,2575000.0,-18504000.0,,,-4000.0,-2624000.0
Changes In Account Receivables,2575000.0,-18504000.0,,,-4000.0,-2624000.0
Stock Based Compensation,-1844000.0,23091000.0,18517000.0,24169000.0,21567000.0,
Provisionand Write Offof Assets,,,0.0,,,
Asset Impairment Charge,,,0.0,,,
Depreciation Amortization Depletion,119715000.0,114529000.0,133593000.0,113599000.0,103573000.0,
Depreciation And Amortization,119715000.0,114529000.0,133593000.0,113599000.0,103573000.0,
Operating Gains Losses,35599000.0,-47520000.0,-28118000.0,-6829000.0,-12500000.0,
Gain Loss On Investment Securities,35599000.0,-47520000.0,-28118000.0,-6829000.0,-12500000.0,
Net Income From Continuing Operations,370905000.0,314572000.0,748403000.0,351870000.0,392922000.0,
