,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Free Cash Flow,584000000.0,2069000000.0,2096000000.0,554000000.0,466000000.0,
Repurchase Of Capital Stock,-123000000.0,-274000000.0,-181000000.0,-288000000.0,-2492000000.0,
Repayment Of Debt,-1162000000.0,,,,-624000000.0,0.0
Issuance Of Debt,649000000.0,0.0,0.0,0.0,3209000000.0,
Issuance Of Capital Stock,95000000.0,108000000.0,168000000.0,143000000.0,89000000.0,
Capital Expenditure,-504000000.0,-459000000.0,-476000000.0,-404000000.0,-520000000.0,
Interest Paid Supplemental Data,81000000.0,195000000.0,54000000.0,394000000.0,119000000.0,
Income Tax Paid Supplemental Data,402000000.0,304000000.0,180000000.0,941000000.0,394000000.0,
End Cash Position,1273000000.0,2218000000.0,1240000000.0,1394000000.0,1311000000.0,
Beginning Cash Position,2218000000.0,1240000000.0,1394000000.0,1311000000.0,1284000000.0,
Effect Of Exchange Rate Changes,67000000.0,283000000.0,-130000000.0,4000000.0,31000000.0,
Changes In Cash,-1012000000.0,695000000.0,-24000000.0,79000000.0,-4000000.0,
Financing Cash Flow,-1381000000.0,-1343000000.0,-1753000000.0,-534000000.0,-731000000.0,
Cash Flow From Continuing Financing Activities,-1381000000.0,-1343000000.0,-1753000000.0,-534000000.0,-731000000.0,
Net Other Financing Charges,70000000.0,-280000000.0,160000000.0,-49000000.0,-15000000.0,
Cash Dividends Paid,-910000000.0,-897000000.0,-897000000.0,-897000000.0,-898000000.0,
Common Stock Dividend Paid,-910000000.0,-897000000.0,-897000000.0,-897000000.0,-898000000.0,
Net Common Stock Issuance,-28000000.0,-166000000.0,-13000000.0,-145000000.0,-2403000000.0,
Common Stock Payments,-123000000.0,-274000000.0,-181000000.0,-288000000.0,-2492000000.0,
Common Stock Issuance,95000000.0,108000000.0,168000000.0,143000000.0,89000000.0,
Net Issuance Payments Of Debt,-513000000.0,0.0,-1003000000.0,557000000.0,2585000000.0,
Net Short Term Debt Issuance,649000000.0,0.0,-1003000000.0,557000000.0,-624000000.0,
Short Term Debt Payments,,,,,-624000000.0,
Short Term Debt Issuance,649000000.0,,,,,63000000.0
Net Long Term Debt Issuance,-1162000000.0,0.0,0.0,0.0,3209000000.0,
Long Term Debt Payments,-1162000000.0,,,,0.0,0.0
Long Term Debt Issuance,0.0,0.0,0.0,0.0,3209000000.0,
Investing Cash Flow,-719000000.0,-490000000.0,-843000000.0,-345000000.0,-259000000.0,
Cash Flow From Continuing Investing Activities,-719000000.0,-490000000.0,-843000000.0,-345000000.0,-259000000.0,
Net Other Investing Changes,-125000000.0,-138000000.0,-112000000.0,18000000.0,-17000000.0,
Net Investment Purchase And Sale,-90000000.0,107000000.0,-157000000.0,41000000.0,278000000.0,
Sale Of Investment,2010000000.0,2240000000.0,1917000000.0,2181000000.0,2157000000.0,
Purchase Of Investment,-2100000000.0,-2133000000.0,-2074000000.0,-2140000000.0,-1879000000.0,
Net Business Purchase And Sale,,0.0,-98000000.0,,,-137000000.0
Purchase Of Business,,0.0,-98000000.0,,,-137000000.0
Net PPE Purchase And Sale,-504000000.0,-459000000.0,-476000000.0,-404000000.0,-520000000.0,
Purchase Of PPE,-504000000.0,-459000000.0,-476000000.0,-404000000.0,-520000000.0,
Operating Cash Flow,1088000000.0,2528000000.0,2572000000.0,958000000.0,986000000.0,
Cash Flow From Continuing Operating Activities,1088000000.0,2528000000.0,2572000000.0,958000000.0,986000000.0,
Change In Working Capital,-1147000000.0,450000000.0,462000000.0,-1061000000.0,-905000000.0,
Change In Other Working Capital,-464000000.0,147000000.0,115000000.0,-606000000.0,-194000000.0,
Change In Payables And Accrued Expense,-598000000.0,366000000.0,550000000.0,-103000000.0,-604000000.0,
Change In Inventory,-373000000.0,186000000.0,-200000000.0,-61000000.0,-217000000.0,
Change In Receivables,288000000.0,-249000000.0,-3000000.0,-291000000.0,110000000.0,
Changes In Account Receivables,288000000.0,-249000000.0,-3000000.0,-291000000.0,110000000.0,
Other Non Cash Items,159000000.0,296000000.0,112000000.0,-89000000.0,-9000000.0,
Stock Based Compensation,86000000.0,89000000.0,98000000.0,159000000.0,83000000.0,
Provisionand Write Offof Assets,28000000.0,27000000.0,51000000.0,27000000.0,18000000.0,
Deferred Tax,167000000.0,-235000000.0,-138000000.0,-31000000.0,88000000.0,
Deferred Income Tax,167000000.0,-235000000.0,-138000000.0,-31000000.0,88000000.0,
Depreciation Amortization Depletion,748000000.0,840000000.0,684000000.0,675000000.0,662000000.0,
Depreciation And Amortization,748000000.0,840000000.0,684000000.0,675000000.0,662000000.0,
Net Income From Continuing Operations,1047000000.0,1061000000.0,1303000000.0,1278000000.0,1049000000.0,
