,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,504469.0,1361520.0,-311850.0,46200.0,665874.0
Tax Rate For Calcs,0.133,0.244,0.231,0.21,0.171
Normalized EBITDA,205091000.0,172298000.0,181558000.0,173130000.0,169579000.0
Total Unusual Items,3793000.0,5580000.0,-1350000.0,220000.0,3894000.0
Total Unusual Items Excluding Goodwill,3793000.0,5580000.0,-1350000.0,220000.0,3894000.0
Net Income From Continuing Operation Net Minority Interest,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Reconciled Depreciation,13701000.0,13120000.0,11449000.0,10043000.0,9445000.0
Reconciled Cost Of Revenue,330948000.0,298558000.0,284324000.0,277257000.0,276676000.0
EBITDA,208884000.0,177878000.0,180208000.0,173350000.0,173473000.0
EBIT,195183000.0,164758000.0,168759000.0,163307000.0,164028000.0
Net Interest Income,8338000.0,6043000.0,5697000.0,6744000.0,6805000.0
Interest Income,8338000.0,6043000.0,5697000.0,6744000.0,6805000.0
Normalized Income,174985469.0,129507520.0,134829150.0,1449189200.0,141201874.0
Net Income From Continuing And Discontinued Operation,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Total Expenses,541993000.0,499816000.0,468795000.0,458358000.0,456091000.0
Total Operating Income As Reported,195183000.0,164758000.0,168759000.0,163307000.0,164028000.0
Diluted Average Shares,48042000.0,48019000.0,48006000.0,48506000.0,48964000.0
Basic Average Shares,47898000.0,47887000.0,47851000.0,48317000.0,48757000.0
Diluted EPS,3.71,2.78,2.79,29.88,2.95
Basic EPS,3.72,2.79,2.8,30.0,2.96
Diluted NI Availto Com Stockholders,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Net Income Common Stockholders,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Net Income,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Net Income Including Noncontrolling Interests,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Net Income Continuous Operations,178274000.0,133726000.0,133791000.0,1449363000.0,144430000.0
Tax Provision,27301000.0,43252000.0,40099000.0,-1279832000.0,29876000.0
Pretax Income,205575000.0,176978000.0,173890000.0,169531000.0,174306000.0
Other Income Expense,2054000.0,6177000.0,-566000.0,-520000.0,3473000.0
Other Non Operating Income Expenses,-2748000.0,-1520000.0,16000.0,-4201000.0,-7065000.0
Securities Amortization,-1009000.0,-2117000.0,-768000.0,-3461000.0,-6644000.0
Gain On Sale Of Security,3793000.0,5580000.0,-1350000.0,220000.0,3894000.0
Net Non Operating Interest Income Expense,8338000.0,6043000.0,5697000.0,6744000.0,6805000.0
Interest Income Non Operating,8338000.0,6043000.0,5697000.0,6744000.0,6805000.0
Operating Income,195183000.0,164758000.0,168759000.0,163307000.0,164028000.0
Operating Expense,211045000.0,201258000.0,184471000.0,181101000.0,179415000.0
Research And Development,98173000.0,96266000.0,92227000.0,85762000.0,85051000.0
Selling General And Administration,112872000.0,104992000.0,92244000.0,95339000.0,94364000.0
Gross Profit,406228000.0,366016000.0,353230000.0,344408000.0,343443000.0
Cost Of Revenue,330948000.0,298558000.0,284324000.0,277257000.0,276676000.0
Total Revenue,737176000.0,664574000.0,637554000.0,621665000.0,620119000.0
Operating Revenue,737176000.0,664574000.0,637554000.0,621665000.0,620119000.0
