,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,25663000000.0,25568000000.0,20299000000.0,6487000000.0,19257000000.0,,
Repurchase Of Capital Stock,-5650000000.0,-4546000000.0,-4781000000.0,-4986000000.0,-4107000000.0,,
Repayment Of Debt,0.0,0.0,-2250000000.0,0.0,-966000000.0,,
Issuance Of Debt,,0.0,0.0,0.0,0.0,5447000000.0,
Issuance Of Capital Stock,689000000.0,548000000.0,546000000.0,256000000.0,706000000.0,,
Capital Expenditure,-19394000000.0,-17079000000.0,-16745000000.0,-15804000000.0,-14923000000.0,,
End Cash Position,28849000000.0,30242000000.0,28828000000.0,17482000000.0,20840000000.0,,
Beginning Cash Position,30242000000.0,28828000000.0,17482000000.0,20840000000.0,18315000000.0,,
Effect Of Exchange Rate Changes,-92000000.0,183000000.0,52000000.0,-294000000.0,122000000.0,,
Changes In Cash,-1301000000.0,1231000000.0,11294000000.0,-3064000000.0,2403000000.0,,
Financing Cash Flow,-11799000000.0,-10844000000.0,-13036000000.0,-11243000000.0,-16576000000.0,,
Cash Flow From Continuing Financing Activities,-11799000000.0,-10844000000.0,-13036000000.0,-11243000000.0,-16576000000.0,,
Net Other Financing Charges,-669000000.0,-677000000.0,-382000000.0,-343000000.0,-889000000.0,,
Cash Dividends Paid,-6169000000.0,-6169000000.0,-6169000000.0,-6170000000.0,-5574000000.0,,
Common Stock Dividend Paid,-6169000000.0,-6169000000.0,-6169000000.0,-6170000000.0,-5574000000.0,,
Net Common Stock Issuance,-4961000000.0,-3998000000.0,-4235000000.0,-4730000000.0,-3401000000.0,,
Common Stock Payments,-5650000000.0,-4546000000.0,-4781000000.0,-4986000000.0,-4107000000.0,,
Common Stock Issuance,689000000.0,548000000.0,546000000.0,256000000.0,706000000.0,,
Net Issuance Payments Of Debt,0.0,0.0,-2250000000.0,0.0,-6712000000.0,,
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,-5746000000.0,,
Net Long Term Debt Issuance,0.0,0.0,-2250000000.0,0.0,-966000000.0,,
Long Term Debt Payments,0.0,0.0,-2250000000.0,0.0,-966000000.0,,
Long Term Debt Issuance,,0.0,0.0,0.0,0.0,197000000.0,
Investing Cash Flow,-34559000000.0,-30572000000.0,-12714000000.0,-14112000000.0,-15201000000.0,,
Cash Flow From Continuing Investing Activities,-34559000000.0,-30572000000.0,-12714000000.0,-14112000000.0,-15201000000.0,,
Net Other Investing Changes,-6209000000.0,2642000000.0,604000000.0,-16000000.0,-913000000.0,,
Net Investment Purchase And Sale,-8378000000.0,-14392000000.0,4408000000.0,3113000000.0,2484000000.0,,
Sale Of Investment,9293000000.0,7239000000.0,8882000000.0,5163000000.0,4104000000.0,,
Purchase Of Investment,-17671000000.0,-21631000000.0,-4474000000.0,-2050000000.0,-1620000000.0,,
Net Business Purchase And Sale,-578000000.0,-1743000000.0,-981000000.0,-1405000000.0,-1849000000.0,,
Purchase Of Business,-578000000.0,-1743000000.0,-981000000.0,-1405000000.0,-1849000000.0,,
Net PPE Purchase And Sale,-19394000000.0,-17079000000.0,-16745000000.0,-15804000000.0,-14923000000.0,,
Purchase Of PPE,-19394000000.0,-17079000000.0,-16745000000.0,-15804000000.0,-14923000000.0,,
Operating Cash Flow,45057000000.0,42647000000.0,37044000000.0,22291000000.0,34180000000.0,,
Cash Flow From Continuing Operating Activities,45057000000.0,42647000000.0,37044000000.0,22291000000.0,34180000000.0,,
Change In Working Capital,-218000000.0,3303000000.0,2042000000.0,-11551000000.0,856000000.0,,
Change In Other Working Capital,-8362000000.0,19404000000.0,266000000.0,-9733000000.0,-4537000000.0,,
Change In Other Current Liabilities,-5984000000.0,4079000000.0,2448000000.0,3933000000.0,-5512000000.0,,
Change In Other Current Assets,-1556000000.0,-3268000000.0,558000000.0,-1442000000.0,-1843000000.0,,
Change In Payables And Accrued Expense,-614000000.0,-652000000.0,1179000000.0,958000000.0,-916000000.0,,
Change In Payable,-614000000.0,-652000000.0,1179000000.0,958000000.0,-916000000.0,,
Change In Account Payable,-614000000.0,-652000000.0,1179000000.0,958000000.0,-916000000.0,,
Change In Tax Payable,,,1298000000.0,-3395000000.0,1016000000.0,-806000000.0,2622000000.0
Change In Income Tax Payable,,,1298000000.0,-3395000000.0,1016000000.0,-806000000.0,2622000000.0
Change In Inventory,-192000000.0,-81000000.0,52000000.0,711000000.0,-373000000.0,,
Change In Receivables,16490000000.0,-16179000000.0,-2461000000.0,-5978000000.0,14037000000.0,,
Changes In Account Receivables,16490000000.0,-16179000000.0,-2461000000.0,-5978000000.0,14037000000.0,,
Stock Based Compensation,2983000000.0,3073000000.0,2980000000.0,3089000000.0,2832000000.0,,
Unrealized Gain Loss On Investment Securities,635000000.0,36000000.0,-135000000.0,-25000000.0,-412000000.0,,
Asset Impairment Charge,14000000.0,45000000.0,24000000.0,867000000.0,7000000.0,,
Deferred Tax,2491000000.0,-2221000000.0,-2244000000.0,-1158000000.0,-1433000000.0,,
Deferred Income Tax,2491000000.0,-2221000000.0,-2244000000.0,-1158000000.0,-1433000000.0,,
Depreciation Amortization Depletion,13061000000.0,11203000000.0,8740000000.0,6827000000.0,7383000000.0,,
Depreciation And Amortization,13061000000.0,11203000000.0,8740000000.0,6827000000.0,7383000000.0,,
Depreciation,13061000000.0,11203000000.0,8740000000.0,6827000000.0,7383000000.0,,
Operating Gains Losses,-1656000000.0,-25000000.0,-187000000.0,134000000.0,280000000.0,,
Gain Loss On Investment Securities,-1656000000.0,-25000000.0,-187000000.0,134000000.0,280000000.0,,
Net Income From Continuing Operations,27747000000.0,27233000000.0,25824000000.0,24108000000.0,24667000000.0,,
