,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,965000000.0,818000000.0,610000000.0,1591000000.0,-58000000.0
Repurchase Of Capital Stock,-404000000.0,-1069000000.0,-656000000.0,-198000000.0,-548000000.0
Repayment Of Debt,-215000000.0,-215000000.0,-2950000000.0,-331000000.0,-516000000.0
Issuance Of Debt,747000000.0,2043000000.0,743000000.0,1494000000.0,646000000.0
Issuance Of Capital Stock,0.0,,,0.0,0.0
Capital Expenditure,-36000000.0,-26000000.0,-25000000.0,-85000000.0,-30000000.0
Interest Paid Supplemental Data,978000000.0,811000000.0,933000000.0,1025000000.0,1179000000.0
Income Tax Paid Supplemental Data,164000000.0,80000000.0,70000000.0,-4000000.0,134000000.0
End Cash Position,1950000000.0,2128000000.0,2109000000.0,1909000000.0,2216000000.0
Beginning Cash Position,2128000000.0,2109000000.0,1909000000.0,2216000000.0,1778000000.0
Changes In Cash,-178000000.0,19000000.0,200000000.0,-307000000.0,438000000.0
Financing Cash Flow,-1180000000.0,28000000.0,1697000000.0,-4276000000.0,1852000000.0
Cash Flow From Continuing Financing Activities,-1180000000.0,28000000.0,1697000000.0,-4276000000.0,1852000000.0
Net Other Financing Charges,5000000.0,-29000000.0,-1000000.0,18000000.0,60000000.0
Cash Dividends Paid,-274000000.0,-243000000.0,-266000000.0,-255000000.0,-274000000.0
Preferred Stock Dividend Paid,-41000000.0,-30000000.0,-41000000.0,-31000000.0,-49000000.0
Common Stock Dividend Paid,-233000000.0,-213000000.0,-225000000.0,-224000000.0,-225000000.0
Net Preferred Stock Issuance,0.0,,,0.0,-350000000.0
Preferred Stock Payments,,,,0.0,
Preferred Stock Issuance,0.0,,,0.0,0.0
Net Common Stock Issuance,-404000000.0,-1069000000.0,-656000000.0,-198000000.0,-198000000.0
Common Stock Payments,-404000000.0,-1069000000.0,-656000000.0,-198000000.0,-198000000.0
Net Issuance Payments Of Debt,520000000.0,2326000000.0,-1694000000.0,-382000000.0,-2029000000.0
Net Short Term Debt Issuance,-12000000.0,498000000.0,513000000.0,-1545000000.0,-2159000000.0
Net Long Term Debt Issuance,532000000.0,1828000000.0,-2207000000.0,1163000000.0,130000000.0
Long Term Debt Payments,-215000000.0,-215000000.0,-2950000000.0,-331000000.0,-516000000.0
Long Term Debt Issuance,747000000.0,2043000000.0,743000000.0,1494000000.0,646000000.0
Investing Cash Flow,1000000.0,-853000000.0,-2132000000.0,2293000000.0,-1386000000.0
Cash Flow From Continuing Investing Activities,1000000.0,-853000000.0,-2132000000.0,2293000000.0,-1386000000.0
Net Other Investing Changes,-21000000.0,85000000.0,134000000.0,-689000000.0,535000000.0
Net Investment Purchase And Sale,-1182000000.0,-356000000.0,-882000000.0,-1975000000.0,-1817000000.0
Sale Of Investment,1969000000.0,1708000000.0,1827000000.0,1414000000.0,2243000000.0
Purchase Of Investment,-3151000000.0,-2064000000.0,-2709000000.0,-3389000000.0,-4060000000.0
Capital Expenditure Reported,-36000000.0,-26000000.0,-25000000.0,-85000000.0,-30000000.0
Operating Cash Flow,1001000000.0,844000000.0,635000000.0,1676000000.0,-28000000.0
Cash Flow From Continuing Operating Activities,1001000000.0,844000000.0,635000000.0,1676000000.0,-28000000.0
Change In Working Capital,12000000.0,-78000000.0,-201000000.0,734000000.0,-987000000.0
Change In Other Working Capital,-55000000.0,151000000.0,-360000000.0,318000000.0,-432000000.0
Asset Impairment Charge,10000000.0,3000000.0,3000000.0,33000000.0,1000000.0
Deferred Tax,-16000000.0,-16000000.0,-6000000.0,-14000000.0,1000000.0
Deferred Income Tax,-16000000.0,-16000000.0,-6000000.0,-14000000.0,1000000.0
Depreciation Amortization Depletion,122000000.0,124000000.0,130000000.0,129000000.0,122000000.0
Depreciation And Amortization,122000000.0,124000000.0,130000000.0,129000000.0,122000000.0
Amortization Cash Flow,43000000.0,43000000.0,47000000.0,48000000.0,46000000.0
Amortization Of Intangibles,43000000.0,43000000.0,47000000.0,48000000.0,46000000.0
Depreciation,79000000.0,81000000.0,83000000.0,81000000.0,76000000.0
Operating Gains Losses,-44000000.0,-30000000.0,-5000000.0,-27000000.0,-6000000.0
Net Income From Continuing Operations,792000000.0,716000000.0,584000000.0,681000000.0,721000000.0
