,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Free Cash Flow,226409000.0,103130000.0,137723000.0,75757000.0,142969000.0,
Repurchase Of Capital Stock,-71942000.0,-86154000.0,-60098000.0,766000.0,-26178000.0,
Repayment Of Debt,-90627000.0,-7534000.0,-25538000.0,-71640000.0,-42267000.0,
Issuance Of Debt,307000.0,22990000.0,1655000.0,778705000.0,660000.0,
Issuance Of Capital Stock,2616000.0,1802000.0,1001000.0,1925000.0,1923000.0,
Capital Expenditure,-11563000.0,-16040000.0,-21399000.0,-20624000.0,-21879000.0,
End Cash Position,147788000.0,130157000.0,130424000.0,115952000.0,165324000.0,
Beginning Cash Position,130157000.0,130424000.0,115952000.0,165324000.0,125446000.0,
Effect Of Exchange Rate Changes,1006000.0,6618000.0,-2792000.0,-1352000.0,-402000.0,
Changes In Cash,16625000.0,-6885000.0,17264000.0,-48020000.0,40280000.0,
Financing Cash Flow,-203717000.0,-113231000.0,-127582000.0,665107000.0,-104855000.0,
Cash Flow From Continuing Financing Activities,-203717000.0,-113231000.0,-127582000.0,665107000.0,-104855000.0,
Cash Dividends Paid,-44071000.0,-44335000.0,-44602000.0,-44649000.0,-38993000.0,
Common Stock Dividend Paid,-44071000.0,-44335000.0,-44602000.0,-44649000.0,-38993000.0,
Net Common Stock Issuance,-69326000.0,-84352000.0,-59097000.0,2691000.0,-24255000.0,
Common Stock Payments,-71942000.0,-86154000.0,-60098000.0,766000.0,-26178000.0,
Common Stock Issuance,2616000.0,1802000.0,1001000.0,1925000.0,1923000.0,
Net Issuance Payments Of Debt,-90320000.0,15456000.0,-23883000.0,707065000.0,-41607000.0,
Net Long Term Debt Issuance,-90320000.0,15456000.0,-23883000.0,707065000.0,-41607000.0,
Long Term Debt Payments,-90627000.0,-7534000.0,-25538000.0,-71640000.0,-42267000.0,
Long Term Debt Issuance,307000.0,22990000.0,1655000.0,778705000.0,660000.0,
Investing Cash Flow,-17630000.0,-12824000.0,-14276000.0,-809508000.0,-19713000.0,
Cash Flow From Continuing Investing Activities,-17630000.0,-12824000.0,-14276000.0,-809508000.0,-19713000.0,
Net Other Investing Changes,-6074000.0,3216000.0,6825000.0,1100000.0,2133000.0,
Net Business Purchase And Sale,,,,-789996000.0,0.0,0.0
Purchase Of Business,,,,-789996000.0,0.0,0.0
Net PPE Purchase And Sale,-11556000.0,-16040000.0,-21101000.0,-20612000.0,-21846000.0,
Sale Of PPE,7000.0,0.0,298000.0,12000.0,33000.0,
Purchase Of PPE,-11563000.0,-16040000.0,-21399000.0,-20624000.0,-21879000.0,
Operating Cash Flow,237972000.0,119170000.0,159122000.0,96381000.0,164848000.0,
Cash Flow From Continuing Operating Activities,237972000.0,119170000.0,159122000.0,96381000.0,164848000.0,
Change In Working Capital,56998000.0,-34672000.0,24279000.0,-52764000.0,8985000.0,
Other Non Cash Items,13054000.0,582000.0,584000.0,-302000.0,2307000.0,
Stock Based Compensation,3831000.0,4791000.0,4633000.0,4405000.0,4509000.0,
Deferred Tax,509000.0,-1589000.0,-2223000.0,-14727000.0,-1742000.0,
Deferred Income Tax,509000.0,-1589000.0,-2223000.0,-14727000.0,-1742000.0,
Depreciation Amortization Depletion,37846000.0,37577000.0,37031000.0,36529000.0,33382000.0,
Depreciation And Amortization,37846000.0,37577000.0,37031000.0,36529000.0,33382000.0,
Amortization Cash Flow,20092000.0,19696000.0,19311000.0,,,
Amortization Of Intangibles,20092000.0,19696000.0,19311000.0,,,
Depreciation,17754000.0,17881000.0,17720000.0,,,
Operating Gains Losses,-50000.0,77000.0,166000.0,453000.0,80000.0,
Gain Loss On Sale Of PPE,-50000.0,77000.0,166000.0,453000.0,80000.0,
Net Income From Continuing Operations,125784000.0,112404000.0,94652000.0,122168000.0,117327000.0,
