,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.261,0.254,0.248,0.233591,0.227,,
Total Unusual Items,,,,,,-81800000.0,-12500000.0
Total Unusual Items Excluding Goodwill,,,,,,-81800000.0,-12500000.0
Net Income From Continuing Operation Net Minority Interest,457600000.0,421300000.0,392000000.0,455400000.0,464900000.0,,
Reconciled Depreciation,195800000.0,195700000.0,190700000.0,182900000.0,183100000.0,,
Net Interest Income,590800000.0,610500000.0,568100000.0,563800000.0,562300000.0,,
Interest Expense,1553500000.0,1602300000.0,1572800000.0,1716200000.0,1967900000.0,,
Interest Income,2144300000.0,2212800000.0,2140900000.0,2280000000.0,2530200000.0,,
Normalized Income,457600000.0,421300000.0,392000000.0,455400000.0,464900000.0,,
Net Income From Continuing And Discontinued Operation,457600000.0,421300000.0,392000000.0,455400000.0,464900000.0,,
Diluted Average Shares,191001000.0,193375000.0,196125000.0,198114000.0,200549000.0,,
Basic Average Shares,190054000.0,192752000.0,195193000.0,197241000.0,199938000.0,,
Diluted EPS,2.29,2.13,1.9,2.26,2.22,,
Basic EPS,2.3,2.14,1.91,2.27,2.23,,
Diluted NI Availto Com Stockholders,437200000.0,412800000.0,372200000.0,447000000.0,445100000.0,,
Net Income Common Stockholders,437200000.0,412800000.0,372200000.0,447000000.0,445100000.0,,
Otherunder Preferred Stock Dividend,4200000.0,3800000.0,3600000.0,3700000.0,3600000.0,,
Preferred Stock Dividends,16200000.0,4700000.0,16200000.0,4700000.0,16200000.0,,
Net Income,457600000.0,421300000.0,392000000.0,455400000.0,464900000.0,,
Net Income Including Noncontrolling Interests,457600000.0,421300000.0,392000000.0,455400000.0,464900000.0,,
Net Income Continuous Operations,457600000.0,421300000.0,392000000.0,455400000.0,464900000.0,,
Tax Provision,161900000.0,143500000.0,129400000.0,138800000.0,136200000.0,,
Pretax Income,619500000.0,564800000.0,521400000.0,594200000.0,601100000.0,,
Special Income Charges,,,,,,-81800000.0,-12500000.0
Other Special Charges,,,,,,,12500000.0
Restructuring And Mergern Acquisition,,,,,,81800000.0,
Gain On Sale Of Security,0.0,0.0,0.0,0.0,0.0,,
Selling General And Administration,773700000.0,771200000.0,783100000.0,664400000.0,731400000.0,,
Selling And Marketing Expense,17100000.0,22200000.0,16900000.0,24700000.0,19100000.0,,
General And Administrative Expense,756600000.0,749000000.0,766200000.0,639700000.0,712300000.0,,
Insurance And Claims,2200000.0,9500000.0,7900000.0,7400000.0,7100000.0,,
Salaries And Wages,754400000.0,739500000.0,758300000.0,632300000.0,705200000.0,,
Total Revenue,2025400000.0,1997900000.0,1939900000.0,1959600000.0,1968500000.0,,
Operating Revenue,2025400000.0,1997900000.0,1939900000.0,1959600000.0,1968500000.0,,
Occupancy And Equipment,349200000.0,346200000.0,334300000.0,328500000.0,324200000.0,,
Other Non Interest Expense,300000000.0,299200000.0,300200000.0,301200000.0,303800000.0,,
