,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,9240000.0,-2960000.0,-7250000.0,-357497041.420118,-41720000.0,,
Tax Rate For Calcs,0.28,0.37,0.29,0.289941,0.28,,
Normalized EBITDA,3464000000.0,2958000000.0,3592000000.0,3368000000.0,3981000000.0,,
Total Unusual Items,33000000.0,-8000000.0,-25000000.0,-1233000000.0,-149000000.0,,
Total Unusual Items Excluding Goodwill,33000000.0,-8000000.0,-25000000.0,-1233000000.0,-149000000.0,,
Net Income From Continuing Operation Net Minority Interest,830000000.0,458000000.0,936000000.0,-127000000.0,1133000000.0,,
Reconciled Depreciation,2061000000.0,1936000000.0,1917000000.0,1977000000.0,1926000000.0,,
Reconciled Cost Of Revenue,4463000000.0,4327000000.0,4348000000.0,4442000000.0,4429000000.0,,
EBITDA,3497000000.0,2950000000.0,3567000000.0,2135000000.0,3832000000.0,,
EBIT,1436000000.0,1014000000.0,1650000000.0,158000000.0,1906000000.0,,
Net Interest Income,-211000000.0,-232000000.0,-259000000.0,-286000000.0,-252000000.0,,
Interest Expense,270000000.0,276000000.0,318000000.0,327000000.0,312000000.0,,
Interest Income,59000000.0,44000000.0,59000000.0,41000000.0,60000000.0,,
Normalized Income,806240000.0,463040000.0,953750000.0,748502958.579882,1240280000.0,,
Net Income From Continuing And Discontinued Operation,830000000.0,458000000.0,936000000.0,-127000000.0,1133000000.0,,
Total Expenses,5450000000.0,5460000000.0,5326000000.0,5563000000.0,5344000000.0,,
Diluted Average Shares,1003100000.0,1010400000.0,982900000.0,940800000.0,975700000.0,,
Basic Average Shares,986400000.0,985100000.0,941300000.0,940800000.0,927500000.0,,
Diluted EPS,0.65,0.26,0.77,-0.32,0.98,,
Basic EPS,0.67,0.27,0.81,-0.32,1.03,,
Diluted NI Availto Com Stockholders,657000000.0,261000000.0,761000000.0,-296000000.0,960000000.0,,
Average Dilution Earnings,0.0,,,,1000000.0,,
Net Income Common Stockholders,657000000.0,261000000.0,761000000.0,-295000000.0,959000000.0,,
Otherunder Preferred Stock Dividend,4000000.0,27000000.0,5000000.0,-2000000.0,5000000.0,,
Preferred Stock Dividends,169000000.0,170000000.0,170000000.0,170000000.0,169000000.0,,
Net Income,830000000.0,458000000.0,936000000.0,-127000000.0,1133000000.0,,
Minority Interests,-12000000.0,-10000000.0,-9000000.0,-7000000.0,-7000000.0,,
Net Income Including Noncontrolling Interests,842000000.0,468000000.0,945000000.0,-120000000.0,1140000000.0,,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0,,
Net Income Continuous Operations,842000000.0,468000000.0,945000000.0,-120000000.0,1140000000.0,,
Tax Provision,324000000.0,270000000.0,387000000.0,-49000000.0,454000000.0,,
Pretax Income,1166000000.0,738000000.0,1332000000.0,-169000000.0,1594000000.0,,
Other Income Expense,203000000.0,16000000.0,114000000.0,-1080000000.0,17000000.0,,
Other Non Operating Income Expenses,,,,,-334000000.0,-344000000.0,-410000000.0
Special Income Charges,33000000.0,-8000000.0,-25000000.0,-1233000000.0,-149000000.0,,
Gain On Sale Of Ppe,34000000.0,-2000000.0,-19000000.0,36000000.0,-79000000.0,,
Write Off,0.0,,,1260000000.0,21000000.0,0.0,
Restructuring And Mergern Acquisition,1000000.0,6000000.0,6000000.0,9000000.0,49000000.0,,
Earnings From Equity Interest,170000000.0,24000000.0,139000000.0,153000000.0,166000000.0,,
Net Non Operating Interest Income Expense,-211000000.0,-232000000.0,-259000000.0,-286000000.0,-252000000.0,,
Interest Expense Non Operating,270000000.0,276000000.0,318000000.0,327000000.0,312000000.0,,
Interest Income Non Operating,59000000.0,44000000.0,59000000.0,41000000.0,60000000.0,,
Operating Income,1174000000.0,954000000.0,1477000000.0,1197000000.0,1829000000.0,,
Operating Expense,987000000.0,1133000000.0,978000000.0,1121000000.0,915000000.0,,
Other Operating Expenses,462000000.0,580000000.0,447000000.0,562000000.0,391000000.0,,
Other Taxes,248000000.0,269000000.0,264000000.0,283000000.0,256000000.0,,
Selling General And Administration,277000000.0,284000000.0,267000000.0,276000000.0,268000000.0,,
Gross Profit,2161000000.0,2087000000.0,2455000000.0,2318000000.0,2744000000.0,,
Cost Of Revenue,4463000000.0,4327000000.0,4348000000.0,4442000000.0,4429000000.0,,
Total Revenue,6624000000.0,6414000000.0,6803000000.0,6760000000.0,7173000000.0,,
Operating Revenue,6682000000.0,6318000000.0,6911000000.0,6860000000.0,7020000000.0,,
