,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Free Cash Flow,662500000.0,283300000.0,667300000.0,248000000.0,510500000.0,,
Repurchase Of Capital Stock,-160100000.0,0.0,0.0,-500000.0,-104000000.0,,
Capital Expenditure,-55900000.0,-60500000.0,-48700000.0,-47000000.0,-35600000.0,,
End Cash Position,1634600000.0,2734300000.0,2393300000.0,1659000000.0,1848100000.0,,
Beginning Cash Position,2734300000.0,2393300000.0,1659000000.0,1848100000.0,1897000000.0,,
Changes In Cash,-1099700000.0,341000000.0,734300000.0,-189100000.0,-48900000.0,,
Financing Cash Flow,-515400000.0,3072300000.0,-2700000.0,-291400000.0,-485000000.0,,
Cash Flow From Continuing Financing Activities,-515400000.0,3072300000.0,-2700000.0,-291400000.0,-485000000.0,,
Net Other Financing Charges,81400000.0,-710200000.0,345400000.0,51400000.0,-25100000.0,,
Proceeds From Stock Option Exercised,-47600000.0,-9100000.0,4900000.0,10500000.0,-2500000.0,,
Cash Dividends Paid,-389100000.0,-389300000.0,-353000000.0,-352800000.0,-353400000.0,,
Common Stock Dividend Paid,-389100000.0,-389300000.0,-353000000.0,-352800000.0,-353400000.0,,
Net Common Stock Issuance,-160100000.0,0.0,0.0,-500000.0,-104000000.0,,
Common Stock Payments,-160100000.0,0.0,0.0,-500000.0,-104000000.0,,
Net Issuance Payments Of Debt,,4180900000.0,0.0,0.0,0.0,0.0,
Net Short Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0,
Investing Cash Flow,-1302700000.0,-3075100000.0,21000000.0,-192700000.0,-110000000.0,,
Cash Flow From Continuing Investing Activities,-1302700000.0,-3075100000.0,21000000.0,-192700000.0,-110000000.0,,
Net Other Investing Changes,-15000000.0,-9500000.0,37600000.0,-202600000.0,-12600000.0,,
Net Investment Purchase And Sale,-1231600000.0,-37600000.0,32100000.0,56900000.0,-61800000.0,,
Sale Of Investment,2547300000.0,5792100000.0,3336800000.0,4150600000.0,1013000000.0,,
Purchase Of Investment,-3778900000.0,-5829700000.0,-3304700000.0,-4093700000.0,-1074800000.0,,
Net Business Purchase And Sale,-200000.0,-2967500000.0,0.0,0.0,0.0,,
Purchase Of Business,-200000.0,-2967500000.0,0.0,0.0,0.0,,
Net PPE Purchase And Sale,-55900000.0,-60500000.0,-48700000.0,-47000000.0,-35600000.0,,
Sale Of PPE,,,,,,0.0,0.0
Purchase Of PPE,-55900000.0,-60500000.0,-48700000.0,-47000000.0,-35600000.0,,
Operating Cash Flow,718400000.0,343800000.0,716000000.0,295000000.0,546100000.0,,
Cash Flow From Continuing Operating Activities,718400000.0,343800000.0,716000000.0,295000000.0,546100000.0,,
Change In Working Capital,66500000.0,-189200000.0,86200000.0,-238900000.0,11000000.0,,
Change In Other Working Capital,-62900000.0,-74100000.0,-55900000.0,-51800000.0,-44900000.0,,
Change In Payables And Accrued Expense,124900000.0,-65500000.0,101100000.0,-58900000.0,65600000.0,,
Change In Payable,124900000.0,-65500000.0,101100000.0,-58900000.0,65600000.0,,
Change In Account Payable,124900000.0,-65500000.0,101100000.0,-58900000.0,65600000.0,,
Change In Prepaid Assets,29500000.0,-14300000.0,71200000.0,-95200000.0,26300000.0,,
Change In Receivables,-25000000.0,-35300000.0,-30200000.0,-33000000.0,-36000000.0,,
Changes In Account Receivables,-18900000.0,-30800000.0,-31300000.0,-32200000.0,-36400000.0,,
Other Non Cash Items,60400000.0,59900000.0,40100000.0,58800000.0,58500000.0,,
Stock Based Compensation,26800000.0,61300000.0,17600000.0,16400000.0,16500000.0,,
Provisionand Write Offof Assets,7700000.0,6600000.0,5200000.0,4900000.0,7500000.0,,
Amortization Of Securities,-2100000.0,18300000.0,10700000.0,-2800000.0,-2800000.0,,
Deferred Tax,66000000.0,300000.0,-6600000.0,1500000.0,-11000000.0,,
Deferred Income Tax,66000000.0,300000.0,-6600000.0,1500000.0,-11000000.0,,
Depreciation Amortization Depletion,109300000.0,85700000.0,43100000.0,41700000.0,39000000.0,,
Depreciation And Amortization,109300000.0,85700000.0,43100000.0,41700000.0,39000000.0,,
Amortization Cash Flow,74800000.0,53700000.0,,,11800000.0,12800000.0,
Amortization Of Intangibles,74800000.0,53700000.0,,,11800000.0,12800000.0,
Depreciation,34500000.0,32000000.0,,,27200000.0,32800000.0,
Operating Gains Losses,,3700000.0,,,,,
Gain Loss On Investment Securities,,0.0,,,,,
Net Income From Continuing Operations,383800000.0,297200000.0,519300000.0,413400000.0,427400000.0,,
