,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-80000000.0,-2115000000.0,320000000.0,-896000000.0,526000000.0,,
Repayment Of Debt,-2904000000.0,-1466000000.0,-24000000.0,-2395000000.0,-5838000000.0,,
Issuance Of Debt,3065000000.0,1753000000.0,1735000000.0,838000000.0,5531000000.0,,
Issuance Of Capital Stock,,,450000000.0,,,,440000000.0
Capital Expenditure,-2931000000.0,-3065000000.0,-2635000000.0,-2828000000.0,-2605000000.0,,
Interest Paid Supplemental Data,797000000.0,683000000.0,599000000.0,510000000.0,712000000.0,,
Income Tax Paid Supplemental Data,,,0.0,,,,0.0
End Cash Position,404000000.0,494000000.0,1860000000.0,940000000.0,895000000.0,,
Other Cash Adjustment Outside Changein Cash,-147000000.0,162000000.0,-383000000.0,62000000.0,-98000000.0,,
Beginning Cash Position,494000000.0,1860000000.0,977000000.0,895000000.0,1315000000.0,,
Changes In Cash,57000000.0,-1764000000.0,1266000000.0,-17000000.0,-322000000.0,,
Financing Cash Flow,188000000.0,290000000.0,1575000000.0,1207000000.0,-459000000.0,,
Cash Flow From Continuing Financing Activities,188000000.0,290000000.0,1575000000.0,1207000000.0,-459000000.0,,
Net Other Financing Charges,107000000.0,33000000.0,-8000000.0,79000000.0,-131000000.0,,
Cash Dividends Paid,-80000000.0,420000000.0,-578000000.0,-22000000.0,-21000000.0,,
Preferred Stock Dividend Paid,-24000000.0,-45000000.0,-3000000.0,,,3000000.0,-3000000.0
Common Stock Dividend Paid,-56000000.0,465000000.0,-575000000.0,-22000000.0,-21000000.0,,
Net Common Stock Issuance,,,450000000.0,,,,440000000.0
Common Stock Issuance,,,450000000.0,,,,440000000.0
Net Issuance Payments Of Debt,161000000.0,287000000.0,1711000000.0,-1557000000.0,-307000000.0,,
Net Short Term Debt Issuance,,,0.0,1499000000.0,,,-1154000000.0
Short Term Debt Payments,,,0.0,8042000000.0,,,-3612000000.0
Short Term Debt Issuance,,,0.0,-6543000000.0,,,2458000000.0
Net Long Term Debt Issuance,-1589000000.0,287000000.0,1711000000.0,-3056000000.0,193000000.0,,
Long Term Debt Payments,-1574000000.0,-1466000000.0,-24000000.0,-10437000000.0,2204000000.0,,
Long Term Debt Issuance,-15000000.0,1753000000.0,1735000000.0,7381000000.0,-2011000000.0,,
Investing Cash Flow,-2982000000.0,-3004000000.0,-3264000000.0,-3156000000.0,-2994000000.0,,
Cash Flow From Continuing Investing Activities,-2982000000.0,-3004000000.0,-3264000000.0,-3156000000.0,-2994000000.0,,
Net Other Investing Changes,5000000.0,5000000.0,5000000.0,20000000.0,5000000.0,,
Net Investment Purchase And Sale,-56000000.0,56000000.0,-634000000.0,-348000000.0,-394000000.0,,
Sale Of Investment,1183000000.0,751000000.0,410000000.0,677000000.0,483000000.0,,
Purchase Of Investment,-1239000000.0,-695000000.0,-1044000000.0,-1025000000.0,-877000000.0,,
Capital Expenditure Reported,-2931000000.0,-3065000000.0,-2635000000.0,-2828000000.0,-2605000000.0,,
Operating Cash Flow,2851000000.0,950000000.0,2955000000.0,1932000000.0,3131000000.0,,
Cash Flow From Continuing Operating Activities,2851000000.0,950000000.0,2955000000.0,1932000000.0,3131000000.0,,
Change In Working Capital,587000000.0,-1097000000.0,877000000.0,354000000.0,706000000.0,,
Change In Other Working Capital,887000000.0,-545000000.0,927000000.0,997000000.0,456000000.0,,
Change In Other Current Liabilities,-295000000.0,37000000.0,-166000000.0,-77000000.0,54000000.0,,
Change In Payables And Accrued Expense,-163000000.0,96000000.0,92000000.0,-511000000.0,122000000.0,,
Change In Payable,-163000000.0,96000000.0,92000000.0,-511000000.0,122000000.0,,
Change In Account Payable,-163000000.0,96000000.0,92000000.0,-511000000.0,122000000.0,,
Change In Inventory,23000000.0,3000000.0,31000000.0,14000000.0,-16000000.0,,
Change In Receivables,135000000.0,-688000000.0,-7000000.0,-69000000.0,90000000.0,,
Changes In Account Receivables,108000000.0,-560000000.0,-2000000.0,-109000000.0,8000000.0,,
Other Non Cash Items,-36000000.0,53000000.0,6000000.0,-662000000.0,479000000.0,,
Asset Impairment Charge,90000000.0,141000000.0,100000000.0,97000000.0,109000000.0,,
Deferred Tax,228000000.0,292000000.0,180000000.0,414000000.0,199000000.0,,
Deferred Income Tax,228000000.0,292000000.0,180000000.0,414000000.0,199000000.0,,
Depreciation Amortization Depletion,1132000000.0,1073000000.0,1097000000.0,1055000000.0,1059000000.0,,
Depreciation And Amortization,1132000000.0,1073000000.0,1097000000.0,1055000000.0,1059000000.0,,
Depreciation,1132000000.0,1073000000.0,1097000000.0,1055000000.0,1059000000.0,,
Net Income From Continuing Operations,850000000.0,488000000.0,695000000.0,674000000.0,579000000.0,,
