,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-702722.658053,-3655700.0,0.0,-1132321.041215,-3753900.0,
Tax Rate For Calcs,0.149515,0.139,0.153,0.097614,0.129,
Normalized EBITDA,265000000.0,245600000.0,231600000.0,240100000.0,237500000.0,
Total Unusual Items,-4700000.0,-26300000.0,,-11600000.0,-29100000.0,0.0
Total Unusual Items Excluding Goodwill,-4700000.0,-26300000.0,,-11600000.0,-29100000.0,0.0
Net Income From Continuing Operation Net Minority Interest,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Reconciled Depreciation,29200000.0,28900000.0,29000000.0,28900000.0,28400000.0,
Reconciled Cost Of Revenue,603400000.0,666500000.0,607100000.0,595300000.0,600200000.0,
EBITDA,260300000.0,219300000.0,231600000.0,228500000.0,208400000.0,
EBIT,231100000.0,190400000.0,202600000.0,199600000.0,180000000.0,
Net Interest Income,-14400000.0,-17900000.0,-19700000.0,-15200000.0,-19800000.0,
Interest Expense,14400000.0,17900000.0,19700000.0,15200000.0,19800000.0,
Normalized Income,188297277.341947,171144300.0,154900000.0,176867678.958785,164946100.0,
Net Income From Continuing And Discontinued Operation,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Total Expenses,785600000.0,905400000.0,807300000.0,766200000.0,784400000.0,
Total Operating Income As Reported,231700000.0,217700000.0,203100000.0,195100000.0,179900000.0,
Diluted Average Shares,165100000.0,165700000.0,166300000.0,166800000.0,167000000.0,
Basic Average Shares,163800000.0,164500000.0,164900000.0,165200000.0,165600000.0,
Diluted EPS,1.12,0.9,0.93,0.99,0.84,
Basic EPS,1.13,0.9,0.94,1.01,0.84,
Diluted NI Availto Com Stockholders,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Net Income Common Stockholders,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Net Income,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Net Income Including Noncontrolling Interests,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,184300000.0,148500000.0,154900000.0,166400000.0,139600000.0,
Tax Provision,32400000.0,24000000.0,28000000.0,18000000.0,20600000.0,
Pretax Income,216700000.0,172500000.0,182900000.0,184400000.0,160200000.0,
Other Income Expense,-5300000.0,-27300000.0,-500000.0,-7100000.0,-29000000.0,
Other Non Operating Income Expenses,-600000.0,-1000000.0,-500000.0,4500000.0,100000.0,
Special Income Charges,-4700000.0,-26300000.0,,-11600000.0,-29100000.0,0.0
Gain On Sale Of Business,0.0,-26300000.0,,,,0.0
Write Off,400000.0,,,500000.0,5700000.0,
Restructuring And Mergern Acquisition,4300000.0,,,11100000.0,23400000.0,
Net Non Operating Interest Income Expense,-14400000.0,-17900000.0,-19700000.0,-15200000.0,-19800000.0,
Interest Expense Non Operating,14400000.0,17900000.0,19700000.0,15200000.0,19800000.0,
Operating Income,236400000.0,217700000.0,203100000.0,206700000.0,209000000.0,
Operating Expense,182200000.0,238900000.0,200200000.0,170900000.0,184200000.0,
Research And Development,24700000.0,25100000.0,23600000.0,21800000.0,22900000.0,
Selling General And Administration,157500000.0,213800000.0,176600000.0,149100000.0,161300000.0,
General And Administrative Expense,157500000.0,,,149100000.0,161300000.0,
Other Gand A,157500000.0,,,149100000.0,161300000.0,
Gross Profit,418600000.0,456600000.0,403300000.0,377600000.0,393200000.0,
Cost Of Revenue,603400000.0,666500000.0,607100000.0,595300000.0,600200000.0,
Total Revenue,1022000000.0,1123100000.0,1010400000.0,972900000.0,993400000.0,
Operating Revenue,1022000000.0,1123100000.0,1010400000.0,972900000.0,993400000.0,
