,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-152442211.055276,-16720000.0,202730000.0,19110000.0,-2983050.847458,,
Tax Rate For Calcs,0.160804,0.19,0.19,0.21,0.106538,,
Normalized EBITDA,2244000000.0,2298000000.0,605000000.0,948000000.0,1221000000.0,,
Total Unusual Items,-948000000.0,-88000000.0,1067000000.0,91000000.0,-28000000.0,,
Total Unusual Items Excluding Goodwill,-948000000.0,-88000000.0,1067000000.0,91000000.0,-28000000.0,,
Net Income From Continuing Operation Net Minority Interest,133000000.0,877000000.0,487000000.0,8000000.0,346000000.0,,
Reconciled Depreciation,826000000.0,816000000.0,791000000.0,819000000.0,543000000.0,,
Reconciled Cost Of Revenue,31045000000.0,29893000000.0,28451000000.0,31573000000.0,32737000000.0,,
EBITDA,1296000000.0,2210000000.0,1672000000.0,1039000000.0,1193000000.0,,
EBIT,470000000.0,1394000000.0,881000000.0,220000000.0,650000000.0,,
Net Interest Income,-271000000.0,-274000000.0,-233000000.0,-75000000.0,-237000000.0,,
Interest Expense,271000000.0,274000000.0,233000000.0,233000000.0,237000000.0,,
Normalized Income,928557788.944724,948280000.0,-377270000.0,-63890000.0,371016949.152542,,
Net Income From Continuing And Discontinued Operation,133000000.0,877000000.0,487000000.0,8000000.0,346000000.0,,
Total Expenses,33550000000.0,32133000000.0,30825000000.0,33727000000.0,35483000000.0,,
Diluted Average Shares,405549000.0,407929000.0,410505000.0,412962000.0,418803000.0,,
Basic Average Shares,404508000.0,406763000.0,409182000.0,411687000.0,417305000.0,,
Diluted EPS,0.32,2.15,1.18,0.01,0.82,,
Basic EPS,0.32,2.15,1.19,0.01,0.82,,
Diluted NI Availto Com Stockholders,133000000.0,876000000.0,485000000.0,-2000000.0,346000000.0,,
Average Dilution Earnings,2000000.0,1000000.0,,,3000000.0,2000000.0,1000000.0
Net Income Common Stockholders,131000000.0,875000000.0,485000000.0,6000000.0,343000000.0,,
Otherunder Preferred Stock Dividend,2000000.0,2000000.0,2000000.0,2000000.0,3000000.0,,
Net Income,133000000.0,877000000.0,487000000.0,8000000.0,346000000.0,,
Minority Interests,-34000000.0,-31000000.0,-39000000.0,-17000000.0,-23000000.0,,
Net Income Including Noncontrolling Interests,167000000.0,908000000.0,526000000.0,25000000.0,369000000.0,,
Net Income Continuous Operations,167000000.0,908000000.0,526000000.0,25000000.0,369000000.0,,
Tax Provision,32000000.0,212000000.0,122000000.0,-38000000.0,44000000.0,,
Pretax Income,199000000.0,1120000000.0,648000000.0,-13000000.0,413000000.0,,
Other Income Expense,-495000000.0,204000000.0,1276000000.0,104000000.0,605000000.0,,
Other Non Operating Income Expenses,116000000.0,139000000.0,56000000.0,-202000000.0,84000000.0,,
Special Income Charges,-940000000.0,-97000000.0,1061000000.0,45000000.0,-27000000.0,,
Gain On Sale Of Ppe,11000000.0,-93000000.0,1087000000.0,82000000.0,2000000.0,,
Write Off,951000000.0,4000000.0,26000000.0,37000000.0,29000000.0,,
Impairment Of Capital Assets,,,,,,,165000000.0
Earnings From Equity Interest,337000000.0,153000000.0,153000000.0,215000000.0,549000000.0,,
Gain On Sale Of Security,-8000000.0,9000000.0,6000000.0,46000000.0,-1000000.0,,
Net Non Operating Interest Income Expense,-271000000.0,-274000000.0,-233000000.0,-75000000.0,-237000000.0,,
Interest Expense Non Operating,271000000.0,274000000.0,233000000.0,233000000.0,237000000.0,,
Operating Income,965000000.0,1190000000.0,-395000000.0,-42000000.0,45000000.0,,
Operating Expense,2505000000.0,2240000000.0,2374000000.0,2154000000.0,2746000000.0,,
Other Operating Expenses,1492000000.0,1440000000.0,1622000000.0,1581000000.0,1499000000.0,,
Other Taxes,221000000.0,218000000.0,233000000.0,62000000.0,53000000.0,,
Selling General And Administration,792000000.0,582000000.0,519000000.0,511000000.0,1194000000.0,,
Gross Profit,3470000000.0,3430000000.0,1979000000.0,2112000000.0,2791000000.0,,
Cost Of Revenue,31045000000.0,29893000000.0,28451000000.0,31573000000.0,32737000000.0,,
Total Revenue,34515000000.0,33323000000.0,30430000000.0,33685000000.0,35528000000.0,,
Operating Revenue,34515000000.0,33323000000.0,30430000000.0,33685000000.0,35528000000.0,,
