,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,242041000.0,278501000.0,235662000.0,89587000.0,212160000.0,
Repurchase Of Capital Stock,-74987000.0,-75000000.0,-75000000.0,,0.0,0.0
Repayment Of Debt,-156583000.0,-965000000.0,-255125000.0,-203207000.0,-400125000.0,
Issuance Of Debt,0.0,810000000.0,50000000.0,140000000.0,205000000.0,
Issuance Of Capital Stock,0.0,,,12965000.0,0.0,
Capital Expenditure,-1887000.0,-2808000.0,-2767000.0,-8527000.0,-1639000.0,
End Cash Position,199894000.0,235742000.0,196911000.0,266466000.0,248322000.0,
Beginning Cash Position,235742000.0,196911000.0,266466000.0,248322000.0,249474000.0,
Effect Of Exchange Rate Changes,5923000.0,3153000.0,-9201000.0,5226000.0,-2832000.0,
Changes In Cash,-41771000.0,35678000.0,-60354000.0,12918000.0,1680000.0,
Financing Cash Flow,-250460000.0,-226775000.0,-324324000.0,-59854000.0,-216530000.0,
Cash Flow From Continuing Financing Activities,-250460000.0,-226775000.0,-324324000.0,-59854000.0,-216530000.0,
Net Other Financing Charges,-18890000.0,-10082000.0,-44199000.0,-9612000.0,-21405000.0,
Net Common Stock Issuance,-74987000.0,-61693000.0,-75000000.0,12965000.0,0.0,
Common Stock Payments,-74987000.0,-75000000.0,-75000000.0,,0.0,0.0
Common Stock Issuance,0.0,,,12965000.0,0.0,
Net Issuance Payments Of Debt,-156583000.0,-155000000.0,-205125000.0,-63207000.0,-195125000.0,
Net Short Term Debt Issuance,,,-205125000.0,,,
Short Term Debt Payments,,,-255125000.0,,,
Short Term Debt Issuance,,,50000000.0,,,
Net Long Term Debt Issuance,-156583000.0,,,-63207000.0,-195125000.0,304174000.0
Long Term Debt Payments,-156583000.0,,,-203207000.0,-400125000.0,-435671000.0
Long Term Debt Issuance,0.0,,,140000000.0,205000000.0,
Investing Cash Flow,-35239000.0,-18856000.0,25541000.0,-25342000.0,4411000.0,
Cash Flow From Continuing Investing Activities,-35239000.0,-18856000.0,25541000.0,-25342000.0,4411000.0,
Net Investment Purchase And Sale,-26820000.0,-16048000.0,28308000.0,-16904000.0,6050000.0,
Sale Of Investment,,,,-3826000.0,,
Purchase Of Investment,,,,-13078000.0,2224000.0,
Net Business Purchase And Sale,-6532000.0,0.0,0.0,0.0,0.0,
Sale Of Business,,,,0.0,,
Purchase Of Business,-6532000.0,0.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-1887000.0,-2808000.0,-2767000.0,-4537000.0,-1639000.0,
Purchase Of PPE,-1887000.0,-2808000.0,-2767000.0,-4537000.0,-1639000.0,
Operating Cash Flow,243928000.0,281309000.0,238429000.0,98114000.0,213799000.0,
Cash Flow From Continuing Operating Activities,243928000.0,281309000.0,238429000.0,98114000.0,213799000.0,
Change In Working Capital,16478000.0,30574000.0,67594000.0,-87252000.0,62917000.0,
Change In Other Working Capital,-70970000.0,24790000.0,-14423000.0,25313000.0,10532000.0,
Change In Other Current Liabilities,-2273000.0,1254000.0,-3850000.0,193000.0,-3145000.0,
Change In Other Current Assets,13260000.0,11031000.0,-18766000.0,-6175000.0,11783000.0,
Change In Payables And Accrued Expense,30876000.0,-3120000.0,-26720000.0,59468000.0,19832000.0,
Change In Payable,30876000.0,-3120000.0,-26720000.0,51064000.0,19832000.0,
Change In Account Payable,14032000.0,-22213000.0,-13192000.0,-15737000.0,39714000.0,
Change In Tax Payable,16844000.0,19093000.0,-13528000.0,66801000.0,-19882000.0,
Change In Income Tax Payable,16844000.0,19093000.0,-13528000.0,66801000.0,-19882000.0,
Change In Receivables,45585000.0,-3381000.0,131353000.0,-166051000.0,23915000.0,
Changes In Account Receivables,45585000.0,-3381000.0,131353000.0,-166051000.0,23915000.0,
Other Non Cash Items,-1744000.0,2902000.0,-999000.0,-1328000.0,-946000.0,
Stock Based Compensation,54032000.0,51512000.0,55851000.0,62219000.0,48038000.0,
Depreciation Amortization Depletion,33834000.0,33677000.0,33751000.0,36992000.0,34812000.0,
Depreciation And Amortization,33834000.0,33677000.0,33751000.0,36992000.0,34812000.0,
Depreciation,33834000.0,33677000.0,33751000.0,36992000.0,34812000.0,
Net Income From Continuing Operations,141328000.0,162644000.0,82232000.0,126523000.0,68978000.0,
