,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,201300000.0,326400000.0,189896000.0,243607000.0,148893000.0,,
Repurchase Of Capital Stock,-100500000.0,-10600000.0,-263000.0,-100433000.0,-46425000.0,,
Repayment Of Debt,-4300000.0,-155500000.0,-127312000.0,-54072000.0,-91745000.0,,
Issuance Of Debt,,,,,,,-265501000.0
Capital Expenditure,-86500000.0,-93600000.0,-70885000.0,-89231000.0,-101875000.0,,
End Cash Position,319200000.0,279700000.0,171701000.0,155178000.0,172195000.0,,
Beginning Cash Position,279700000.0,171700000.0,155178000.0,172195000.0,198300000.0,,
Effect Of Exchange Rate Changes,-900000.0,9600000.0,3613000.0,-11554000.0,9426000.0,,
Changes In Cash,40400000.0,98400000.0,12910000.0,-5463000.0,-35551000.0,,
Financing Cash Flow,-159200000.0,-213100000.0,-178071000.0,-214397000.0,-180996000.0,,
Cash Flow From Continuing Financing Activities,-159200000.0,-213100000.0,-178071000.0,-214397000.0,-180996000.0,,
Net Other Financing Charges,-100000.0,-100000.0,-579000.0,-3984000.0,-45000.0,,
Proceeds From Stock Option Exercised,7600000.0,9300000.0,6089000.0,288000.0,13492000.0,,
Cash Dividends Paid,-61900000.0,-56200000.0,-56006000.0,-56196000.0,-56273000.0,,
Common Stock Dividend Paid,-61900000.0,-56200000.0,-56006000.0,-56196000.0,-56273000.0,,
Net Common Stock Issuance,-100500000.0,-10600000.0,-263000.0,-100433000.0,-46425000.0,,
Common Stock Payments,-100500000.0,-10600000.0,-263000.0,-100433000.0,-46425000.0,,
Net Issuance Payments Of Debt,-4300000.0,-155500000.0,-127312000.0,-54072000.0,-91745000.0,,
Net Short Term Debt Issuance,,,,,,-253200000.0,
Short Term Debt Payments,,,,,,-253200000.0,
Net Long Term Debt Issuance,-4300000.0,-155500000.0,-127312000.0,-54072000.0,-91745000.0,,
Long Term Debt Payments,-4300000.0,-155500000.0,-127312000.0,-54072000.0,-91745000.0,,
Long Term Debt Issuance,,,,,,,-265501000.0
Investing Cash Flow,-88300000.0,-108500000.0,-69800000.0,-123904000.0,-105323000.0,,
Cash Flow From Continuing Investing Activities,-88400000.0,-108500000.0,-69800000.0,-123904000.0,-105323000.0,,
Net Business Purchase And Sale,0.0,-15000000.0,2644000.0,-34677000.0,-3448000.0,,
Sale Of Business,0.0,0.0,3124000.0,1515000.0,319000.0,,
Purchase Of Business,0.0,-15000000.0,-480000.0,-36192000.0,-3767000.0,,
Net PPE Purchase And Sale,-86600000.0,-93500000.0,-61694000.0,-89227000.0,-101875000.0,,
Sale Of PPE,,100000.0,9191000.0,4000.0,0.0,0.0,
Purchase Of PPE,-86500000.0,-93600000.0,-70885000.0,-89231000.0,-101875000.0,,
Operating Cash Flow,287800000.0,420000000.0,260781000.0,332838000.0,250768000.0,,
Cash Flow From Continuing Operating Activities,287700000.0,420000000.0,260781000.0,332838000.0,250768000.0,,
Change In Working Capital,-46600000.0,96200000.0,18266000.0,27460000.0,-46613000.0,,
Change In Other Current Assets,6600000.0,18900000.0,-31919000.0,-26918000.0,-835000.0,,
Change In Payables And Accrued Expense,-29700000.0,600000.0,84496000.0,39639000.0,-36007000.0,,
Change In Accrued Expense,-42900000.0,-9200000.0,43403000.0,30882000.0,-36846000.0,,
Change In Payable,13200000.0,9800000.0,41093000.0,8757000.0,839000.0,,
Change In Account Payable,13200000.0,9800000.0,41093000.0,8757000.0,839000.0,,
Change In Inventory,-18200000.0,-42500000.0,73799000.0,17950000.0,15423000.0,,
Change In Receivables,-5300000.0,119200000.0,-108110000.0,-3211000.0,-25194000.0,,
Changes In Account Receivables,-5300000.0,119200000.0,-108110000.0,-3211000.0,-25194000.0,,
Other Non Cash Items,-1200000.0,14500000.0,3411000.0,-7742000.0,3086000.0,,
Stock Based Compensation,21200000.0,11900000.0,9791000.0,15334000.0,20772000.0,,
Asset Impairment Charge,,,,,,,0.0
Deferred Tax,-100000.0,0.0,-52759000.0,-1702000.0,15000.0,,
Deferred Income Tax,-100000.0,0.0,-52759000.0,-1702000.0,15000.0,,
Depreciation Amortization Depletion,121700000.0,119400000.0,122349000.0,125913000.0,115253000.0,,
Operating Gains Losses,,,13648000.0,290000.0,7041000.0,-8800000.0,26295000.0
Gain Loss On Sale Of PPE,100000.0,0.0,2731000.0,305000.0,499000.0,,
Gain Loss On Sale Of Business,300000.0,0.0,10917000.0,-15000.0,6542000.0,,
Net Income From Continuing Operations,192400000.0,178000000.0,146075000.0,173285000.0,151214000.0,,
