,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,1353000000.0,928000000.0,127000000.0,1665000000.0,1304000000.0,,
Repayment Of Debt,0.0,,,-1438000000.0,-1000000.0,-600000000.0,0.0
Issuance Of Debt,0.0,0.0,2979000000.0,0.0,3011000000.0,,
Capital Expenditure,-187000000.0,-183000000.0,-123000000.0,-266000000.0,-170000000.0,,
End Cash Position,3256000000.0,2375000000.0,2320000000.0,3652000000.0,3850000000.0,,
Beginning Cash Position,2375000000.0,2320000000.0,3652000000.0,3850000000.0,1874000000.0,,
Effect Of Exchange Rate Changes,1000000.0,37000000.0,20000000.0,-32000000.0,21000000.0,,
Changes In Cash,880000000.0,18000000.0,-1352000000.0,-166000000.0,1955000000.0,,
Financing Cash Flow,-339000000.0,-989000000.0,2534000000.0,-1794000000.0,2653000000.0,,
Cash Flow From Continuing Financing Activities,-339000000.0,-989000000.0,2534000000.0,-1794000000.0,2653000000.0,,
Net Other Financing Charges,-16000000.0,-20000000.0,-125000000.0,-51000000.0,-20000000.0,,
Cash Dividends Paid,-322000000.0,-321000000.0,-320000000.0,-305000000.0,-305000000.0,,
Common Stock Dividend Paid,-322000000.0,-321000000.0,-320000000.0,-305000000.0,-305000000.0,,
Net Issuance Payments Of Debt,-1000000.0,-648000000.0,2979000000.0,-1438000000.0,2978000000.0,,
Net Short Term Debt Issuance,-1000000.0,2000000.0,0.0,0.0,-32000000.0,,
Net Long Term Debt Issuance,0.0,-650000000.0,2979000000.0,-1438000000.0,3010000000.0,,
Long Term Debt Payments,0.0,,,-1438000000.0,-1000000.0,-600000000.0,0.0
Long Term Debt Issuance,0.0,0.0,2979000000.0,0.0,3011000000.0,,
Investing Cash Flow,-321000000.0,-104000000.0,-4136000000.0,-303000000.0,-2172000000.0,,
Cash Flow From Continuing Investing Activities,-321000000.0,-104000000.0,-4136000000.0,-303000000.0,-2172000000.0,,
Net Other Investing Changes,-1000000.0,-20000000.0,-20000000.0,1000000.0,12000000.0,,
Net Investment Purchase And Sale,3000000.0,-1000000.0,756000000.0,-8000000.0,-750000000.0,,
Sale Of Investment,8000000.0,15000000.0,767000000.0,9000000.0,9000000.0,,
Purchase Of Investment,-5000000.0,-16000000.0,-11000000.0,-17000000.0,-759000000.0,,
Net Business Purchase And Sale,-136000000.0,100000000.0,-4749000000.0,-30000000.0,-1264000000.0,,
Sale Of Business,0.0,,,,,,
Purchase Of Business,-136000000.0,-65000000.0,-4749000000.0,-30000000.0,-1264000000.0,,
Net PPE Purchase And Sale,-187000000.0,-183000000.0,-123000000.0,-266000000.0,-170000000.0,,
Purchase Of PPE,-187000000.0,-183000000.0,-123000000.0,-266000000.0,-170000000.0,,
Operating Cash Flow,1540000000.0,1111000000.0,250000000.0,1931000000.0,1474000000.0,,
Cash Flow From Continuing Operating Activities,1540000000.0,1111000000.0,250000000.0,1931000000.0,1474000000.0,,
Change In Working Capital,161000000.0,-351000000.0,-892000000.0,461000000.0,280000000.0,,
Change In Other Working Capital,-94000000.0,-149000000.0,-130000000.0,-120000000.0,-31000000.0,,
Change In Payables And Accrued Expense,135000000.0,-182000000.0,-813000000.0,813000000.0,479000000.0,,
Change In Accrued Expense,38000000.0,388000000.0,-504000000.0,298000000.0,429000000.0,,
Change In Payable,97000000.0,-570000000.0,-309000000.0,515000000.0,50000000.0,,
Change In Account Payable,64000000.0,40000000.0,-309000000.0,395000000.0,2000000.0,,
Change In Tax Payable,33000000.0,,,120000000.0,48000000.0,,
Change In Income Tax Payable,33000000.0,,,120000000.0,48000000.0,,
Change In Inventory,-147000000.0,-133000000.0,-93000000.0,156000000.0,-132000000.0,,
Change In Receivables,267000000.0,113000000.0,144000000.0,-388000000.0,-36000000.0,,
Changes In Account Receivables,267000000.0,113000000.0,144000000.0,-388000000.0,-36000000.0,,
Other Non Cash Items,61000000.0,16000000.0,83000000.0,8000000.0,29000000.0,,
Stock Based Compensation,62000000.0,49000000.0,84000000.0,45000000.0,51000000.0,,
Asset Impairment Charge,73000000.0,55000000.0,35000000.0,956000000.0,2000000.0,,
Deferred Tax,15000000.0,162000000.0,14000000.0,-349000000.0,10000000.0,,
Deferred Income Tax,15000000.0,162000000.0,14000000.0,-349000000.0,10000000.0,,
Depreciation Amortization Depletion,309000000.0,296000000.0,272000000.0,264000000.0,268000000.0,,
Depreciation And Amortization,309000000.0,296000000.0,272000000.0,264000000.0,268000000.0,,
Amortization Cash Flow,189000000.0,187000000.0,167000000.0,156000000.0,159000000.0,,
Amortization Of Intangibles,189000000.0,187000000.0,167000000.0,156000000.0,159000000.0,,
Depreciation,120000000.0,109000000.0,105000000.0,108000000.0,109000000.0,,
Net Income From Continuing Operations,859000000.0,884000000.0,654000000.0,546000000.0,834000000.0,,
