,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,1112799116.0,1115814224.0,1119333622.0,1124355838.0,1127978175.0
Share Issued,1112799116.0,1115814224.0,1119333622.0,1124355838.0,1127978175.0
Total Debt,13121000000.0,13062000000.0,12778000000.0,12714000000.0,12651000000.0
Tangible Book Value,8771000000.0,8408000000.0,8299000000.0,8078000000.0,7687000000.0
Invested Capital,11733000000.0,11370000000.0,11259000000.0,11038000000.0,10646000000.0
Working Capital,1970000000.0,1768000000.0,1983000000.0,2335000000.0,2269000000.0
Net Tangible Assets,8771000000.0,8408000000.0,8299000000.0,8078000000.0,7687000000.0
Capital Lease Obligations,10254000000.0,10195000000.0,9912000000.0,9849000000.0,9787000000.0
Common Stock Equity,8866000000.0,8503000000.0,8393000000.0,8173000000.0,7782000000.0
Total Capitalization,11733000000.0,11370000000.0,11259000000.0,11038000000.0,10646000000.0
Total Equity Gross Minority Interest,8866000000.0,8503000000.0,8393000000.0,8173000000.0,7782000000.0
Stockholders Equity,8866000000.0,8503000000.0,8393000000.0,8173000000.0,7782000000.0
Gains Losses Not Affecting Retained Earnings,-445000000.0,-464000000.0,-609000000.0,-547000000.0,-532000000.0
Other Equity Adjustments,-445000000.0,-464000000.0,-609000000.0,-547000000.0,-532000000.0
Retained Earnings,8198000000.0,7851000000.0,7883000000.0,7596000000.0,7186000000.0
Additional Paid In Capital,0.0,0.0,0.0,0.0,0.0
Capital Stock,1113000000.0,1116000000.0,1119000000.0,1124000000.0,1128000000.0
Common Stock,1113000000.0,1116000000.0,1119000000.0,1124000000.0,1128000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,24019000000.0,23355000000.0,23356000000.0,24263000000.0,22773000000.0
Total Non Current Liabilities Net Minority Interest,12711000000.0,12528000000.0,12348000000.0,12246000000.0,12152000000.0
Other Non Current Liabilities,1042000000.0,972000000.0,18000000.0,1002000000.0,960000000.0
Employee Benefits,,,730000000.0,,
Non Current Deferred Liabilities,217000000.0,154000000.0,377000000.0,172000000.0,162000000.0
Non Current Deferred Taxes Liabilities,217000000.0,154000000.0,377000000.0,172000000.0,162000000.0
Long Term Debt And Capital Lease Obligation,11452000000.0,11402000000.0,11142000000.0,11072000000.0,11030000000.0
Long Term Capital Lease Obligation,8585000000.0,8535000000.0,8276000000.0,8207000000.0,8166000000.0
Long Term Debt,2867000000.0,2867000000.0,2866000000.0,2865000000.0,2864000000.0
Long Term Provisions,,,81000000.0,,
Current Liabilities,11308000000.0,10827000000.0,11008000000.0,12017000000.0,10621000000.0
Other Current Liabilities,,,1558000000.0,,
Current Debt And Capital Lease Obligation,1669000000.0,1660000000.0,1636000000.0,1642000000.0,1621000000.0
Current Capital Lease Obligation,1669000000.0,1660000000.0,1636000000.0,1642000000.0,1621000000.0
Pensionand Other Post Retirement Benefit Plans Current,,,1370000000.0,,
Payables And Accrued Expenses,9639000000.0,9167000000.0,6444000000.0,10375000000.0,9000000000.0
Current Accrued Expenses,4776000000.0,4492000000.0,1463000000.0,4714000000.0,4458000000.0
Payables,4863000000.0,4675000000.0,4981000000.0,5661000000.0,4542000000.0
Dividends Payable,,,427000000.0,,
Total Tax Payable,165000000.0,261000000.0,297000000.0,44000000.0,39000000.0
Income Tax Payable,165000000.0,261000000.0,75000000.0,44000000.0,39000000.0
Accounts Payable,4698000000.0,4414000000.0,4257000000.0,5617000000.0,4503000000.0
Total Assets,32885000000.0,31858000000.0,31749000000.0,32436000000.0,30555000000.0
Total Non Current Assets,19607000000.0,19263000000.0,18758000000.0,18084000000.0,17665000000.0
Other Non Current Assets,1617000000.0,1549000000.0,1529000000.0,1141000000.0,942000000.0
Non Current Deferred Assets,142000000.0,141000000.0,148000000.0,142000000.0,147000000.0
Non Current Deferred Taxes Assets,142000000.0,141000000.0,148000000.0,142000000.0,147000000.0
Goodwill And Other Intangible Assets,95000000.0,95000000.0,94000000.0,95000000.0,95000000.0
Goodwill,95000000.0,95000000.0,94000000.0,95000000.0,95000000.0
Net PPE,17753000000.0,17478000000.0,16987000000.0,16706000000.0,16481000000.0
Accumulated Depreciation,-9185000000.0,-8985000000.0,-8636000000.0,-8510000000.0,-8396000000.0
Gross PPE,26938000000.0,26463000000.0,25623000000.0,25216000000.0,24877000000.0
Leases,5149000000.0,4944000000.0,4710000000.0,4670000000.0,4539000000.0
Other Properties,9978000000.0,9924000000.0,9641000000.0,9570000000.0,9513000000.0
Machinery Furniture Equipment,9171000000.0,8992000000.0,8714000000.0,8540000000.0,8425000000.0
Land And Improvements,2640000000.0,2603000000.0,2558000000.0,2436000000.0,2400000000.0
Properties,0.0,0.0,0.0,0.0,0.0
Current Assets,13278000000.0,12595000000.0,12991000000.0,14352000000.0,12890000000.0
Other Current Assets,562000000.0,575000000.0,617000000.0,546000000.0,536000000.0
Inventory,7372000000.0,7127000000.0,6421000000.0,8371000000.0,6470000000.0
Finished Goods,7372000000.0,7127000000.0,6421000000.0,8371000000.0,6470000000.0
Receivables,705000000.0,638000000.0,618000000.0,717000000.0,634000000.0
Taxes Receivable,105000000.0,44000000.0,69000000.0,118000000.0,113000000.0
Accounts Receivable,600000000.0,594000000.0,549000000.0,599000000.0,521000000.0
Cash Cash Equivalents And Short Term Investments,4639000000.0,4255000000.0,5335000000.0,4718000000.0,5250000000.0
Cash And Cash Equivalents,4639000000.0,4255000000.0,5335000000.0,4718000000.0,5250000000.0
