,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,136011000.0,117589000.0,144214000.0,-161912000.0,-9600000.0,,
Repurchase Of Capital Stock,-8280000.0,0.0,-100000.0,-6364000.0,-6073000.0,,
Capital Expenditure,-18601000.0,-3311000.0,-12512000.0,-288488000.0,-128163000.0,,
Income Tax Paid Supplemental Data,24415000.0,65450000.0,0.0,24021000.0,30091000.0,,
End Cash Position,531808000.0,543930000.0,463796000.0,371381000.0,533914000.0,,
Beginning Cash Position,543930000.0,463796000.0,371381000.0,533914000.0,894704000.0,,
Changes In Cash,-12122000.0,80134000.0,92415000.0,-162533000.0,-360790000.0,,
Financing Cash Flow,-45579000.0,-36833000.0,-51794000.0,-43123000.0,-263238000.0,,
Cash Flow From Continuing Financing Activities,-45579000.0,-36833000.0,-51794000.0,-43123000.0,-263238000.0,,
Net Other Financing Charges,-484000.0,-51000.0,-14260000.0,0.0,-416000.0,,
Cash Dividends Paid,-36815000.0,-36782000.0,-37434000.0,-36759000.0,-256749000.0,,
Common Stock Dividend Paid,-36815000.0,-36782000.0,-37434000.0,-36759000.0,-256749000.0,,
Net Common Stock Issuance,-8280000.0,0.0,-100000.0,-6364000.0,-6073000.0,,
Common Stock Payments,-8280000.0,0.0,-100000.0,-6364000.0,-6073000.0,,
Investing Cash Flow,-121155000.0,-3933000.0,-12517000.0,-245986000.0,-216115000.0,,
Cash Flow From Continuing Investing Activities,-121155000.0,-3933000.0,-12517000.0,-245986000.0,-216115000.0,,
Net Investment Properties Purchase And Sale,-31446000.0,-4500000.0,-5000.0,-450000.0,0.0,,
Purchase Of Investment Properties,-31446000.0,-4500000.0,-5000.0,-450000.0,0.0,,
Net Business Purchase And Sale,-71108000.0,,,42952000.0,-87952000.0,,
Sale Of Business,0.0,,,,,,
Purchase Of Business,,,,42952000.0,,,
Net Intangibles Purchase And Sale,0.0,,,0.0,0.0,,
Purchase Of Intangibles,0.0,,,0.0,0.0,,
Net PPE Purchase And Sale,-18601000.0,235000.0,-12512000.0,-288488000.0,-128163000.0,,
Sale Of PPE,,,,0.0,0.0,0.0,0.0
Purchase Of PPE,-18601000.0,235000.0,-12512000.0,-288488000.0,-128163000.0,,
Operating Cash Flow,154612000.0,120900000.0,156726000.0,126576000.0,118563000.0,,
Cash Flow From Continuing Operating Activities,154612000.0,120900000.0,156726000.0,126576000.0,118563000.0,,
Change In Working Capital,11143000.0,-12965000.0,18948000.0,-4585000.0,1865000.0,,
Change In Other Current Liabilities,29607000.0,693000.0,-2657000.0,1904000.0,8751000.0,,
Change In Other Current Assets,-24175000.0,19493000.0,-11339000.0,,-4210000.0,4414000.0,
Change In Payables And Accrued Expense,5711000.0,-33151000.0,32944000.0,-172000.0,1326000.0,,
Change In Payable,5711000.0,-33151000.0,32944000.0,-172000.0,1326000.0,,
Change In Tax Payable,5711000.0,-33151000.0,32944000.0,-172000.0,1326000.0,,
Change In Income Tax Payable,5711000.0,-33151000.0,32944000.0,-172000.0,1326000.0,,
Change In Prepaid Assets,,,,4002000.0,-4002000.0,0.0,0.0
Stock Based Compensation,3493000.0,3485000.0,4397000.0,3509000.0,2935000.0,,
Deferred Tax,3775000.0,541000.0,788000.0,2441000.0,1407000.0,,
Deferred Income Tax,3775000.0,541000.0,788000.0,2441000.0,1407000.0,,
Depreciation Amortization Depletion,14963000.0,13699000.0,11941000.0,11467000.0,5762000.0,,
Net Income From Continuing Operations,121238000.0,116140000.0,120652000.0,118360000.0,106594000.0,,
