,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,218684000.0,219902000.0,221061000.0,222966000.0,222143000.0
Share Issued,218684000.0,219902000.0,221061000.0,222966000.0,222143000.0
Total Debt,455100000.0,475200000.0,472100000.0,278700000.0,288400000.0
Tangible Book Value,7877100000.0,7600800000.0,7408200000.0,7334500000.0,7211300000.0
Invested Capital,10814500000.0,10560500000.0,10394700000.0,10345400000.0,10249300000.0
Working Capital,4138000000.0,3562800000.0,3129100000.0,3086600000.0,3691100000.0
Net Tangible Assets,7877100000.0,7600800000.0,7408200000.0,7334500000.0,7211300000.0
Capital Lease Obligations,455100000.0,475200000.0,472100000.0,278700000.0,288400000.0
Common Stock Equity,10814500000.0,10560500000.0,10394700000.0,10345400000.0,10249300000.0
Total Capitalization,10814500000.0,10560500000.0,10394700000.0,10345400000.0,10249300000.0
Total Equity Gross Minority Interest,11969400000.0,11812900000.0,11532300000.0,11450100000.0,11216100000.0
Minority Interest,1154900000.0,1252400000.0,1137600000.0,1104700000.0,966800000.0
Stockholders Equity,10814500000.0,10560500000.0,10394700000.0,10345400000.0,10249300000.0
Gains Losses Not Affecting Retained Earnings,-46500000.0,-44600000.0,-51900000.0,-51700000.0,-39500000.0
Other Equity Adjustments,-46500000.0,-44600000.0,-51900000.0,-51700000.0,-39500000.0
Retained Earnings,10817300000.0,10461300000.0,10242200000.0,10040600000.0,9885300000.0
Additional Paid In Capital,0.0,99800000.0,160200000.0,311900000.0,359100000.0
Capital Stock,43700000.0,44000000.0,44200000.0,44600000.0,44400000.0
Common Stock,43700000.0,44000000.0,44200000.0,44600000.0,44400000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2761000000.0,2529300000.0,2461400000.0,2021900000.0,2489800000.0
Total Non Current Liabilities Net Minority Interest,2364800000.0,2171400000.0,1819200000.0,1581300000.0,2117400000.0
Other Non Current Liabilities,22700000.0,81500000.0,42000000.0,62100000.0,1027400000.0
Employee Benefits,793800000.0,563100000.0,328200000.0,219800000.0,801600000.0
Non Current Deferred Liabilities,1093200000.0,1051600000.0,976900000.0,1020700000.0,
Long Term Debt And Capital Lease Obligation,455100000.0,475200000.0,472100000.0,278700000.0,288400000.0
Long Term Capital Lease Obligation,455100000.0,475200000.0,472100000.0,278700000.0,288400000.0
Current Liabilities,396200000.0,357900000.0,642200000.0,440600000.0,372400000.0
Payables And Accrued Expenses,396200000.0,357900000.0,642200000.0,440600000.0,372400000.0
Payables,396200000.0,357900000.0,642200000.0,440600000.0,372400000.0
Total Tax Payable,46700000.0,22400000.0,295100000.0,87100000.0,13300000.0
Income Tax Payable,46700000.0,22400000.0,295100000.0,87100000.0,13300000.0
Accounts Payable,349500000.0,335500000.0,347100000.0,353500000.0,359100000.0
Total Assets,14730400000.0,14342200000.0,13993700000.0,13472000000.0,13705900000.0
Total Non Current Assets,10196200000.0,10421500000.0,10222400000.0,9944800000.0,9642400000.0
Other Non Current Assets,690600000.0,712800000.0,784400000.0,685600000.0,622600000.0
Financial Assets,1060200000.0,1047400000.0,1004200000.0,992800000.0,901900000.0
Investments And Advances,4134900000.0,4301500000.0,4030500000.0,4051700000.0,3921300000.0
Other Investments,1961800000.0,2072100000.0,1878200000.0,2112900000.0,1970500000.0
Investmentin Financial Assets,1003500000.0,1088700000.0,1049100000.0,628400000.0,672700000.0
Held To Maturity Securities,85400000.0,99900000.0,92800000.0,106800000.0,114100000.0
Available For Sale Securities,918100000.0,988800000.0,956300000.0,521600000.0,558600000.0
Long Term Equity Investment,1169600000.0,1140700000.0,1103200000.0,1310400000.0,1278100000.0
Goodwill And Other Intangible Assets,2937400000.0,2959700000.0,2986500000.0,3010900000.0,3038000000.0
Other Intangible Assets,294600000.0,316900000.0,343700000.0,368100000.0,395200000.0
Goodwill,2642800000.0,2642800000.0,2642800000.0,2642800000.0,2642800000.0
Net PPE,1373100000.0,1400100000.0,1416800000.0,1203800000.0,1158600000.0
Accumulated Depreciation,,,,-1861500000.0,
Gross PPE,1373100000.0,1400100000.0,1416800000.0,3065300000.0,1158600000.0
Leases,,,,414000000.0,
Other Properties,1373100000.0,1400100000.0,1416800000.0,226800000.0,1158600000.0
Machinery Furniture Equipment,,,,1905600000.0,
Buildings And Improvements,,,,493200000.0,
Land And Improvements,,,,25700000.0,
Properties,,,,0.0,
Current Assets,4534200000.0,3920700000.0,3771300000.0,3527200000.0,4063500000.0
Receivables,899400000.0,861800000.0,934600000.0,877400000.0,890000000.0
Accounts Receivable,899400000.0,861800000.0,934600000.0,877400000.0,890000000.0
Cash Cash Equivalents And Short Term Investments,3634800000.0,3058900000.0,2836700000.0,2649800000.0,3173500000.0
Cash And Cash Equivalents,3634800000.0,3058900000.0,2836700000.0,2649800000.0,3173500000.0
