,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,39502438.747731,47139300.0,8529300.0,-6301099.47644,37530000.0
Tax Rate For Calcs,0.221302,0.221,0.243,0.272775,0.225
Normalized EBITDA,520000000.0,481900000.0,653500000.0,938700000.0,484900000.0
Total Unusual Items,178500000.0,213300000.0,35100000.0,-23100000.0,166800000.0
Total Unusual Items Excluding Goodwill,178500000.0,213300000.0,35100000.0,-23100000.0,166800000.0
Net Income From Continuing Operation Net Minority Interest,646100000.0,505200000.0,490500000.0,439900000.0,603000000.0
Reconciled Depreciation,-45600000.0,185700000.0,63600000.0,315800000.0,-62000000.0
Reconciled Cost Of Revenue,888800000.0,895000000.0,841900000.0,876900000.0,844900000.0
EBITDA,698500000.0,695200000.0,688600000.0,915600000.0,651700000.0
EBIT,698500000.0,509500000.0,625000000.0,599800000.0,651700000.0
Normalized Income,507102438.747731,339039300.0,463929300.0,456698900.52356,473730000.0
Net Income From Continuing And Discontinued Operation,646100000.0,505200000.0,490500000.0,439900000.0,603000000.0
Total Expenses,1195000000.0,1213800000.0,1138900000.0,1224700000.0,1133900000.0
Rent Expense Supplemental,183200000.0,179400000.0,167600000.0,169300000.0,164000000.0
Total Operating Income As Reported,643200000.0,478300000.0,596300000.0,568400000.0,613600000.0
Diluted Average Shares,219700000.0,220400000.0,222600000.0,222800000.0,222800000.0
Basic Average Shares,219400000.0,220200000.0,222300000.0,222400000.0,222300000.0
Diluted EPS,2.87,2.24,2.15,1.92,2.64
Basic EPS,2.88,2.24,2.15,1.93,2.64
Diluted NI Availto Com Stockholders,631400000.0,492800000.0,478100000.0,428300000.0,587500000.0
Net Income Common Stockholders,631400000.0,492800000.0,478100000.0,428300000.0,587500000.0
Otherunder Preferred Stock Dividend,14700000.0,12400000.0,12400000.0,11600000.0,15500000.0
Net Income,646100000.0,505200000.0,490500000.0,439900000.0,603000000.0
Minority Interests,-40400000.0,-50900000.0,-14600000.0,23200000.0,-37400000.0
Net Income Including Noncontrolling Interests,686500000.0,556100000.0,505100000.0,416700000.0,640400000.0
Net Income Continuous Operations,686500000.0,556100000.0,505100000.0,416700000.0,640400000.0
Tax Provision,195100000.0,157700000.0,161900000.0,156300000.0,185700000.0
Pretax Income,881600000.0,713800000.0,667000000.0,573000000.0,826100000.0
Other Income Expense,183100000.0,204300000.0,42000000.0,-26800000.0,174400000.0
Other Non Operating Income Expenses,4600000.0,-9000000.0,6900000.0,-3700000.0,7600000.0
Special Income Charges,-55300000.0,-31200000.0,-28700000.0,-31400000.0,-38100000.0
Restructuring And Mergern Acquisition,55300000.0,31200000.0,28700000.0,31400000.0,38100000.0
Gain On Sale Of Security,233800000.0,244500000.0,63800000.0,8300000.0,204900000.0
Operating Income,698500000.0,509500000.0,625000000.0,599800000.0,651700000.0
Operating Expense,306200000.0,318800000.0,297000000.0,347800000.0,289000000.0
Selling General And Administration,306200000.0,318800000.0,297000000.0,347800000.0,289000000.0
Selling And Marketing Expense,21300000.0,29900000.0,26100000.0,50200000.0,20800000.0
General And Administrative Expense,284900000.0,288900000.0,270900000.0,297600000.0,268200000.0
Other Gand A,101700000.0,109500000.0,103300000.0,128300000.0,104200000.0
Rent And Landing Fees,183200000.0,179400000.0,167600000.0,169300000.0,164000000.0
Gross Profit,1004700000.0,828300000.0,922000000.0,947600000.0,940700000.0
Cost Of Revenue,888800000.0,895000000.0,841900000.0,876900000.0,844900000.0
Total Revenue,1893500000.0,1723300000.0,1763900000.0,1824500000.0,1785600000.0
Operating Revenue,1893500000.0,1723300000.0,1763900000.0,1824500000.0,1785600000.0
