,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,-69720000.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.147059,0.21,0.21,0.235,0.233684,
Normalized EBITDA,506000000.0,967000000.0,492000000.0,946000000.0,923000000.0,
Total Unusual Items,0.0,-332000000.0,,,0.0,-9000000.0
Total Unusual Items Excluding Goodwill,0.0,-332000000.0,,,0.0,-9000000.0
Net Income From Continuing Operation Net Minority Interest,47000000.0,61000000.0,7000000.0,359000000.0,357000000.0,
Reconciled Depreciation,332000000.0,329000000.0,352000000.0,348000000.0,318000000.0,
Reconciled Cost Of Revenue,13134000000.0,12743000000.0,12474000000.0,12528000000.0,12505000000.0,
EBITDA,506000000.0,635000000.0,492000000.0,946000000.0,923000000.0,
EBIT,174000000.0,306000000.0,140000000.0,598000000.0,605000000.0,
Net Interest Income,-90000000.0,-98000000.0,-93000000.0,-95000000.0,-101000000.0,
Interest Expense,106000000.0,113000000.0,110000000.0,120000000.0,130000000.0,
Interest Income,16000000.0,15000000.0,17000000.0,25000000.0,29000000.0,
Normalized Income,47000000.0,323280000.0,7000000.0,359000000.0,357000000.0,
Net Income From Continuing And Discontinued Operation,47000000.0,61000000.0,7000000.0,359000000.0,357000000.0,
Total Expenses,13702000000.0,13281000000.0,12974000000.0,13043000000.0,13040000000.0,
Total Operating Income As Reported,158000000.0,260000000.0,100000000.0,580000000.0,525000000.0,
Diluted Average Shares,361538462.0,358823529.0,350000000.0,357000000.0,357000000.0,
Basic Average Shares,335714286.0,338888889.0,350000000.0,355000000.0,346601942.0,
Diluted EPS,0.13,0.17,0.02,1.01,1.0,
Basic EPS,0.14,0.18,0.02,1.03,1.03,
Diluted NI Availto Com Stockholders,47000000.0,61000000.0,7000000.0,359000000.0,357000000.0,
Net Income Common Stockholders,47000000.0,61000000.0,7000000.0,359000000.0,357000000.0,
Net Income,47000000.0,61000000.0,7000000.0,359000000.0,357000000.0,
Minority Interests,-11000000.0,-8000000.0,-7000000.0,-7000000.0,-7000000.0,
Net Income Including Noncontrolling Interests,58000000.0,69000000.0,14000000.0,366000000.0,364000000.0,
Net Income Continuous Operations,58000000.0,69000000.0,14000000.0,366000000.0,364000000.0,
Tax Provision,10000000.0,124000000.0,16000000.0,112000000.0,111000000.0,
Pretax Income,68000000.0,193000000.0,30000000.0,478000000.0,475000000.0,
Other Income Expense,0.0,-312000000.0,23000000.0,-7000000.0,51000000.0,
Other Non Operating Income Expenses,50000000.0,-3000000.0,23000000.0,-7000000.0,51000000.0,
Special Income Charges,-7000000.0,-343000000.0,,,0.0,0.0
Impairment Of Capital Assets,0.0,343000000.0,,,0.0,0.0
Earnings From Equity Interest,,23000000.0,,,,19000000.0
Gain On Sale Of Security,,11000000.0,,,,-9000000.0
Net Non Operating Interest Income Expense,-90000000.0,-98000000.0,-93000000.0,-95000000.0,-101000000.0,
Interest Expense Non Operating,106000000.0,113000000.0,110000000.0,120000000.0,130000000.0,
Interest Income Non Operating,16000000.0,15000000.0,17000000.0,25000000.0,29000000.0,
Operating Income,158000000.0,603000000.0,100000000.0,580000000.0,525000000.0,
Operating Expense,568000000.0,538000000.0,500000000.0,515000000.0,535000000.0,
Selling General And Administration,568000000.0,538000000.0,500000000.0,515000000.0,535000000.0,
Gross Profit,726000000.0,1141000000.0,600000000.0,1095000000.0,1060000000.0,
Cost Of Revenue,13134000000.0,12743000000.0,12474000000.0,12528000000.0,12505000000.0,
Total Revenue,13860000000.0,13884000000.0,13074000000.0,13623000000.0,13565000000.0,
Operating Revenue,13860000000.0,13884000000.0,13074000000.0,13623000000.0,13565000000.0,
