,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,96500000.0,-69800000.0,224900000.0,-48200000.0,-165200000.0,,
Repayment Of Debt,0.0,-600000000.0,0.0,0.0,0.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,0.0,,
Issuance Of Capital Stock,0.0,1219600000.0,22300000.0,31200000.0,500000.0,,
Capital Expenditure,-31900000.0,-25100000.0,-54100000.0,-43400000.0,-36800000.0,,
End Cash Position,1961000000.0,2116200000.0,1559200000.0,1308900000.0,1319600000.0,,
Beginning Cash Position,2116200000.0,1559200000.0,1308900000.0,1319600000.0,1471900000.0,,
Effect Of Exchange Rate Changes,-6100000.0,20200000.0,11800000.0,-16400000.0,8900000.0,,
Changes In Cash,-149100000.0,536800000.0,238500000.0,5700000.0,-161200000.0,,
Financing Cash Flow,-300000.0,618300000.0,22300000.0,31200000.0,500000.0,,
Cash Flow From Continuing Financing Activities,-300000.0,618300000.0,22300000.0,31200000.0,500000.0,,
Net Other Financing Charges,-300000.0,-1300000.0,0.0,0.0,0.0,,
Net Common Stock Issuance,0.0,1219600000.0,22300000.0,31200000.0,500000.0,,
Common Stock Issuance,0.0,1219600000.0,22300000.0,31200000.0,500000.0,,
Net Issuance Payments Of Debt,0.0,-600000000.0,0.0,0.0,0.0,,
Net Long Term Debt Issuance,0.0,-600000000.0,0.0,0.0,0.0,,
Long Term Debt Payments,0.0,-600000000.0,0.0,0.0,0.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-277200000.0,-36800000.0,-62800000.0,-20700000.0,-33300000.0,,
Cash Flow From Continuing Investing Activities,-277200000.0,-36800000.0,-62800000.0,-20700000.0,-33300000.0,,
Net Other Investing Changes,-7000000.0,-4400000.0,3300000.0,-6800000.0,-4600000.0,,
Net Investment Purchase And Sale,-236300000.0,-7300000.0,-5800000.0,-6500000.0,8300000.0,,
Sale Of Investment,,,-6100000.0,200000.0,11900000.0,6600000.0,1500000.0
Purchase Of Investment,-236300000.0,-7300000.0,300000.0,-6700000.0,-3600000.0,,
Net Business Purchase And Sale,-2000000.0,0.0,-6200000.0,36000000.0,-200000.0,,
Sale Of Business,,0.0,-6200000.0,36000000.0,-200000.0,9600000.0,
Purchase Of Business,,,,,,,-600000.0
Net PPE Purchase And Sale,-31900000.0,-25100000.0,-54100000.0,-43400000.0,-36800000.0,,
Purchase Of PPE,-31900000.0,-25100000.0,-54100000.0,-43400000.0,-36800000.0,,
Operating Cash Flow,128400000.0,-44700000.0,279000000.0,-4800000.0,-128400000.0,,
Cash Flow From Continuing Operating Activities,128400000.0,-44700000.0,279000000.0,-4800000.0,-128400000.0,,
Change In Working Capital,-249900000.0,-405400000.0,-374900000.0,-305900000.0,-196200000.0,,
Change In Other Working Capital,228500000.0,-72300000.0,-18500000.0,29900000.0,113700000.0,,
Change In Other Current Assets,-180400000.0,-164600000.0,-122700000.0,-206100000.0,-164900000.0,,
Change In Payables And Accrued Expense,179500000.0,-239800000.0,-107600000.0,-310200000.0,143100000.0,,
Change In Payable,179500000.0,-239800000.0,-107600000.0,-310200000.0,143100000.0,,
Change In Account Payable,179500000.0,-239800000.0,-107600000.0,-310200000.0,143100000.0,,
Change In Prepaid Assets,30400000.0,-43500000.0,-18200000.0,8000000.0,-26900000.0,,
Change In Receivables,-507900000.0,114800000.0,-107900000.0,172500000.0,-261200000.0,,
Changes In Account Receivables,-507900000.0,114800000.0,-107900000.0,172500000.0,-261200000.0,,
Other Non Cash Items,44200000.0,68900000.0,61500000.0,72500000.0,58900000.0,,
Stock Based Compensation,95900000.0,40700000.0,70200000.0,82900000.0,86200000.0,,
Unrealized Gain Loss On Investment Securities,,,2800000.0,-200000.0,,,
Asset Impairment Charge,,,3622700000.0,0.0,,,2286600000.0
Depreciation Amortization Depletion,361100000.0,263000000.0,483400000.0,271100000.0,283900000.0,,
Depreciation And Amortization,361100000.0,263000000.0,483400000.0,271100000.0,283900000.0,,
Amortization Cash Flow,320300000.0,220900000.0,443700000.0,230900000.0,245800000.0,,
Amortization Of Intangibles,320300000.0,220900000.0,443700000.0,230900000.0,245800000.0,,
Depreciation,40800000.0,42100000.0,39700000.0,40200000.0,38100000.0,,
Net Income From Continuing Operations,-133900000.0,-11900000.0,-3726200000.0,-125200000.0,-365500000.0,,
