,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.237,0.234,0.235,0.231032,0.221
Normalized EBITDA,689318000.0,659850000.0,607984000.0,623953000.0,534873000.0
Net Income From Continuing Operation Net Minority Interest,372957000.0,353218000.0,316680000.0,332397000.0,258714000.0
Reconciled Depreciation,155060000.0,152004000.0,148345000.0,146781000.0,149567000.0
Reconciled Cost Of Revenue,414583000.0,418785000.0,402881000.0,405900000.0,390250000.0
EBITDA,689318000.0,659850000.0,607984000.0,623953000.0,534873000.0
EBIT,534258000.0,507846000.0,459639000.0,477172000.0,385306000.0
Net Interest Income,-38431000.0,-35364000.0,-40056000.0,-39724000.0,-44660000.0
Interest Expense,37372000.0,34461000.0,39211000.0,38861000.0,43773000.0
Interest Income,186000.0,349000.0,407000.0,389000.0,368000.0
Normalized Income,372957000.0,353218000.0,316680000.0,332397000.0,258714000.0
Net Income From Continuing And Discontinued Operation,372957000.0,353218000.0,316680000.0,332397000.0,258714000.0
Total Expenses,3973557000.0,3783546000.0,3644895000.0,3641233000.0,3578862000.0
Rent Expense Supplemental,37295000.0,35240000.0,36813000.0,38268000.0,36540000.0
Total Operating Income As Reported,521688000.0,500270000.0,454825000.0,472489000.0,384165000.0
Diluted Average Shares,63663000.0,64991000.0,66037000.0,67074000.0,68108000.0
Basic Average Shares,62974000.0,64356000.0,64970000.0,65597000.0,66537000.0
Diluted EPS,5.86,5.43,4.8,4.96,3.8
Basic EPS,5.92,5.49,4.87,5.07,3.89
Diluted NI Availto Com Stockholders,372957000.0,353218000.0,316680000.0,332397000.0,258714000.0
Net Income Common Stockholders,372957000.0,353218000.0,316680000.0,332397000.0,258714000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,372957000.0,353218000.0,316680000.0,332397000.0,258714000.0
Minority Interests,-6148000.0,-9394000.0,-4948000.0,-4650000.0,-7196000.0
Net Income Including Noncontrolling Interests,379105000.0,362612000.0,321628000.0,337047000.0,265910000.0
Net Income Continuous Operations,379105000.0,362612000.0,321628000.0,337047000.0,265910000.0
Tax Provision,117781000.0,110773000.0,98800000.0,101264000.0,75623000.0
Pretax Income,496886000.0,473385000.0,420428000.0,438311000.0,341533000.0
Other Income Expense,13629000.0,8479000.0,5659000.0,5546000.0,2028000.0
Other Non Operating Income Expenses,13629000.0,8479000.0,5659000.0,5546000.0,2028000.0
Net Non Operating Interest Income Expense,-38431000.0,-35364000.0,-40056000.0,-39724000.0,-44660000.0
Total Other Finance Cost,1245000.0,1252000.0,1252000.0,1252000.0,1255000.0
Interest Expense Non Operating,37372000.0,34461000.0,39211000.0,38861000.0,43773000.0
Interest Income Non Operating,186000.0,349000.0,407000.0,389000.0,368000.0
Operating Income,521688000.0,500270000.0,454825000.0,472489000.0,384165000.0
Operating Expense,3558974000.0,3364761000.0,3242014000.0,3235333000.0,3188612000.0
Other Operating Expenses,1294721000.0,1162566000.0,1105752000.0,1142901000.0,1090197000.0
Depreciation Amortization Depletion Income Statement,155060000.0,152004000.0,148345000.0,146781000.0,149567000.0
Depreciation And Amortization In Income Statement,155060000.0,152004000.0,148345000.0,146781000.0,149567000.0
Selling General And Administration,2109193000.0,2050191000.0,1987917000.0,1945651000.0,1948848000.0
General And Administrative Expense,2109193000.0,2050191000.0,1987917000.0,1945651000.0,1948848000.0
Rent And Landing Fees,37295000.0,35240000.0,36813000.0,38268000.0,36540000.0
Salaries And Wages,2071898000.0,2014951000.0,1951104000.0,1907383000.0,1912308000.0
Gross Profit,4080662000.0,3865031000.0,3696839000.0,3707822000.0,3572777000.0
Cost Of Revenue,414583000.0,418785000.0,402881000.0,405900000.0,390250000.0
Total Revenue,4495245000.0,4283816000.0,4099720000.0,4113722000.0,3963027000.0
Operating Revenue,4495245000.0,4283816000.0,4099720000.0,4113722000.0,3963027000.0
