,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,138027.015964,264509.8986,1524400.0,6036371.681416,-24969600.0
Tax Rate For Calcs,0.230045,0.220425,0.206,0.126549,0.289
Normalized EBITDA,734700000.0,657600000.0,402800000.0,513900000.0,580400000.0
Total Unusual Items,600000.0,1200000.0,7400000.0,47700000.0,-86400000.0
Total Unusual Items Excluding Goodwill,600000.0,1200000.0,7400000.0,47700000.0,-86400000.0
Net Income From Continuing Operation Net Minority Interest,376100000.0,323000000.0,129800000.0,296300000.0,208900000.0
Reconciled Depreciation,191400000.0,185400000.0,186400000.0,149100000.0,160700000.0
Reconciled Cost Of Revenue,1594300000.0,1477200000.0,1269300000.0,1316500000.0,1438700000.0
EBITDA,735300000.0,658800000.0,410200000.0,561600000.0,494000000.0
EBIT,543900000.0,473400000.0,223800000.0,412500000.0,333300000.0
Net Interest Income,-55300000.0,-59200000.0,-59700000.0,-52600000.0,-38400000.0
Interest Expense,55300000.0,59200000.0,59700000.0,73500000.0,38400000.0
Normalized Income,375638027.015964,322064509.8986,123924400.0,254636371.681416,270330400.0
Net Income From Continuing And Discontinued Operation,374900000.0,320900000.0,128900000.0,293700000.0,207600000.0
Total Expenses,1748900000.0,1632600000.0,1415600000.0,1500400000.0,1580400000.0
Total Operating Income As Reported,543200000.0,471000000.0,226400000.0,401000000.0,337100000.0
Diluted Average Shares,132900000.0,132900000.0,133000000.0,133000000.0,133000000.0
Basic Average Shares,132100000.0,132200000.0,132400000.0,132200000.0,132200000.0
Diluted EPS,2.82,2.42,0.97,2.21,1.56
Basic EPS,2.84,2.43,0.97,2.22,1.57
Diluted NI Availto Com Stockholders,374900000.0,320900000.0,128900000.0,293700000.0,207600000.0
Net Income Common Stockholders,374900000.0,320900000.0,128900000.0,293700000.0,207600000.0
Net Income,374900000.0,320900000.0,128900000.0,293700000.0,207600000.0
Minority Interests,-100000.0,100000.0,-500000.0,200000.0,-800000.0
Net Income Including Noncontrolling Interests,375000000.0,320800000.0,129400000.0,293500000.0,208400000.0
Net Income Discontinuous Operations,-1200000.0,-2100000.0,-900000.0,-2600000.0,-1300000.0
Net Income Continuous Operations,376200000.0,322900000.0,130300000.0,296100000.0,209700000.0
Tax Provision,112400000.0,91300000.0,33800000.0,42900000.0,85200000.0
Pretax Income,488600000.0,414200000.0,164100000.0,339000000.0,294900000.0
Other Income Expense,1300000.0,3600000.0,4800000.0,38300000.0,-90200000.0
Other Non Operating Income Expenses,700000.0,2400000.0,-2600000.0,-9400000.0,-3800000.0
Special Income Charges,600000.0,1200000.0,7400000.0,47700000.0,-86400000.0
Gain On Sale Of Ppe,600000.0,1200000.0,7400000.0,47700000.0,200000.0
Impairment Of Capital Assets,0.0,,,0.0,86600000.0
Net Non Operating Interest Income Expense,-55300000.0,-59200000.0,-59700000.0,-52600000.0,-38400000.0
Interest Expense Non Operating,55300000.0,59200000.0,59700000.0,73500000.0,38400000.0
Operating Income,542600000.0,469800000.0,219000000.0,353300000.0,423500000.0
Operating Expense,154600000.0,155400000.0,146300000.0,183900000.0,141700000.0
Other Operating Expenses,9300000.0,10900000.0,8000000.0,45800000.0,12600000.0
Selling General And Administration,145300000.0,144500000.0,138300000.0,138100000.0,129100000.0
Gross Profit,697200000.0,625200000.0,365300000.0,537200000.0,565200000.0
Cost Of Revenue,1594300000.0,1477200000.0,1269300000.0,1316500000.0,1438700000.0
Total Revenue,2291500000.0,2102400000.0,1634600000.0,1853700000.0,2003900000.0
Operating Revenue,2291500000.0,1842200000.0,1634600000.0,865500000.0,2003900000.0
