,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,701000000.0,702000000.0,302000000.0,2429000000.0,632000000.0,,
Repayment Of Debt,-1260000000.0,-19594000000.0,-4360000000.0,-493000000.0,-3445000000.0,,
Issuance Of Debt,3000000.0,19659000000.0,2195000000.0,0.0,2598000000.0,,
Capital Expenditure,-278000000.0,-281000000.0,-251000000.0,-286000000.0,-215000000.0,,
Interest Paid Supplemental Data,,,,,812000000.0,,
Income Tax Paid Supplemental Data,,,,,348000000.0,,
End Cash Position,4298000000.0,4891000000.0,3974000000.0,5416000000.0,3490000000.0,,
Beginning Cash Position,4891000000.0,3974000000.0,5416000000.0,3490000000.0,3617000000.0,,
Effect Of Exchange Rate Changes,-5000000.0,161000000.0,95000000.0,-195000000.0,119000000.0,,
Changes In Cash,-588000000.0,756000000.0,-1537000000.0,2121000000.0,-246000000.0,,
Financing Cash Flow,-1237000000.0,9000000.0,-1895000000.0,-600000000.0,-875000000.0,,
Cash Flow From Continuing Financing Activities,-1237000000.0,9000000.0,-1895000000.0,-600000000.0,-875000000.0,,
Net Other Financing Charges,20000000.0,-56000000.0,270000000.0,-107000000.0,-28000000.0,,
Net Issuance Payments Of Debt,-1257000000.0,65000000.0,-2165000000.0,-493000000.0,-847000000.0,,
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Short Term Debt Payments,0.0,-2856000000.0,-695000000.0,0.0,-2598000000.0,,
Short Term Debt Issuance,0.0,2856000000.0,695000000.0,0.0,2598000000.0,,
Net Long Term Debt Issuance,-1257000000.0,65000000.0,-2165000000.0,-493000000.0,-847000000.0,,
Long Term Debt Payments,-1260000000.0,-16738000000.0,-3665000000.0,-493000000.0,-847000000.0,,
Long Term Debt Issuance,3000000.0,16803000000.0,1500000000.0,0.0,0.0,,
Investing Cash Flow,-330000000.0,-236000000.0,-195000000.0,6000000.0,-218000000.0,,
Cash Flow From Continuing Investing Activities,-330000000.0,-236000000.0,-195000000.0,6000000.0,-218000000.0,,
Net Other Investing Changes,19000000.0,14000000.0,59000000.0,-56000000.0,33000000.0,,
Net Investment Purchase And Sale,0.0,43000000.0,11000000.0,353000000.0,0.0,,
Sale Of Investment,0.0,43000000.0,11000000.0,353000000.0,0.0,,
Net Business Purchase And Sale,-71000000.0,-12000000.0,-14000000.0,-5000000.0,-36000000.0,,
Purchase Of Business,-71000000.0,-12000000.0,-14000000.0,-5000000.0,-36000000.0,,
Net PPE Purchase And Sale,-278000000.0,-281000000.0,-251000000.0,-286000000.0,-215000000.0,,
Purchase Of PPE,-278000000.0,-281000000.0,-251000000.0,-286000000.0,-215000000.0,,
Operating Cash Flow,979000000.0,983000000.0,553000000.0,2715000000.0,847000000.0,,
Cash Flow From Continuing Operating Activities,979000000.0,983000000.0,553000000.0,2715000000.0,847000000.0,,
Change In Working Capital,-3015000000.0,-2744000000.0,-3608000000.0,-1484000000.0,-3943000000.0,,
Change In Other Working Capital,-9328000000.0,3433000000.0,-2870000000.0,9406000000.0,-9641000000.0,,
Change In Payables And Accrued Expense,-261000000.0,885000000.0,-1026000000.0,-11385000000.0,-1361000000.0,,
Change In Payable,-261000000.0,885000000.0,-1026000000.0,-11385000000.0,-1361000000.0,,
Change In Account Payable,-261000000.0,885000000.0,-1026000000.0,964000000.0,-1361000000.0,,
Change In Receivables,260000000.0,-748000000.0,288000000.0,495000000.0,708000000.0,,
Other Non Cash Items,22000000.0,-114000000.0,17000000.0,184000000.0,71000000.0,,
Stock Based Compensation,242000000.0,175000000.0,123000000.0,138000000.0,159000000.0,,
Asset Impairment Charge,-17000000.0,89000000.0,90000000.0,191000000.0,-173000000.0,,
Deferred Tax,199000000.0,-159000000.0,-312000000.0,-381000000.0,-462000000.0,,
Deferred Income Tax,199000000.0,-159000000.0,-312000000.0,-381000000.0,-462000000.0,,
Depreciation Amortization Depletion,3680000000.0,5090000000.0,4692000000.0,4710000000.0,5072000000.0,,
Depreciation And Amortization,3680000000.0,5090000000.0,4692000000.0,4710000000.0,5072000000.0,,
Amortization Cash Flow,2305000000.0,3643000000.0,3145000000.0,3067000000.0,3310000000.0,,
Amortization Of Intangibles,2305000000.0,3643000000.0,3145000000.0,3067000000.0,3310000000.0,,
Depreciation,1375000000.0,1447000000.0,1547000000.0,1643000000.0,1762000000.0,,
Operating Gains Losses,11000000.0,,,-3000000.0,-18000000.0,-735000000.0,15000000.0
Earnings Losses From Equity Investments,8000000.0,,,37000000.0,47000000.0,25000000.0,58000000.0
Gain Loss On Investment Securities,2000000.0,,,2000000.0,-42000000.0,-193000000.0,-43000000.0
Net Income From Continuing Operations,-143000000.0,1588000000.0,-449000000.0,-640000000.0,141000000.0,,
