,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,816000000.0,813000000.0,377000000.0,396000000.0,577000000.0
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,0.0
Repayment Of Debt,-6538000000.0,-4071000000.0,-5163000000.0,-7251000000.0,-1867000000.0
Issuance Of Debt,5821000000.0,4142000000.0,4993000000.0,13664000000.0,1734000000.0
Capital Expenditure,-776000000.0,-732000000.0,-831000000.0,-1115000000.0,-781000000.0
End Cash Position,308000000.0,552000000.0,331000000.0,487000000.0,687000000.0
Beginning Cash Position,552000000.0,331000000.0,487000000.0,687000000.0,246000000.0
Effect Of Exchange Rate Changes,-3000000.0,7000000.0,1000000.0,-7000000.0,2000000.0
Changes In Cash,-241000000.0,214000000.0,-157000000.0,-193000000.0,439000000.0
Financing Cash Flow,-1049000000.0,-245000000.0,-536000000.0,6058000000.0,-439000000.0
Cash Flow From Continuing Financing Activities,-1049000000.0,-245000000.0,-536000000.0,6058000000.0,-439000000.0
Net Other Financing Charges,-4000000.0,-8000000.0,-55000000.0,-65000000.0,-11000000.0
Proceeds From Stock Option Exercised,4000000.0,25000000.0,25000000.0,11000000.0,6000000.0
Cash Dividends Paid,-332000000.0,-333000000.0,-336000000.0,-301000000.0,-301000000.0
Common Stock Dividend Paid,-332000000.0,-333000000.0,-336000000.0,-301000000.0,-301000000.0
Net Common Stock Issuance,0.0,0.0,0.0,0.0,0.0
Common Stock Payments,0.0,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-717000000.0,71000000.0,-170000000.0,6413000000.0,-133000000.0
Net Long Term Debt Issuance,-717000000.0,71000000.0,-170000000.0,6413000000.0,-133000000.0
Long Term Debt Payments,-6538000000.0,-4071000000.0,-5163000000.0,-7251000000.0,-1867000000.0
Long Term Debt Issuance,5821000000.0,4142000000.0,4993000000.0,13664000000.0,1734000000.0
Investing Cash Flow,-784000000.0,-1086000000.0,-829000000.0,-7762000000.0,-480000000.0
Cash Flow From Continuing Investing Activities,-784000000.0,-1086000000.0,-829000000.0,-7762000000.0,-480000000.0
Net Other Investing Changes,16000000.0,4000000.0,-93000000.0,0.0,799000000.0
Net Business Purchase And Sale,-24000000.0,-358000000.0,95000000.0,-6647000000.0,-498000000.0
Sale Of Business,5000000.0,5000000.0,98000000.0,59000000.0,41000000.0
Purchase Of Business,-29000000.0,-363000000.0,-3000000.0,-6706000000.0,-539000000.0
Capital Expenditure Reported,-776000000.0,-732000000.0,-831000000.0,-1115000000.0,-781000000.0
Operating Cash Flow,1592000000.0,1545000000.0,1208000000.0,1511000000.0,1358000000.0
Cash Flow From Continuing Operating Activities,1592000000.0,1545000000.0,1208000000.0,1511000000.0,1358000000.0
Change In Working Capital,-205000000.0,-30000000.0,-237000000.0,123000000.0,-65000000.0
Change In Other Working Capital,-80000000.0,-104000000.0,29000000.0,-85000000.0,-48000000.0
Change In Other Current Assets,12000000.0,119000000.0,-30000000.0,159000000.0,22000000.0
Change In Payables And Accrued Expense,-7000000.0,329000000.0,-287000000.0,132000000.0,64000000.0
Change In Receivables,-130000000.0,-374000000.0,51000000.0,-83000000.0,-103000000.0
Other Non Cash Items,35000000.0,36000000.0,35000000.0,34000000.0,33000000.0
Stock Based Compensation,43000000.0,41000000.0,51000000.0,34000000.0,27000000.0
Provisionand Write Offof Assets,18000000.0,24000000.0,19000000.0,14000000.0,11000000.0
Deferred Tax,162000000.0,20000000.0,59000000.0,59000000.0,51000000.0
Deferred Income Tax,162000000.0,20000000.0,59000000.0,59000000.0,51000000.0
Depreciation Amortization Depletion,729000000.0,708000000.0,656000000.0,652000000.0,558000000.0
Depletion,227000000.0,220000000.0,183000000.0,215000000.0,203000000.0
Depreciation And Amortization,502000000.0,488000000.0,473000000.0,437000000.0,355000000.0
Amortization Cash Flow,108000000.0,102000000.0,102000000.0,88000000.0,32000000.0
Amortization Of Intangibles,108000000.0,102000000.0,102000000.0,88000000.0,32000000.0
Depreciation,394000000.0,386000000.0,371000000.0,349000000.0,323000000.0
Operating Gains Losses,207000000.0,19000000.0,-12000000.0,-3000000.0,-17000000.0
Earnings Losses From Equity Investments,-4000000.0,-2000000.0,-5000000.0,0.0,-1000000.0
Gain Loss On Sale Of Business,213000000.0,24000000.0,2000000.0,20000000.0,6000000.0
Net Income From Continuing Operations,603000000.0,727000000.0,637000000.0,598000000.0,760000000.0
