,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-1306800.0,-940800.0,-4425400.0,-2276288.659794,-748600.0,,
Tax Rate For Calcs,0.198,0.192,0.218,0.223166,0.197,,
Normalized EBITDA,221700000.0,203400000.0,171200000.0,215000000.0,209200000.0,,
Total Unusual Items,-6600000.0,-4900000.0,-20300000.0,-10200000.0,-3800000.0,,
Total Unusual Items Excluding Goodwill,-6600000.0,-4900000.0,-20300000.0,-10200000.0,-3800000.0,,
Net Income From Continuing Operation Net Minority Interest,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Reconciled Depreciation,43000000.0,41400000.0,40000000.0,40700000.0,40200000.0,,
Reconciled Cost Of Revenue,510300000.0,492600000.0,466100000.0,475200000.0,482200000.0,,
EBITDA,215100000.0,198500000.0,150900000.0,204800000.0,205400000.0,,
EBIT,172100000.0,157100000.0,110900000.0,164100000.0,165200000.0,,
Net Interest Income,4500000.0,3500000.0,3700000.0,5600000.0,3900000.0,,
Interest Expense,200000.0,100000.0,400000.0,-800000.0,700000.0,,
Interest Income,4700000.0,3600000.0,4100000.0,4800000.0,4600000.0,,
Normalized Income,145293200.0,135759200.0,105674600.0,138023711.340206,139051400.0,,
Net Income From Continuing And Discontinued Operation,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Total Expenses,630100000.0,607600000.0,570400000.0,579000000.0,581200000.0,,
Total Operating Income As Reported,167600000.0,153700000.0,107000000.0,159600000.0,161300000.0,,
Diluted Average Shares,72600000.0,72500000.0,73000000.0,73300000.0,73400000.0,,
Basic Average Shares,72200000.0,72200000.0,72500000.0,72700000.0,72800000.0,,
Diluted EPS,1.92,1.82,1.23,1.78,1.85,,
Basic EPS,1.94,1.82,1.24,1.79,1.87,,
Diluted NI Availto Com Stockholders,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Net Income Common Stockholders,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Net Income,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Net Income Including Noncontrolling Interests,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Net Income Continuous Operations,140000000.0,131800000.0,89800000.0,130100000.0,136000000.0,,
Earnings From Equity Interest Net Of Tax,2100000.0,5000000.0,3400000.0,2000000.0,3900000.0,,
Tax Provision,34000000.0,30200000.0,24100000.0,36800000.0,32400000.0,,
Pretax Income,171900000.0,157000000.0,110500000.0,164900000.0,164500000.0,,
Other Income Expense,-7100000.0,-5400000.0,-20800000.0,-10500000.0,-5100000.0,,
Other Non Operating Income Expenses,-500000.0,-500000.0,-500000.0,-300000.0,-1300000.0,,
Special Income Charges,-3900000.0,-3200000.0,-19100000.0,-7300000.0,300000.0,,
Gain On Sale Of Ppe,,,,0.0,0.0,0.0,0.0
Write Off,300000.0,800000.0,,5400000.0,1000000.0,300000.0,
Impairment Of Capital Assets,,,300000.0,,,,600000.0
Restructuring And Mergern Acquisition,3600000.0,2400000.0,18800000.0,1900000.0,-1300000.0,,
Gain On Sale Of Security,-2700000.0,-1700000.0,-1200000.0,-2900000.0,-4100000.0,,
Net Non Operating Interest Income Expense,4500000.0,3500000.0,3700000.0,5600000.0,3900000.0,,
Interest Expense Non Operating,200000.0,100000.0,400000.0,-800000.0,700000.0,,
Interest Income Non Operating,4700000.0,3600000.0,4100000.0,4800000.0,4600000.0,,
Operating Income,174500000.0,158900000.0,127600000.0,169800000.0,165700000.0,,
Operating Expense,119800000.0,115000000.0,104300000.0,103800000.0,99000000.0,,
Research And Development,17100000.0,19100000.0,16300000.0,18500000.0,15500000.0,,
Selling General And Administration,102700000.0,95900000.0,88000000.0,85300000.0,83500000.0,,
Gross Profit,294300000.0,273900000.0,231900000.0,273600000.0,264700000.0,,
Cost Of Revenue,510300000.0,492600000.0,466100000.0,475200000.0,482200000.0,,
Total Revenue,804600000.0,766500000.0,698000000.0,748800000.0,746900000.0,,
Operating Revenue,804600000.0,766500000.0,698000000.0,748800000.0,746900000.0,,
