,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,720861000.0,721835000.0,725671000.0,725845000.0,726758000.0
Share Issued,720861000.0,721835000.0,725671000.0,725845000.0,726758000.0
Net Debt,5069000000.0,4576000000.0,4607000000.0,4392000000.0,4197000000.0
Total Debt,5494000000.0,5191000000.0,5189000000.0,5105000000.0,5096000000.0
Tangible Book Value,9438000000.0,9524000000.0,9645000000.0,9721000000.0,9927000000.0
Invested Capital,14908000000.0,14692000000.0,14812000000.0,14797000000.0,15001000000.0
Working Capital,298000000.0,64000000.0,903000000.0,771000000.0,1002000000.0
Net Tangible Assets,9438000000.0,9524000000.0,9645000000.0,9721000000.0,9927000000.0
Capital Lease Obligations,24000000.0,23000000.0,22000000.0,29000000.0,22000000.0
Common Stock Equity,9438000000.0,9524000000.0,9645000000.0,9721000000.0,9927000000.0
Total Capitalization,14386000000.0,13792000000.0,14662000000.0,14587000000.0,14791000000.0
Total Equity Gross Minority Interest,9438000000.0,9524000000.0,9645000000.0,9721000000.0,9927000000.0
Stockholders Equity,9438000000.0,9524000000.0,9645000000.0,9721000000.0,9927000000.0
Other Equity Interest,7385000000.0,7401000000.0,7483000000.0,7500000000.0,7517000000.0
Gains Losses Not Affecting Retained Earnings,-355000000.0,-356000000.0,-389000000.0,-402000000.0,-279000000.0
Other Equity Adjustments,-355000000.0,-356000000.0,-389000000.0,-402000000.0,-279000000.0
Retained Earnings,1506000000.0,1576000000.0,1643000000.0,1715000000.0,1780000000.0
Capital Stock,902000000.0,903000000.0,908000000.0,908000000.0,909000000.0
Common Stock,902000000.0,903000000.0,908000000.0,908000000.0,909000000.0
Total Liabilities Net Minority Interest,7230000000.0,6954000000.0,6875000000.0,6815000000.0,6741000000.0
Total Non Current Liabilities Net Minority Interest,5916000000.0,5260000000.0,6007000000.0,5838000000.0,5749000000.0
Other Non Current Liabilities,341000000.0,346000000.0,356000000.0,350000000.0,345000000.0
Non Current Deferred Liabilities,627000000.0,646000000.0,634000000.0,622000000.0,540000000.0
Non Current Deferred Taxes Liabilities,14000000.0,37000000.0,32000000.0,26000000.0,78000000.0
Long Term Debt And Capital Lease Obligation,4948000000.0,4268000000.0,5017000000.0,4866000000.0,4864000000.0
Long Term Debt,4948000000.0,4268000000.0,5017000000.0,4866000000.0,4864000000.0
Current Liabilities,1314000000.0,1694000000.0,868000000.0,977000000.0,992000000.0
Current Debt And Capital Lease Obligation,546000000.0,923000000.0,172000000.0,239000000.0,232000000.0
Current Capital Lease Obligation,24000000.0,23000000.0,22000000.0,29000000.0,22000000.0
Current Debt,522000000.0,900000000.0,150000000.0,210000000.0,210000000.0
Other Current Borrowings,522000000.0,900000000.0,150000000.0,210000000.0,210000000.0
Pensionand Other Post Retirement Benefit Plans Current,182000000.0,162000000.0,159000000.0,171000000.0,171000000.0
Payables And Accrued Expenses,586000000.0,609000000.0,537000000.0,567000000.0,589000000.0
Current Accrued Expenses,254000000.0,287000000.0,219000000.0,265000000.0,267000000.0
Interest Payable,54000000.0,54000000.0,63000000.0,62000000.0,66000000.0
Payables,332000000.0,322000000.0,318000000.0,302000000.0,322000000.0
Total Tax Payable,52000000.0,39000000.0,30000000.0,47000000.0,47000000.0
Accounts Payable,280000000.0,283000000.0,288000000.0,255000000.0,275000000.0
Total Assets,16668000000.0,16478000000.0,16520000000.0,16536000000.0,16668000000.0
Total Non Current Assets,15056000000.0,14720000000.0,14749000000.0,14788000000.0,14674000000.0
Other Non Current Assets,12122000000.0,11876000000.0,11915000000.0,11959000000.0,11906000000.0
Non Current Deferred Assets,62000000.0,23000000.0,23000000.0,24000000.0,13000000.0
Non Current Deferred Taxes Assets,62000000.0,23000000.0,23000000.0,24000000.0,13000000.0
Net PPE,2872000000.0,2821000000.0,2811000000.0,2805000000.0,2755000000.0
Accumulated Depreciation,-4108000000.0,-4137000000.0,-4044000000.0,-3980000000.0,-3935000000.0
Gross PPE,6980000000.0,6958000000.0,6855000000.0,6785000000.0,6690000000.0
Construction In Progress,360000000.0,316000000.0,291000000.0,287000000.0,316000000.0
Other Properties,6620000000.0,6642000000.0,6564000000.0,1042000000.0,6374000000.0
Machinery Furniture Equipment,,,,4120000000.0,
Buildings And Improvements,,,,1253000000.0,
Land And Improvements,,,,83000000.0,
Properties,,,,0.0,
Current Assets,1612000000.0,1758000000.0,1771000000.0,1748000000.0,1994000000.0
Other Current Assets,121000000.0,178000000.0,141000000.0,142000000.0,142000000.0
Assets Held For Sale Current,141000000.0,,,,
Inventory,588000000.0,610000000.0,675000000.0,607000000.0,592000000.0
Other Inventories,170000000.0,165000000.0,178000000.0,161000000.0,191000000.0
Finished Goods,29000000.0,35000000.0,71000000.0,55000000.0,22000000.0
Raw Materials,389000000.0,410000000.0,426000000.0,391000000.0,379000000.0
Receivables,361000000.0,378000000.0,395000000.0,315000000.0,383000000.0
Taxes Receivable,8000000.0,9000000.0,13000000.0,9000000.0,10000000.0
Accounts Receivable,353000000.0,369000000.0,382000000.0,306000000.0,373000000.0
Cash Cash Equivalents And Short Term Investments,401000000.0,592000000.0,560000000.0,684000000.0,877000000.0
Cash And Cash Equivalents,401000000.0,592000000.0,560000000.0,684000000.0,877000000.0
