,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,5267000000.0,7055000000.0,5392000000.0,11409000000.0,4325000000.0
Repurchase Of Capital Stock,-4964000000.0,-4804000000.0,-5780000000.0,-5512000000.0,-5326000000.0
Repayment Of Debt,-100000000.0,-4589000000.0,-929000000.0,-1063000000.0,-2808000000.0
Issuance Of Debt,1032000000.0,280000000.0,473000000.0,209000000.0,109000000.0
Capital Expenditure,-6283000000.0,-5898000000.0,-6837000000.0,-6160000000.0,-6235000000.0
Interest Paid Supplemental Data,339000000.0,537000000.0,305000000.0,684000000.0,313000000.0
Income Tax Paid Supplemental Data,2986000000.0,2596000000.0,2099000000.0,4226000000.0,4250000000.0
End Cash Position,15711000000.0,18512000000.0,23187000000.0,26972000000.0,26488000000.0
Beginning Cash Position,18512000000.0,23187000000.0,26972000000.0,26488000000.0,33349000000.0
Effect Of Exchange Rate Changes,514000000.0,86000000.0,-619000000.0,261000000.0,6000000.0
Changes In Cash,-3315000000.0,-4761000000.0,-3166000000.0,223000000.0,-6867000000.0
Financing Cash Flow,-8685000000.0,-13579000000.0,-11143000000.0,-11106000000.0,-12558000000.0
Cash Flow From Continuing Financing Activities,-8685000000.0,-13579000000.0,-11143000000.0,-11106000000.0,-12558000000.0
Net Other Financing Charges,-365000000.0,-131000000.0,-536000000.0,-500000000.0,-248000000.0
Cash Dividends Paid,-4288000000.0,-4335000000.0,-4371000000.0,-4240000000.0,-4285000000.0
Common Stock Dividend Paid,-4288000000.0,-4335000000.0,-4371000000.0,-4240000000.0,-4285000000.0
Net Common Stock Issuance,-4964000000.0,-4804000000.0,-5780000000.0,-5512000000.0,-5326000000.0
Common Stock Payments,-4964000000.0,-4804000000.0,-5780000000.0,-5512000000.0,-5326000000.0
Net Issuance Payments Of Debt,932000000.0,-4309000000.0,-456000000.0,-854000000.0,-2699000000.0
Net Short Term Debt Issuance,335000000.0,-4582000000.0,-921000000.0,-1063000000.0,-1666000000.0
Short Term Debt Payments,-94000000.0,-4582000000.0,-921000000.0,-1063000000.0,-1666000000.0
Net Long Term Debt Issuance,597000000.0,273000000.0,465000000.0,209000000.0,-1033000000.0
Long Term Debt Payments,-6000000.0,-7000000.0,-8000000.0,0.0,-1142000000.0
Long Term Debt Issuance,603000000.0,280000000.0,473000000.0,209000000.0,109000000.0
Investing Cash Flow,-6180000000.0,-4135000000.0,-4252000000.0,-6240000000.0,-4869000000.0
Cash Flow From Continuing Investing Activities,-6180000000.0,-4135000000.0,-4252000000.0,-6240000000.0,-4869000000.0
Net Other Investing Changes,422000000.0,1916000000.0,4846000000.0,214000000.0,935000000.0
Net Investment Purchase And Sale,-319000000.0,-153000000.0,-2261000000.0,-294000000.0,-323000000.0
Purchase Of Investment,-319000000.0,-153000000.0,-2261000000.0,-294000000.0,-323000000.0
Net Business Purchase And Sale,,,0.0,0.0,
Sale Of Business,,,0.0,0.0,
Net PPE Purchase And Sale,-6283000000.0,-5898000000.0,-6837000000.0,-6160000000.0,-6235000000.0
Purchase Of PPE,-6283000000.0,-5898000000.0,-6837000000.0,-6160000000.0,-6235000000.0
Operating Cash Flow,11550000000.0,12953000000.0,12229000000.0,17569000000.0,10560000000.0
Cash Flow From Continuing Operating Activities,11550000000.0,12953000000.0,12229000000.0,17569000000.0,10560000000.0
Change In Working Capital,-3970000000.0,-878000000.0,-1552000000.0,2334000000.0,-4616000000.0
Other Non Cash Items,2065000000.0,96000000.0,1985000000.0,6000000.0,-182000000.0
Depreciation Amortization Depletion,6101000000.0,5702000000.0,6585000000.0,6258000000.0,5787000000.0
Net Income From Continuing Operations,7354000000.0,8033000000.0,7955000000.0,8971000000.0,9571000000.0
