,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-72928080.0,-20481250.0,-60499200.0,37023000.0,-46693500.0,,
Tax Rate For Calcs,0.24,0.25,0.23,0.21,0.25,,
Normalized EBITDA,1168881000.0,952705000.0,596281000.0,170209000.0,794551000.0,,
Total Unusual Items,-303867000.0,-81925000.0,-263040000.0,176300000.0,-186774000.0,,
Total Unusual Items Excluding Goodwill,-303867000.0,-81925000.0,-263040000.0,176300000.0,-186774000.0,,
Net Income From Continuing Operation Net Minority Interest,461544000.0,538458000.0,189872000.0,1946020000.0,283754000.0,,
Reconciled Depreciation,92119000.0,92397000.0,88948000.0,88878000.0,92706000.0,,
Reconciled Cost Of Revenue,3395396000.0,3459421000.0,3426901000.0,3666878000.0,3669431000.0,,
EBITDA,865014000.0,870780000.0,333241000.0,346509000.0,607777000.0,,
EBIT,772895000.0,778383000.0,244293000.0,257631000.0,515071000.0,,
Net Interest Income,-34652000.0,-23687000.0,-17243000.0,-16107000.0,-13811000.0,,
Interest Expense,,,17243000.0,,,,
Interest Income,,,,,,1871000.0,18745000.0
Normalized Income,692482920.0,599901750.0,392412800.0,1806743000.0,423834500.0,,
Net Income From Continuing And Discontinued Operation,461544000.0,538458000.0,189872000.0,1946020000.0,283754000.0,,
Total Expenses,5342057000.0,5276074000.0,5272805000.0,5774930000.0,5460730000.0,,
Total Operating Income As Reported,409440000.0,484293000.0,329302000.0,13013000.0,323009000.0,,
Diluted Average Shares,621658000.0,618928000.0,635342000.0,,632760000.0,634221000.0,
Basic Average Shares,610199000.0,612882000.0,619370000.0,,616428000.0,617666000.0,
Diluted EPS,0.74,0.87,0.3,,0.45,0.31,
Basic EPS,0.76,0.88,0.31,,0.46,0.32,
Diluted NI Availto Com Stockholders,462408000.0,538458000.0,189872000.0,1946020000.0,283754000.0,,
Average Dilution Earnings,864000.0,,,,,,
Net Income Common Stockholders,461544000.0,538458000.0,189872000.0,1946020000.0,283754000.0,,
Net Income,461544000.0,538458000.0,189872000.0,1946020000.0,283754000.0,,
Minority Interests,-54000.0,124000.0,1150000.0,21351000.0,2618000.0,,
Net Income Including Noncontrolling Interests,461598000.0,538334000.0,188722000.0,1924669000.0,281136000.0,,
Net Income Continuous Operations,461598000.0,538334000.0,188722000.0,1924669000.0,281136000.0,,
Tax Provision,139928000.0,121048000.0,38328000.0,-1646875000.0,43011000.0,,
Pretax Income,601526000.0,659382000.0,227050000.0,277794000.0,324147000.0,,
Other Income Expense,-136717000.0,-95314000.0,-254698000.0,36270000.0,-177113000.0,,
Other Non Operating Income Expenses,167150000.0,-13389000.0,8342000.0,-140030000.0,9661000.0,,
Special Income Charges,-363455000.0,-294090000.0,-169689000.0,-244618000.0,-192062000.0,,
Restructuring And Mergern Acquisition,363455000.0,294090000.0,169689000.0,244618000.0,192062000.0,,
Gain On Sale Of Security,59588000.0,212165000.0,-93351000.0,,,-70116000.0,233404000.0
Net Non Operating Interest Income Expense,-34652000.0,-23687000.0,-17243000.0,-16107000.0,-13811000.0,,
Total Other Finance Cost,34652000.0,23687000.0,,16107000.0,13811000.0,-1871000.0,
Interest Expense Non Operating,,,17243000.0,,,,
Interest Income Non Operating,,,,,,1871000.0,18745000.0
Operating Income,772895000.0,778383000.0,498991000.0,257631000.0,515071000.0,,
Operating Expense,1888675000.0,1758147000.0,1790612000.0,2053767000.0,1734614000.0,,
Depreciation Amortization Depletion Income Statement,34133000.0,33891000.0,33656000.0,34593000.0,36021000.0,,
Depreciation And Amortization In Income Statement,34133000.0,33891000.0,33656000.0,34593000.0,36021000.0,,
Amortization,34133000.0,33891000.0,33656000.0,34593000.0,36021000.0,,
Amortization Of Intangibles Income Statement,34133000.0,33891000.0,33656000.0,34593000.0,36021000.0,,
Research And Development,711235000.0,725288000.0,760699000.0,769695000.0,710983000.0,,
Selling General And Administration,1143307000.0,998968000.0,996257000.0,1249479000.0,987610000.0,,
Selling And Marketing Expense,599333000.0,549731000.0,504460000.0,521063000.0,511755000.0,,
General And Administrative Expense,543974000.0,449237000.0,491797000.0,728416000.0,475855000.0,,
Other Gand A,543974000.0,449237000.0,491797000.0,728416000.0,475855000.0,,
Gross Profit,2661570000.0,2536530000.0,2289603000.0,2311398000.0,2249685000.0,,
Cost Of Revenue,3453382000.0,3517927000.0,3482193000.0,3721163000.0,3726116000.0,,
Total Revenue,6114952000.0,6054457000.0,5771796000.0,6032561000.0,5975801000.0,,
Operating Revenue,6114952000.0,6054457000.0,5771796000.0,6032561000.0,5975801000.0,,
