,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-3285000.0,-2820000.0,-1408000.0,1730769.230769,-1134000.0,
Tax Rate For Calcs,0.365,0.188,0.176,0.216346,0.081,
Normalized EBITDA,233000000.0,221000000.0,237000000.0,301000000.0,239000000.0,
Total Unusual Items,-9000000.0,-15000000.0,-8000000.0,8000000.0,-14000000.0,
Total Unusual Items Excluding Goodwill,-9000000.0,-15000000.0,-8000000.0,8000000.0,-14000000.0,
Net Income From Continuing Operation Net Minority Interest,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Reconciled Depreciation,42000000.0,43000000.0,41000000.0,42000000.0,45000000.0,
Reconciled Cost Of Revenue,669000000.0,659000000.0,646000000.0,668000000.0,626000000.0,
EBITDA,224000000.0,206000000.0,229000000.0,309000000.0,225000000.0,
EBIT,182000000.0,163000000.0,188000000.0,267000000.0,180000000.0,
Net Interest Income,-23000000.0,-25000000.0,-23000000.0,-27000000.0,-31000000.0,
Interest Expense,23000000.0,25000000.0,23000000.0,,31000000.0,23000000.0
Normalized Income,106715000.0,124180000.0,142592000.0,156730769.230769,149866000.0,
Net Income From Continuing And Discontinued Operation,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Total Expenses,1127000000.0,1106000000.0,1110000000.0,1106000000.0,1059000000.0,
Total Operating Income As Reported,183000000.0,183000000.0,195000000.0,225000000.0,191000000.0,
Diluted Average Shares,51171119.0,51282273.0,51908397.0,51986818.0,51918055.0,
Basic Average Shares,50800552.0,50939474.0,51515152.0,51542093.0,51567216.0,
Diluted EPS,1.97,2.19,2.62,3.14,2.64,
Basic EPS,1.98,2.2,2.64,3.17,2.65,
Diluted NI Availto Com Stockholders,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Net Income Common Stockholders,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Net Income,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Net Income Including Noncontrolling Interests,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Net Income Continuous Operations,101000000.0,112000000.0,136000000.0,163000000.0,137000000.0,
Tax Provision,58000000.0,26000000.0,29000000.0,45000000.0,12000000.0,
Pretax Income,159000000.0,138000000.0,165000000.0,208000000.0,149000000.0,
Other Income Expense,-11000000.0,-24000000.0,-10000000.0,7000000.0,-16000000.0,
Other Non Operating Income Expenses,-2000000.0,-9000000.0,-2000000.0,-1000000.0,-2000000.0,
Special Income Charges,-10000000.0,-4000000.0,-3000000.0,-3000000.0,-5000000.0,
Restructuring And Mergern Acquisition,10000000.0,4000000.0,3000000.0,3000000.0,5000000.0,
Gain On Sale Of Security,1000000.0,-11000000.0,-5000000.0,11000000.0,-9000000.0,
Net Non Operating Interest Income Expense,-23000000.0,-25000000.0,-23000000.0,-27000000.0,-31000000.0,
Interest Expense Non Operating,23000000.0,25000000.0,23000000.0,,31000000.0,23000000.0
Operating Income,193000000.0,187000000.0,198000000.0,228000000.0,196000000.0,
Operating Expense,441000000.0,429000000.0,447000000.0,420000000.0,417000000.0,
Depreciation Amortization Depletion Income Statement,25000000.0,25000000.0,24000000.0,24000000.0,29000000.0,
Depreciation And Amortization In Income Statement,25000000.0,25000000.0,24000000.0,24000000.0,29000000.0,
Amortization,25000000.0,25000000.0,24000000.0,24000000.0,29000000.0,
Amortization Of Intangibles Income Statement,25000000.0,25000000.0,24000000.0,24000000.0,29000000.0,
Research And Development,146000000.0,144000000.0,151000000.0,138000000.0,141000000.0,
Selling General And Administration,270000000.0,260000000.0,272000000.0,258000000.0,247000000.0,
Selling And Marketing Expense,159000000.0,158000000.0,161000000.0,151000000.0,151000000.0,
General And Administrative Expense,111000000.0,102000000.0,111000000.0,107000000.0,96000000.0,
Other Gand A,111000000.0,102000000.0,111000000.0,107000000.0,96000000.0,
Gross Profit,634000000.0,616000000.0,645000000.0,648000000.0,613000000.0,
Cost Of Revenue,686000000.0,677000000.0,663000000.0,686000000.0,642000000.0,
Total Revenue,1320000000.0,1293000000.0,1308000000.0,1334000000.0,1255000000.0,
Operating Revenue,1320000000.0,1293000000.0,1308000000.0,1334000000.0,1255000000.0,
